Evidence Cluster,Finding,Source File(s),Best Detail / Quote,Best Metric,What This Proves About Morgan,Where to Use It,Confidence,Source URL / Notes
Sequence Type Innovation — New Sequence Categories Originated by Morgan,"Morgan invented at least two new sequence type categories — “Sample Sent, No Demo” and “Time-Specific Follow-Up” — expanding Outreach beyond cold prospecting into post-sample nurture and seasonal trigger flows. Original Sept. 2019 source files now directly corroborate those authorship claims.","Untitled document(17).docx (TR-0419); Untitled document(27).docx (TR-0425); For Outreach, Sept 2019_ Sent Sample, Follow Up.docx (TR-0480); For Outreach Sept 2019_ Time-Specific Follow-Up.docx (TR-0698)","“I came up with Sample Sent, No Demo and Time-Specific Follow-Up when I realized we could use our sequences in different ways than just sending cold emails. The sales cycle sequences were my idea.” TR-0480 preserves the full 12-step Sample Sent, No Demo sequence; TR-0698 preserves the 10-step Time-Specific Follow-Up sequence.","12-step Sample Sent, No Demo sequence; 10-step Time-Specific Follow-Up sequence; qualitative authorship corroborated across claim memo + source files","Creative system-building within an existing platform — not just writing emails, but originating new nurture mechanics and leaving durable source-file proof behind.","Resume: “Invented new sequence categories (Sample Sent, No Demo; Time-Specific Follow-Up; Sales Cycle sequences).” Portfolio: unusually strong authorship-proof chain linking claim memo to original artifacts.",High,TR-0419 + TR-0425 + TR-0480 + TR-0698
People Leadership — Pod Outperforms Company Benchmarks,"In November 2022, Morgan's 5-person pod outperformed the company average on every measured benchmark: reply rate, call connect rate, and meetings-held rate — captured in real-time manager notes that were never intended as portfolio evidence.",Untitled document(13).docx (TR-0402),"""Pod has 2.8% reply rate right now, slightly over Nov team average of 2.6%. Connect rate of 14% for calls as opposed to 8% team average. Meetings-held rate 91.7% for pod vs 88.4% team average.""",Pod reply rate 2.8% vs 2.6% team avg; call connect rate 14% vs 8% team avg; meetings-held rate 91.7% vs 88.4% team avg,"Quantitative proof that Morgan's team management produced measurable performance advantage — not just strong individually, but able to elevate the people around her.","Resume: 'Led pod that outperformed company benchmarks on reply rate (2.8% vs 2.6%), call connect rate (14% vs 8%), and meetings-held rate (91.7% vs 88.4%).' Strongest quantified leadership proof.",High,TR-0402
Territory Portfolio at Scale — $15.1M Valuation,"As of June 2023, Morgan managed 2,263 active accounts estimated at $15.1M total value — segmented by school type (607 private, 947 HZ, 630 Title 1) and by state (CA, WV/VA, GA, TX) with individual state value breakdowns.",Untitled spreadsheet(7).xlsx (TR-0413),"2,263 accounts / $15,129,405 estimated value as of June 8, 2023. CA: 563 accounts / $2.79M. WV+VA: 181 / $1.27M. GA: 182 / $1.57M. TX: 164 / $933K. Potential 22-23 list: 1,173 accounts / $8.57M additional.","$15,129,405 estimated portfolio value; 2,263 accounts across 4+ states; 3 distinct school-type segments","Enterprise-scale, multi-state account portfolio management — quantified financial scope, not just headcount of schools.","Resume: 'Managed 2,263-account portfolio valued at $15.1M across 4+ states.' Portfolio: territory scope visualization. Top-tier quantification bullet.",High,TR-0413
Campaign Performance — Jan 2022 2nd-Semester Launch,"The January 2022 2nd-semester sequence launch Morgan managed achieved a 63% average open rate across all 6 sequences (each at 50%+), 8.7% average reply rate, 4.3% click rate, and 3,337 prospects enrolled — captured verbatim in a real-time manager communication.","Manager Notes, Week of Jan 12.docx (TR-0392)","""We have an average open rate of 63% across all six sequences so far, with each reaching at least 50%. We're also seeing an average 4.3% click rate, average 8.7% reply rate, and Outreach logged two booked meetings already!!""","63% avg open rate; 8.7% avg reply rate; 4.3% avg click rate; 3,337 prospects enrolled across 6 sequences","Real-time campaign performance validation — not a retrospective claim, written in the moment the results were coming in.","Resume: '63% avg open rate across 6 sequences at 2nd-semester launch; 3,337 prospects enrolled.' Portfolio: real-time campaign validation proof — not retroactive.",High,TR-0392
CRM/Platform Advocacy — Drift Evaluation → Outreach Migration,"In December 2017, Morgan authored a detailed 12-requirement platform evaluation of Drift (Treering's then-current sequencing tool) documenting the exact gaps — open rate tracking, A/B testing, enrollment deduplication, per-campaign filtering — that Outreach.io later filled. She also co-led a Salesforce Lightning UX optimization project for her 400+ account CA territory.",Drift Feedback.docx (TR-0381); Sales Dev - Lightning Transition Brainstorm.docx (TR-0362),"""Full reporting -- OPEN RATES. We are not able to track the success of our emails, and test/improve our outreach, if we can't see open rates. A/B testing!!"" // ""I have over 400 SchoolDigger schools in California"" — Morgan managing 400+ account territory and requesting CRM UX improvements within $0 budget.",12+ documented Drift feature requirements; 400+ CA accounts; $0 budget Lightning project,"Platform evaluation, requirements authorship, and CRM strategy — Morgan was identifying MarTech gaps and advocating for better tools years before the Outreach migration.","Resume: CRM/MarTech evaluation, platform requirements authorship, sales ops advocacy. Portfolio: proof of RevOps instincts dating back to 2017. Interview: 'I was identifying these gaps years before we migrated.'",High,TR-0381 + TR-0362
Proactive Data Stewardship — Institutional Knowledge Preservation,"Morgan proactively preserved the #customerquotes Slack channel during Treering's Slack→Google Chat migration — copy/pasting the entire channel when she realized it wasn't being saved anywhere (not even in Salesforce). She also ran multiple CRM scrub rounds, built 123-school Wake County import prep spreadsheets, and led a systemwide duplicate review.",Slack customerquotes export (TR-0353); To Import Scrub Round 1.xlsx (DF-0139); Untitled spreadsheet(2).xlsx (TR-0417),"""I realized no one was saving this information as we made the transition. It wasn't saved anywhere else, even Salesforce. So, I copy/pasted the entire thing. That way, it could live on in some form."" (Morgan's own words)",123-school CRM import prepared; #customerquotes channel preserved (40+ messages of customer testimonials from 2015),"Proactive stewardship instinct — notices what others miss, acts before it's too late, treats data as institutional memory worth protecting.","Resume: data stewardship, CRM ownership, proactive initiative. Portfolio: humanizing story about treating institutional memory with care. Interview: 'I noticed what others missed and acted before it was too late.'",High,TR-0353 + DF-0139 + TR-0417
Hiring & Talent Assessment,"Morgan was involved in interviewing SDR candidates in January–February 2020, providing written assessments evaluating Salesforce/Outreach technical comfort, cultural fit, teaching background, PTA experience, and CRM familiarity — rating multiple candidates and making comparative recommendations.",Untitled document(50).docx + (53).docx (TR-0441),"""Overall she was nice. I liked her, maybe not quite as much as the other two I chatted with though."" // Candidate notes tracked: tech comfort with SF/Outreach, PTA experience, motivation, ran a small business, familiar with CRM (SOHO), geeked over spreadsheets.",N/A — qualitative judgment across 3+ candidates,Hiring involvement and talent judgment — expanding leadership beyond managing existing team members to shaping who joins the team.,"Resume: hiring involvement, talent assessment, team-building. Interview: proof of leadership scope beyond managing existing reports.",Medium-High,TR-0441
Sales Execution — Pricing Negotiation & Executive Escalation,Multiple files show Morgan navigating complex pricing situations: escalating to Bobby for competitor price-matching at MLK Jr. Middle (750-student first-time school; matched at $22.52/book); and handling a $27 vs $16.03 gap with a private all-school purchase school by pivoting gracefully and securing a next-day demo rather than losing the prospect.,"Untitled document(32).docx (TR-0427); Morgan -- Solo Intro Call, Private.docx (TR-0385)","""Per our conversation, I spoke with Bobby Hernandez (our Head of Sales) after our call and filled him in on MLK Jr. Middle's financial goals for the yearbook. We both agreed that we'll do everything we can."" // Price gap (private): $27 TreeRing vs $16.03 competitor — Morgan pivoted: 'If we're going to look at the software anyway, I can give my colleague a head's up and we can talk about it again tomorrow.' Prospect agreed.",Competitor price matched at $22.52 for 750-student school; $10.97 price gap handled without losing demo,"Commercial acumen and composure under price pressure — knows when to escalate, how to preserve the relationship, and what the next best outcome is.","Resume: commercial acumen, deal navigation, executive escalation judgment. Interview: strong story about composure under price pressure and knowing the next best outcome.",High,TR-0427 + TR-0385
Sequence Timing Architecture,Timing Brainstorm maps a full school-year cadence by persona.,Timing Brainstorm.docx,"Principal, Office Staff, General Email, and PTA/Advisor sequences are mapped from August through June, with school-start, fall, Thanksgiving, holiday, pre-spring, spring, end-of-year, and summer-planning beats.",N/A,"Lifecycle/cadence planning, persona-based outreach architecture, long-cycle campaign strategy.","Resume: lifecycle/cadence planning, persona-based outreach architecture. Portfolio: process artifact for sequence timing strategy.",High,https://docs.google.com/document/d/1TmwHTJIc__AXrT2hWlDWqEOTDABIeVyS
Pricing / Quote Positioning,Principal Quote script shows a transparent-pricing framework and value stack.,"Principal Quote, Call Script.docx","Script explains fair pricing by page count/cover type, softcover/hardcover choice, early-purchase discounts, included software/support/marketing/shipping, no contracts, no minimums, turnaround, fundraising, and flexible deadline.",N/A,"Pricing communication, value proposition clarity, objection prevention, sales script development.",Supporting artifact for pricing-sensitive call stories and objection-prevention proof.,High,https://docs.google.com/document/d/1gx599cOVkk7lk4vZVRQpVn9UkzV4SdPX
Sales Content Feedback 2022,"Sales Content Feedback 2022 verifies systematic sales-team feedback intake for content, sequences, resources, templates, snippets, videos, gifts, PDFs, and marketing support.",Sales Content Feedback 2022.xlsx,"Themes include strong agreement that content fit TreeRing voice, praise for friendlier/upbeat/helpful/shorter content, and requests for graphics, better resource organization, sample follow-up content, no-yearbook sequences, pricing resources, and ongoing sequence stats.",N/A,"VOC research, content ops, cross-functional enablement, survey design/analysis, feedback-driven roadmap.","Resume: VOC research, content ops, cross-functional enablement, feedback-driven roadmap. Portfolio: Content Committee case study anchor.",High,https://docs.google.com/spreadsheets/d/1DB6bPaI4WdJ4ks7ruj2jzA1hO9xeFwsJ
Content Committee Founding & Governance,"First Content Meeting and 01.26.21 transcript show Morgan formalizing a new Content Committee with mission, expectations, psychological safety, feedback intake, and a path from templates/snippets into sequence influence.",First Content Meeting.docx; 01.26.21 Content Meeting.docx,"Mission: review messaging, provide feedback/suggestions, identify needed templates/snippets, create content with Bobby/Kristina in loop. Morgan facilitated brand-tone debate, safe criticism, inbound/outbound perspective-sharing, organization pain, content request intake, and sequence architecture ideas.",N/A,"Leadership facilitation, content governance, VOC, cross-functional enablement, sequence strategy.",Resume: CC founding and governance proof. Portfolio: major Content Committee case study anchor — first meeting doc is the origin artifact.,High,DF-0042 + DF-0043
Metric-Driven Content Ops Roadmap,"Spring 2022 CC notes show the content team moved from discussion into organized roles, projects, surveys, and metrics.",CC Notes 4.27.22; CC Notes_ Spring 2022,"Roles included proofing, final formatting, awards, sequence stats, templates/snippets, surveys/feedback, and sequence writing. Metrics to evaluate included open/reply/click rates, meetings set, opt-outs, subject lines, step performance, 20-21 comparisons, samples-to-demo/qual/closed, long vs short, and customization frequency.",N/A,"Content operations, performance analysis, survey planning, lifecycle roadmap, team organization.","Resume: content operations, performance analysis, CC process ownership. Portfolio: CC case study supporting layer.",High,DF-0045 + DF-0046
Survey-Driven Sequence Improvement,Content Feedback June 2021 and May 2022 survey instrument prove a formal VOC loop for sequence/content feedback.,Content Feedback June 2021.pptx; Content Feedback Survey May 2022.docx,"2021 deck surfaced themes: fewer steps/sequences, less frequent pacing, best emails earlier, more feature focus, more storytelling, shorter messages, fewer I/me statements, more color/images, stronger re-approach language. 2022 survey expanded intake across inbound/outbound sequences, snippets/templates, marketing resources, performance signals, opt-outs, audiences, skipped steps, Vidyard/graphics/emojis, and sales-marketing collaboration.",15 feedback entries and 3 email idea submissions in June 2021 deck,"VOC research, survey design, feedback synthesis, content optimization, sales/marketing alignment.","Resume: VOC research, survey design, feedback synthesis, content optimization. Portfolio: CC survey evidence layer.",High,DF-0047 + DF-0048
Sales Engagement Tool Requirements,Drift Feedback shows detailed sales engagement platform requirements before later Outreach maturity.,Drift Feedback.docx,"Requests included scheduled send windows, time zones, reply-thread sequencing, approval/editing by step, open-rate reporting, A/B testing, templates, Salesforce enrollment confirmation, duplicate/cross-campaign warnings, multi-recipient support, bounce handling, and campaign filtering.",N/A,"Sales tech evaluation, RevOps/workflow thinking, QA/testing, reporting/data needs.",Supporting artifact for Outreach/Salesforce expertise and platform evaluation proof.,High,DF-0049
Salesforce Dashboard Architecture & SDR Workflow Design,"Morgan proposed custom Salesforce dashboards for SDRs to consolidate scattered reporting into role-specific operational hubs, specifying report logic across task queues, research, outreach, follow-up, and performance.",Individual SDR Dashboard Brainstorm.docx (TR-0464),"Design brief centers on consolidating scattered SDR reporting into one custom dashboard per rep, with exact Salesforce filter logic for 20+ reports.",20+ Salesforce reports specified; custom dashboards designed for individual SDR workflows,"Salesforce/reporting infrastructure design, workflow simplification, and manager-level operations thinking.",Resume: CRM/Salesforce systems ownership. Portfolio: dashboard design case study. Interview: reducing reporting friction for a sales team.,High,TR-0464
Senior SDR Self-Advocacy & Role Design,"Morgan and Jen formally advocated for Senior SDR recognition and expanded responsibilities, turning informal expertise into a proposed leadership role spanning meetings, training, and Outreach sequence management.",Morgan_Jen -- Next Steps!.docx (TR-0465),"“It DOES take skill. Skills that we have.” The proposal requests senior title/raise plus expanded responsibilities in team meetings, new hire training, and Outreach sequence management.",Jen 325+ all-time opportunities; Morgan approximately $11K from $1M in C/W revenue at time of writing,"Strategic self-advocacy, value articulation, and role design before Morgan’s later formal pod-lead scope.",Cover letters and proof decks: how Morgan recognized an org gap and argued for senior-level contribution. Interview story about earned scope expansion.,High,TR-0465
Cross-Functional Outbound Analytics Roadmap,"Morgan designed a cross-functional outbound analytics project spanning sequence performance, content assets, and downstream funnel outcomes, with year-over-year comparison logic across 2018–2022.",Melanie + Anna + Morgan_ 4.28.22.docx (TR-0475),"Analysis spec spans Outreach open/reply/click/bounce metrics by sequence and step; Vidyard views/watch percentage; THNKS redemptions; Salesforce progression from sample → qual → demo → closed/won by audience, state, and community type.","2018–2022 YoY comparison framework; 4-system analysis scope (Outreach, Salesforce, Vidyard, THNKS)","Analytics leadership, evaluation design, and cross-functional operating-partner behavior far beyond standard SDR execution.",Resume: cross-functional performance analytics. Portfolio: full measurement-framework case study. Interview: turning scattered sales signals into a decision system.,High,TR-0475
People Management — Verbal Manager Confirmation,"Bobby confirmed Morgan's management role on record in two separate settings 16 months apart: a full group meeting (May 2022) and a private bilateral (Sept 2023), with a direct report also corroborating the relationship.",MPP_Pod_Meeting_2022-05-19_09_22_GMT-7.txt (TR-0787); Bobby_MPP_Quick_Meeting_2023-09-15.txt (TR-0784),"TR-0787 (group, Bobby): 'Morgan has a responsibility... those are all things that she has the responsibility to manage you all on.' TR-0784 (private, Bobby): 'you’ll just need to sort of manage Tevez’s time as you normally would' — Tevez confirms: 'I know Morgan and I have talked about it.' 16 months apart, different settings, unprompted — two independent on-record manager confirmations.",2 separate manager confirmations 16 months apart; 1 direct-report corroboration; demo handoff standard named 'very Morgan' by manager,"Direct manager attribution of management responsibility — the strongest possible external confirmation that Morgan's pod lead role was genuine people management, not just an informal peer mentor function.",Resume: 'Led a pod of 5 SDRs' now backed by on-record manager confirmation. Portfolio: management story anchor. Interview: here are my manager's exact words about my scope.,Very High,
Crisis Management & Upward Advocacy,"During the August 2023 Salesforce people-accounts rollout (mid-peak, no SDR input), Morgan named the org failure on record, committed to ensuring leadership adjusted expectations, built a cross-pod escalation doc, and emotionally stabilized her team — all in a single meeting.",MPP_Pod_Meeting_2023-08-17_12_11_GMT-4.txt (TR-0799),"We didn’t get any SDR perspective... it was really kind of downplayed.' / 'My supervisors are going to have to understand that this is why... I will be sure to remind them of that.' / 'Just know that you guys aren’t alone. Make it till you make it. If I see it being okay, it will be.'",N/A — CRM crisis during peak season; cross-pod escalation doc built; performance expectations adjustment committed on record,"Full-spectrum crisis leadership in a single session: technical triage, upward accountability, cross-pod escalation coordination, and emotional team stabilization at the highest-stakes time of year.","Resume: change management, upward advocacy, crisis leadership. Portfolio: crisis management case study. Interview: how do you handle when the org fails your team?",High,
Competitive Intelligence Training Program,"Morgan independently organized and hosted a two-session Big Four competitive training series with Ed (Product Evangelist) covering Jostens, Herff Jones, Balfour, Walsworth, and LifeTouch — contributing original field research that Ed validated.",MPP_Pod_Meeting_2023-05-18_12_02_GMT-4.txt (TR-0796); MPP_Pod_Meeting_2023-06-14_12_03_GMT-4.txt (TR-0797); MPP_Pod_Meeting_2023-03-23_12_03_GMT-4.txt (TR-0794),"TR-0796: 'how do we shine when they already have the same bullet points?' — Ed: 'That’s a really interesting. I appreciate it.' TR-0797 field pattern: 'I run into it a lot where every elementary school will say, oh sorry, we work with Life Touch, we’re just told this.' TR-0794: 'I probably found like 30 or so different professional associations' — independent research fed into team strategy.",2-session competitive training series organized by Morgan; ~30 professional associations researched independently; LifeTouch district contract lock-in pattern identified from Morgan’s own territory,"Self-directed competitive intelligence research → structured training program, with original field observations validated by the company’s own product expert. This is go-to-market strategy contribution, not SDR execution.","Resume: competitive intelligence, sales enablement design, training leadership. Portfolio: CI training case study. Interview: how did you go beyond your job description to improve team performance?",High,
Original Outreach Techniques — Tested & Taught,"Morgan developed and taught multiple original outbound techniques confirmed effective in her own territory: PTA council name-drop, yes-and-yes demo psychology, group sequencing, and conditional variable personalization (if/else coding with bulk-at-scale execution).",MPP_Pod_Meeting_2023-03-23_12_03_GMT-4.txt (TR-0794); MPP_Pod_Meeting_2022-08-18_12_07_GMT-4.txt (TR-0788),"TR-0794: 'Once I was able to start saying that we were talking with the Georgia PTA council thing, I just started hearing back from a lot more people.' / 'it kind of gives them a choice between a yes and a yes.' / 'umpteen times more efficient.' TR-0788: 'we could literally catch three people with 20 emails instead of one. And it looks more human as an email.'",~30 professional associations identified independently to build the PTA council name-drop; group sequencing = 3x contact coverage per 20 emails; if/else conditional variable personalization system demonstrated live,"Morgan didn’t just execute known playbooks — she tested original techniques in her own territory, validated them, and systematically transferred them to her team. This is methodology innovation inside an SDR role.","Resume: sales methodology development, training design, original technique authorship. Portfolio: original outreach techniques case study. Interview: what’s the most creative thing you’ve done in outbound sales?",High,
Workable Schools Untouched Opportunity Analysis,Morgan's proactive Salesforce report 'Workable Schools Not Touched in 23-24' identified 795 schools representing $6.68M in estimated value that had not been contacted — a quantified coverage-gap finding surfaced through self-directed reporting.,Screen Shot 2024-01-16 at 3.29.36 PM.png (TR-0775),"Report shows 795 records, $6,683,860.20 total estimated value, $8,407.37 average EV per school, 206 unique districts, 201 counties, 40 states/provinces, 519 Hot Zone schools, 69 private schools. 'Save Report As' dialog visible, confirming Morgan ran this analysis proactively rather than being assigned it.","795 schools; $6,683,860.20 total estimated value; 519 HZ schools; 206 districts; 40 states/provinces","Morgan built Salesforce reports to systematically identify coverage gaps and quantify their dollar value — strategic territory management and data-driven opportunity recovery, not reactive account work.","Resume: territory analysis, CRM reporting, opportunity recovery, data-driven prospecting. Portfolio: coverage-gap analysis case study. Interview: how did you identify untapped opportunities in your territory?",High,
Content Committee Peer-Validated Sequence Authorship,"In CC Meeting 3 (January 2021), two colleagues independently validated Morgan’s sequence quality on the audio record: Jen uses Morgan’s sequences as her standing default for all prospects, and Stacey confirms Morgan’s voice is 'on brand.'",First_Content_Committee_Meeting_3_2021-01-26.txt (TR-0783),Jen: 'I’m putting everyone in free reduced PTA first catch sequences because I know that Morgan wrote those. So that I want everybody to have because I know that’s the real good one.' Stacey: 'your warm style of writing to me appeals so much more to also being on brand.',Jen routes ALL her prospects into Morgan’s sequences by default as a standing practice — not a single campaign endorsement,"Unsolicited peer attribution at the highest possible level: a colleague chooses Morgan’s work over her own defaults in daily practice, without prompting. Behavioral proof of sequence quality that can’t be disputed.",Resume: sequence authorship quality now has external peer validation. Portfolio: CC case study editorial-quality anchor. Interview: what’s the evidence your writing was actually better than others'?,Very High,
Title 1 Audience-Specific Sequence Authorship,"Morgan authored a complete 10-step A/B advisor sequence and a signed CA principal email targeting Title 1 schools, demonstrating audience segmentation, accessibility framing, and buyer understanding for under-resourced school audiences",Title 1 Advisor - Draft Complete.docx (TR-0151) + Title 1 - Principals.docx (TR-0133),"10-step A/B sequence with fundraising proof points ($700K raised / $4M programs), 'hidden costs' and 'non-contract' PDF objection steps, mission/affordability framing; Morgan-signed CA principal email with San Mateo personalization",10 email steps + A/B variants; $700K/$4M fundraising metrics embedded in copy,Audience-specific sequence authorship; accessibility messaging strategy; segmented copywriting for distinct buyer personas (advisor vs. principal),Resume achievement; portfolio case study; interview story on buyer persona research and segmented messaging,High,
Management Growth — Self-Assessed in Morgan's Own Voice (Jan 2023),"Morgan's Jan 2023 CultureAmp self-assessment submitted to Bobby documents her management identity, quarterly goals, challenges, and long-term ambitions — authentic first-person evidence of management competency",Self Reflection Jan 2023.docx (TR-0461),management voice' becoming second nature; Salesforce reporting 'my favorite part of the job'; acknowledged introvert managing a people-heavy role; expressed interest in Operations; quarterly growth goals documented,N/A (qualitative); submitted directly to manager Bobby,Management self-awareness; growth orientation; authentic voice; introvert-as-leader narrative; strategic career planning,Interview preparation; leadership narrative; career story framing,High,
"SDR Methodology — Original 8-Step Playbook, Consistent From 2016 to 2020","Morgan authored a complete SDR methodology for new hire training (2020) that mirrors her original 2016 marketing plan — confirming this philosophy was hers from year one, not a process she inherited","Sales Dev Process 2020, Morgan.docx (TR-0607) + 2016 School Year - Marketing Plan - Rough Draft.docx (TR-0663)","2020: 8-step process, targeting priority (HZ → Private → Green → Title 1), 'customer service for people who just don't happen to be customers yet'; 2016: identical multi-touch philosophy (email, phone, snail mail, social, holiday card, seasonal follow-up)",8 documented steps; targeting priority system; consistent methodology across 4+ years,Proprietary SDR methodology; training content authorship; original sales philosophy; institutional knowledge creation,Resume/cover letter; portfolio (method section); interview about building process from scratch,Medium,
PTA Council Strategy — Quantified Results + Training Delivery,"Morgan's PTA Council outreach achieved 74% open / 22% reply / zero opt-outs; she documented results in a training deck, leading to referrals to State PTAs and Bobby co-presenting initiatives she originated",PTA Councils.pptx (TR-0670),Numerous councils have written back saying they're forwarding my messages.' In one month: GA PTA District 10 referral to State PTA; Bobby co-presented at 2 Area Councils; CA 9th PTA District (300+ schools). 'Literally no one has replied unfavorably.',74% open rate / 7.4% click / 22% reply / 0 opt-outs; 300+ CA schools in one initiative; Bobby co-presented initiatives Morgan originated,Novel channel development; quantified outreach performance; training content creation from live results; executive buy-in for Morgan-originated strategy,Resume achievement (quantified outreach); portfolio case study (new channel development); interview about building something new,High,
Content Committee Authority — Formal Proposal to Leadership (May 2021),"Morgan and Jen formally proposed to leadership that the Content Committee — not incoming marketing hires — should own outbound sequence writing, asserting 10 combined years of expertise and citing better anticipated results",Content Committee.pptx — CC Proposal to Leadership (TR-0671),"Jen and I alone have 10 years of experience doing this. I'm good at outbound and management, but I also happen to be a great designer and writer!' 'We are the OG's :).' 'We'll get much better outbound sequence results if the people writing them are actually in Outbound.'",10 combined years expertise cited; CC retained sequence ownership through Morgan's departure,Organizational influence; authority advocacy; leadership at peer-and-upward level; strategic investment in CC work,Resume/cover letter; interview on influencing without formal authority; portfolio supporting CC sequence authorship claims,High,
Personalization at Scale — Handlebars Formula Library,"Morgan documented her personal Outreach variable formula library for the full SDR team — including nested conditionals, day-of-week greetings, and nickname/account logic — confirming she invented and owned the personalization system the team used across all sequences",Formulas I used :) (TR-0717),"Day-of-week greetings: '{{#if is_monday}}Hope you have a lovely Monday!{{/if}}' through Friday; nested yearbook name formula; nickname vs. account name conditional; parent org variable; salutation + title logic — all triple-nested Handlebars, documented proactively for team use",7+ distinct formula variants documented; used across all SDR sequences,Technical depth; personalization system authorship; documentation for team use; Outreach platform mastery at the variable/conditional level,Resume/LinkedIn technical skills section; portfolio (technical artifacts); interview about scalable personalization and Outreach platform depth,Medium,TR-0457 + TR-0482
Outreach Sequence Performance at Scale — Multi-Segment Campaign Metrics (2021),"Two Outreach screenshot sets from early 2021 document Morgan's sequence performance across 10+ audience segments at scale, including a 62% reply rate on District sequences and 57% reply rate on Trial Account requests — among the strongest engagement metrics in the archive",File-Screen Shot 2021-04-28 at 4.21.20 PM.png (TR-0643) + File-Screen Shot 2021-02-09 at 2.35.53 PM.png (TR-0645),"Apr 2021: MS/HS Teacher 83%/32% reply (804 contacted); Support Staff 83%/38% (751); MS/HS Principal 77%/14% (1,901 contacted). Feb 2021: District 1st Touch 83%/62% reply (287 contacted); Trial Account Request 88%/57% reply (407 contacted)","District 1st Touch: 83% open / 62% reply (287 prospects); Trial Account Request: 88% open / 57% reply (407 prospects); MS/HS Teacher: 83% open / 32% reply (804 contacted); 1,901 prospects on Principal sequence",Campaign performance at scale; audience-segment differentiation; multi-persona outbound strategy results; strongest reply rates in archive,Resume achievement (quantified metrics); portfolio case study (campaign performance by segment); interview about persona-based outbound strategy,High,TR-0652
"Sequence Authorship — Calendar Links, A/B Testing, and School-Research Design","Morgan's completed In Contract, Advisor Year 2, and Principal Year 2 sequences show authorship through embedded personal calendar links, A/B tested testimonials with named schools, and a personalization step requiring custom school website research — design choices only the sequence author would make",Done - In Contract + Companion (TR-0693) + Advisor Year 2 - Done (TR-0694) + Principal Year 2 - Done (TR-0695),In Contract: grow.treering.com/calendar/user/morgan/ links embedded; 'My personal favorite is: recognition ads!'. Advisor Year 2: A/B testimonials (Williston HS sold out vs. East Columbus HS). Principal Year 2: 'THIS WILL REQUIRE GOING TO THE SCHOOL WEBSITE AND DOING SOME CUSTOMIZATION. TAKES MORE TIME BUT WILL BE WORTH IT',3 complete sequences (9–12 steps each); A/B tested variants; personal calendar URL = definitive authorship proof; school event personalization step,Sequence authorship (personal URL proof); A/B testing methodology; personalization-at-scale design; technical sequence architecture and buyer psychology,Portfolio (sequence examples); interview about sequence design and testing; authorship supporting evidence for all sequence claims,Medium,"TR-0767 + TR-0771. Pair with Verified Claims row for the 6,186-record export; treat the Outbox count as workflow-scale context, not a business outcome."
CRM Audit Dashboard & Opportunity Recovery,A 05.14.26 Salesforce dashboard screenshot captures Morgan’s inactive-owner cleanup work as a concrete operating system: 45 accounts scrubbed and $189K in potential value surfaced through structured reporting.,CRMAuditRoleDashboard.png (TR-0772),"Dashboard reads “Viewing as Morgan Escott,” with “Accounts Scrubbed 45” and “Potential Value $189K” under inactive-owner cleanup/reporting views.",45 accounts scrubbed; $189K potential value,"CRM data hygiene, report-driven cleanup, and opportunity-recovery thinking translated into a visual, audit-friendly artifact.",Resume/interview support for CRM audit value; portfolio proof-deck slide on systems/reporting impact.,High,TR-0772. Pair with the broader $3M+ CRM audit story only when the relationship is explained clearly; this screenshot itself verifies the narrower $189K dashboard-state figure.
Pod Management Operating System — Rep-Level Performance Tracking & Review,"Morgan’s pod-lead evidence extends beyond overall team results: she maintained rep-level performance dashboards and structured quantitative review materials that tracked individual activity, engagement, meeting outcomes, opportunity creation, and revenue contribution.",22-23 So Far_.docx (TR-0651); Erin.docx (TR-0462),"TR-0651 breaks out five direct reports individually across prospects contacted, emails delivered, response time, unsubscribes, reply/open/click rates, booked meetings, held meetings, and held-rate performance. TR-0462 shows Morgan using multi-year quantitative review logic for Erin, including opportunity volume, opp value, closed-won revenue, and C/W rate.","5 direct reports tracked in TR-0651; pod averages of 9.1% reply, 72.5% open, and 87.8% meetings held. Erin review in TR-0462: 56 opps, $296,725 opp value, $200,858.89 overall revenue, 62.5% closed-won rate.","Quantitative people management, performance-review rigor, and the ability to turn team leadership into a measurable operating cadence rather than relying on anecdotal supervision.",Resume/interviews: data-driven team leadership and performance management. Portfolio/proof deck: strongest support for Morgan as a pod lead who built reporting discipline around direct reports. Use specific metrics externally only after Verified Claims adjudication.,High,TR-0651 + TR-0462
Untouched Opportunity Pool Discovery via Salesforce Reporting,A 05.14.26 Salesforce report screenshot captures a large untouched-but-workable school universe surfaced for 23-24 coverage analysis.,Screen Shot 2024-01-16 at 3.29.36 PM.png (TR-0775),"Report title: Workable Schools Not Touched in 23-24. It shows 795 total records, 6.68M+ total estimated value, 8.4K average estimated value, 206 districts, 201 counties, 40 states/provinces, 519 Hot Zone schools, and 69 private schools.","795 records; 6,683,860.20 total estimated value","Morgan could use Salesforce reporting to expose coverage gaps, quantify untouched opportunity pools, and translate CRM data into action-oriented market intelligence.",Resume/interview support for CRM analytics and opportunity discovery; portfolio/proof-deck slide on uncovering market gaps.,High,TR-0775. Pair with the Verified Claims row and avoid implying realized revenue.
