Evidence Guide,Which career narrative themes does each piece of evidence support?
Verified Claims,"Is a specific metric safe to use externally, or does it need more verification?"
,
━━━  WORKFLOW: CAREER DOC DRAFTING  ━━━,
Step 1,Identify the claim you want to make (e.g. 'I authored 21 email sequences')
Step 2,Check Evidence Guide for the relevant theme → note the TR references listed there
Step 3,"Open Coverage Tracker → find those TR entries → read Metrics Found, Notes, and Confidence"
Step 4,Cross-reference Detective Findings → check 'Use Caveat' column for framing guidance (important for authorship and call ownership)
Step 5,Verify any numbers in Verified Claims before publishing externally
,
━━━  CRITICAL CONTEXT NOTES  ━━━,
Early SDR Call Model,"When the SDR team launched, AEs (Brady, TJ, Kris, Kristie) ran demos — but Morgan BOOKED every meeting through cold outreach and joined calls muted. Every call note in Morgan's Drive = a meeting she sourced."
  'Me:' in call notes,Morgan ran the call solo. Stronger claim — use as independent sales execution evidence.
  AE name in call notes,"Morgan set the meeting (prospecting evidence). Frame as 'sourced and coordinated,' not 'ran solo.'"
  Volume of call notes,Morgan's prospecting throughput. The count itself is evidence of calendar-filling capacity.
,
Sequence Authorship Split,"Kristina (VP Marketing) tried to take over all sequence writing. Morgan negotiated to keep niche segments. Kristina wrote daily-driver sequences; Morgan wrote Private, Title 1, and HZ-adjacent sequences."
  Key proof doc,"Summer '20 Sequence List (TR-0208): 21 Morgan-authored / 18 Kristina — unambiguous, column-by-column attribution doc."
  Additional proof,Summer '20 Proofreading tracker (TR-0209): Morgan proofed ALL 39 sequences incl. Kristina's 18 — editorial authority over full library.
  Metric caveat,"Niche sequence metrics (Private, Title 1) may be elevated — reps added non-niche prospects to them. Note this caveat when citing engagement rates for those sequences."
  Morgan's own words,TR-0419: 'People were using [niche sequences] even if they weren't supposed to'; 'sales cycle sequences were my idea'; 'I used to finish before Kristina!'
,
SalesLoft Attribution,"Many SalesLoft SUMMARY screenshots show 'by morgan@treering.com' verbatim. Use this exact phrasing in career docs — it is direct tool-sourced attribution, not inferred."
  Strongest examples,"TR-0760 (95% open / 54% reply, Private Mid/High/K-12) | TR-0752 (38% reply, 17-18 HZ) | TR-0756 (33% reply, HZ Parent Group) — all attributed by morgan@treering.com"
,
Trees Counter Dating,Sequence era estimated from tree-planting milestone: 1M trees = ~2016-17 | 2M = ~2017-18 | 2.5M = ~2018-19 | 3M = later mid-era | 4.5M = latest era
,
━━━  KEY METRICS REFERENCE  ━━━,
— REVENUE —,
All-time revenue,"~$874,622.63  (TR-0285)"
Year 3 peak,$382K vs Jen Rock's $187K same year — 2x outperformance  (TR-0285)
Year 1 → Year 3 growth,~113% revenue increase  (TR-0285)
Year-by-year opps/rev,Y1: $521K opps / $179K rev | Y2: $490K / $273K | Y3: $461K / $382K | Y4: $32K / $39K (partial — MPP transition)  (TR-0285)
,
— OUTREACH PERFORMANCE —,
In Contract sequence,34% reply rate
PTA Councils,74% open / 22% reply / 0 opt-outs
HZ Spring 1st Touch,85% open / 39% reply (89 contacted)
Jan 2022 sequences,"63% avg open rate (all 6 at 50%+); 8.7% reply; 4.3% click; 3,337 prospects added  (TR-0392)"
Private Mid/High/K-12 (18-19),95% open / 54% reply — 43 prospects — attributed 'by morgan@treering.com'  (TR-0760)  ← strongest in archive
HZ Intro 1st Touch,Step 1 screenshot detail: 82% open / 23% reply — 88 sent  (TR-0753; lower-priority than the sequence-summary metrics above)
17-18 HZ Follow-Ups,77% open / 38% reply — attributed 'by morgan@treering.com'  (TR-0752)
Engaged: Feb Clean-Up,87% open / 27% reply  (DF-0146/147)
Nov 2022 pod vs team,Reply 2.8% vs 2.6% | Call connect 14% vs 8% | Meetings-held 91.7% vs 88.4%  (TR-0402)
,
— PORTFOLIO & TERRITORY —,
Total accounts managed,"2,263 accounts / $15,129,405 estimated value  (TR-0413)"
HZ territory scope,"1,578 schools total (942 Keep / 636 Give) — ALL HZ Schools-2021  (TR-0233)"
HZ territory value,"$29,251,188 total Hot Zones master-list value across the broader program; Morgan-owned examples include Wake, Cobb, Fulton, Prince William, and Gwinnett  (TR-0117)"
Smart Spreadsheet territory hub,"Morgan-built Salesforce-synced prioritization workbook for Hot Zones, Private, Green, Title 1, and Public accounts; supports CRM hygiene + territory strategy claims already verified elsewhere  (TR-0284)"
,
— DEMOS & CLOSING —,
Demo evidence,"Detailed solo demo script plus documented strong demo/follow-up examples; the blanket “100% close rate” claim is not yet supported strongly enough for Verified Claims  (TR-0337, TR-0372, TR-0400)"
Direct reports documented,5 direct reports tracked in pod performance materials  (TR-0651; stronger claim-support source than the older template/reference doc TR-0276)
Pod goals,20-21: 69 opps / $441K pipeline / $311K closed-won; pod of 6  (TR-0277)
,
— CONTENT COMMITTEE —,
Founded & chaired,"January 2021, by Morgan  (TR-0373)"
Snippet output,52 snippets created in February alone; 22 public (35%)  (TR-0290)
Training library,129 Outreach sequences + 55 SDR Persona sequences in new-hire curriculum  (TR-0007)
Sequence campaign scope,45 total campaigns; 19.5 avg steps per campaign  (TR-0414)
School fundraising raised,"$8M+ raised by TreeRing schools — company/customer proof point used in Morgan-authored PTA sequence copy; contextual, not Morgan-only performance  (TR-0740)"
,
— PROCESS MAP —,
Live URL,escottmorgan.wixsite.com/processmap  (confirmed live 2026-05-02)
What it is,8-step SDR workflow website Morgan built as official team training infrastructure — referenced in training decks and used in live coaching sessions
,
━━━  LOCAL PROJECT FILES  ━━━,
Project folder,/Users/morganescott/TreeringFileAnalysisProject/
Canonical file list,DriveDirectory_Updated - File Audit.csv — source of truth for Active Inventory tab
Active Inventory snapshot,active_inventory_snapshot.txt — last fetched 2026-05-12 (re-fetch at session start if resuming work)
Coverage Tracker snapshot,coverage_tracker_snapshot.txt — last fetched 2026-05-12
Detective Findings snapshot,detective_findings_snapshot.txt — last fetched 2026-05-12
Claude memory file,/Users/morganescott/.claude/projects/-Users-morganescott/memory/project_treering_archive.md
,
━━━  REVIEW LEGEND  ━━━,
(Merged from former Review Legend tab — 2026-05-12),
,
— REVIEW STATUS —,
Needs Review → File is in inventory but has not been read or summarized yet. Default for newly added files.,
"Reviewed - Partial → File was opened or skimmed, but not fully analyzed. Use when content is promising but incomplete.",
Reviewed - Verified → File has been opened and the key claim(s) were verified from content. Safe for evidence guide and resume drafting.,
"Duplicate / Derivative → File appears to be a copy, export, comment HTML, or alternate version of another file. Do not double-count; link to canonical file.",
"Skipped / Archive → File is low-value, media-only, system junk, or outside current scope. Only revisit if a related artifact points back to it.",
Blocked / Not Found → Expected file could not be located or opened. Search later with alternate names.,
,
— PRIORITY —,
Critical → Likely core portfolio/resume evidence. Review early and cite carefully.,
High → Strong supporting evidence. Review in current lane.,
"Medium → Useful context, but not likely centerpiece. Review after high-value files.",
"Low → Probably archive, duplicate, or nice-to-have. Defer.",
,
— CONFIDENCE —,
High → Claim is supported by file content. Safe to use with citation/receipt.,
Medium → Claim has some support but needs another source or clearer context. Use cautiously.,
Low → Lead only; do not use in final materials yet. Needs verification.,
,
— EVIDENCE TYPE —,
"Performance analysis → Metrics, reporting, dashboard, or outcomes. Prioritize for resume bullets.",
"Campaign architecture → Sequence map, editorial calendar, persona matrix, QA plan. Prioritize for portfolio process story.",
"Training / enablement → Decks, guides, onboarding, workflow instructions. Use for leadership and enablement proof.",
"Meeting notes → Internal decisions, leadership context, product/process insight. Use for color and interview examples.",
"Call notes → Prospect discovery, objection handling, selling style. Use for sales style and case examples.",
,
━━━  INVENTORY TRIAGE RULES  ━━━,
(Merged from former Inventory Triage Rules tab — 2026-05-12),
,
"Archive / Skip → Patterns: Signature Images, .DS_Store, TR Official Marketing, bulk Onsites photos, Elizabeth. Lane: Archive / Low Priority. Skip unless another file points to it.",
"Money Makers → Patterns: Persist Backups, Sequences, Content Committee, WorkflowPerformance, IST. Lane: Money Makers. Priority: High. Review first after inventory setup.",
"Leadership Sandbox → Patterns: MPP, LeadershipCollaboration, CultureAmp, Development, TrainingGuides, Trainings. Lane: Leadership Sandbox. Priority: High/Medium. Review after Money Makers.",
"Detective Work → Patterns: UntitledDocs, Misc. Notes, MiscSpreadsheets, Call_Demo Notes, Feedback, To Sort. Lane: Detective Work. Priority: High/Medium. Review systematically in batches.",
"Duplicate / Derivative Signals → Patterns: (1), (2), Copy of, comments.html, .gdoc. Open canonical first; only read duplicates when comments/version history matter.",
"Persist Metric Hunt → Patterns: Persist Backups screenshots + CSVs. Priority: High. Likely source for 77-83%, 85%, 39%, 43%, 480k-style claims. Prioritize screenshots/CSVs with campaign names.",
Call Note Hunt → Patterns: Call_Demo Notes + UntitledDocs. Priority: High. Likely sales style/discovery examples. Open and classify call vs internal vs junk.,
"Screenshot Metric Hunt → Patterns: Type = Image + Screen Shot/Persist_Campaign Backups. Priority: High. Contains dashboard performance metrics. Prioritize HZ, Wake, Private, Engaged, Local clusters.",
,
— ADDITIONAL STATUS VALUES (added 2026-05-27) —,
Reviewed - No Value →,File was reviewed and found to contain no useful career evidence. Safe to deprioritize and exclude from evidence searches. Early entries may use the synonym 'Reviewed - No Evidence' — treat as identical.
Reviewed - Duplicate →,File is a confirmed duplicate of a specific tracked entry (see Notes column for canonical TR reference). Variant of Duplicate / Derivative — prefer 'Duplicate / Derivative' for new entries.
Gap — ID Unassigned →,Row exists in tracker but no file was assigned to this ID. Caused by a logging error or accidental blank row insertion. Documentation only — skip in all evidence searches.
TR-0035 — Retired ID →,The spreadsheet row for TR-0035 was physically deleted; no file exists for this ID. Permanently retired. All entries from TR-0036 onward shifted up by one row as a result.
