Finding ID,Source File,URL,Finding Type,Persona / Context,Best Details,What This Proves,Portfolio Potential,Resume Potential,Confidence,Use Caveat,Reviewed,Next Follow-Up,Notes
DF-0011,"Jordan, Demo.docx",https://docs.google.com/document/d/1bbIUzQol98T9Cf5_ogkWtEb8_AtrEQAL,Demo notes / outcome,First-year yearbook teacher; pricing + platform ease concerns,"Full demo walkthrough across no cost/no contract/no minimums, dashboard, sales tracking, marketing, editor roles, page management, editing, portraits, support; prospect asked how to move forward and scheduled next-day setup/pricing handoff.","Strong product storytelling, demo execution, feature-to-value translation, closing/next-step handling.",Excellent qualitative demo case,Strong demo/sales proof,High,Use as Morgan-led demo artifact.,2026-05-01,Pair with Demo Script for framework-to-live-demo case.,This is one of the strongest actual demo examples because it ends in a clear next step.
DF-0012,"CC_ Sample Sent, No Demo (WORKING).docx",https://docs.google.com/document/d/1_u72-nWXfCA3pjOa0T_N6PeREm4odsgD,Sequence draft / lifecycle nurture,"Sample sent, no demo scheduled nurture flow","12-step concept includes sample delivery confirmation, follow-up timing preference, Top 10 Reasons link, phone tasks, A/B subject tests, software demo preview, local/account fallback variable, pricing/references offers, non-contract PDF, testimonials, Google Meet CTA, selection-process question, and terminal task outcome.","Lifecycle nurture design, A/B thinking, sales-cycle sequencing, sample-follow-up strategy, Outreach variables, non-pushy CTAs.",Excellent sequence/process support,Strong lifecycle/CRM/email proof,High,Working draft; V2 duplicate mostly same. Use canonical or compare revisions if needed.,2026-05-01,Connect to high-performing Sent Sample screenshot: 91% open / 70% reply if same/related campaign.,Strong bridge between copy artifact and screenshot metric.
DF-0013,"CC_ Sample Sent, No Demo V2.docx",https://docs.google.com/document/d/1N_3fD2P_1ipyGvppT3ACQKJbrfDv3W2p,Sequence draft duplicate/version,"Sample sent, no demo scheduled nurture flow",Content appears substantially same as WORKING version; includes same 12-step structure and A/B tests.,Versioning / iteration evidence.,Support only if version history matters,Maybe useful as derivative proof,High,Duplicate/derivative of working draft.,2026-05-01,No further review needed unless comments/version context matters.,Mark as duplicate/derivative in final cleanup.
DF-0014,"Morgan -- Solo Intro Call, Private.docx",https://docs.google.com/document/d/1x3SemJxOSqCuII6UNBe08XjGP6Ri3Vjq,Discovery / intro call + tailored call script,Private school / all-school purchase / price-sensitive incumbent contract,72-page hardcover; school buys 400 books and gives one to every student; current contract price was $16.03 vs TreeRing calculator around $27; Morgan adapted value props because no-minimum/no-cost worked differently for all-school purchase.,"Persona-specific positioning, honest pricing handling, adapting messaging to buying model, private-school/all-school-purchase fluency.",Excellent qualitative positioning artifact,Strong discovery/strategy proof,High,"No close/outcome in this file; use for adaptable consultative selling, not result.",2026-05-01,"Pair with Nov 7 Kristie demo, likely same prospect.",Great private-school pricing caveat artifact: Morgan notes which default talking points are less relevant and reframes them.
DF-0015,Mr. Ray Call with TJ.docx,https://docs.google.com/document/d/1_j7S9MivPRPJNc82gGvolGIzyRWfm0xU,Follow-up support / onboarding notes,Mr. Ray after signup/account access,Prospect did not want to screenshare; had questions about adding pages/table of contents/theme; TJ walked him through support and provided number.,Post-demo/customer onboarding documentation and handoff support.,Low-to-medium support context,Minor resume value,Medium,Lightweight note; not a centerpiece.,2026-05-01,Tie to earlier Mr. Ray intro call only if building customer journey timeline.,Shows continuity from discovery/demo to support/onboarding.
DF-0016,"Nov 7 2019 -- Demo, Kristie.docx",https://docs.google.com/document/d/18h7DFC4m0SV1QJ15A-g5e1ElHA-bDW-4,Demo notes / private all-school purchase,"Private/all-school purchase prospect, likely continuation from Morgan solo intro call","Prospect wanted photo upload/templates/storage, did not allow parent photo uploads, had team of kids, all-school purchase of 400 books at $16.03; Kristie quoted $18, 30% off list, free books, and trial account after deadline.","Strategic demo prep, pricing handoff, private-school workflow needs, objection/context capture.",Good support artifact when paired with Morgan intro,Useful sales-cycle/handoff proof,High,Demo led by Kristie; use as coordinated handoff context.,2026-05-01,Pair with Morgan Solo Intro as discovery-to-demo handoff story.,Shows how Morgan’s pricing/angle notes fed the next conversation.
DF-0017,"Oct 19 2019 - Call Notes, Angela.docx",https://docs.google.com/document/d/1t6Oqh6MhRVkQ7u2BlKnu8qFj_EPuIav6,Discovery call notes,High-RLP public elementary / no prior yearbook,"Prospect liked no-cost/low-risk model; asked about licenses, turnaround, portraits/Lifetouch, delivery, sign-up, logins, and bringing co-chairs into a demo.","Low-friction buyer education, early-stage opportunity qualification, high-RLP/value-sensitive positioning.",Good support artifact,Useful sales discovery proof,High,Overlaps with CALL PRACTICE Super Interested.,2026-05-01,Can be linked to call-practice version as real call source.,"Clean example of concise, supportive discovery."
DF-0018,Oct 23 2019 -- Call Notes.docx,https://docs.google.com/document/d/1GvD9gLyB5ZFI0sZikNhal6LGSOxb0Op4,Discovery call / objection handling,Private K-12 librarian / all-school purchase / support reputation concern,"First-year advisor asked about Yelp/support concerns, lack of in-person rep, quote, samples, software access, demo logistics; Morgan positioned support, references, software ease, discounts, customization, eco value.","Support/reputation objection handling, private-school buying model fluency, calm qualification.",Good objection-handling artifact,Useful sales proof,High,Overlaps with CALL PRACTICE Formal Teacher; use canonical or training pair.,2026-05-01,Pair with Formal Teacher call-practice artifact.,Good source for 'answered hard support objection without defensiveness.'
DF-0019,"Oct 3 2019 - Demo, Kristie.docx",https://docs.google.com/document/d/151hHzeYMx2is22q2nVaEURAoTMFV5QSY,Demo notes / designer persona,Private/parent-group prospect with design background using Adobe/InDesign,"Prospect had serious design experience, asked about SmugMug, privacy, custom pages, parent photo uploads, editor access, fonts, file types/EPS/PNG transparency, portraits, proofs, turnaround, board approval.","Technical/design fluency, buyer-persona adaptation, feature/value capture for creative prospects.",Good support artifact,Useful creative + sales proof,High,Demo led by Kristie with Morgan contributing on file-format question.,2026-05-01,Look for follow-up email about EPS/PNG if needed.,This is a nice bridge between Morgan’s design fluency and sales context.
DF-0020,"Sept 16 2019 -- Demo, Kristie.docx",https://docs.google.com/document/d/1qaXt7LU4nUvtIrnd-jslMRblT4zWhpC8,Demo notes / pricing + turnaround negotiation,Parent-group-driven school; quality/turnaround/price-sensitive; all-school purchase,"76-page softcover; current $15 cost/$20 sale price; needed staff books covered; Kristie modeled $20 price with $1 fundraiser, $325 raised, free books, and explored need for two-week turnaround approval.","Complex pricing/turnaround discovery, switch-risk awareness, fundraiser/free-book positioning.",Strong supporting artifact,Useful sales-cycle proof,High,Demo led by Kristie; use as support/handoff context.,2026-05-01,Could pair with quality/turnaround messaging in demo script.,"Good example of 'not just features, but operational feasibility.'"
DF-0021,"Sept 24 2019 -- Call Notes, Jennifer.docx",https://docs.google.com/document/d/1dAGvR-vaRcReicmBWqzSzxnjGTEZsWdy,Discovery call / large elementary program,Large green-ribbon school; parent-designed book; Jostens incumbent,720-750 books sold; 148 pages; $30-$40 pricing; deadline/cover stress; ReplayIt photo-upload pain; green mission; 5th-grade ads; no-minimum explanation; soft/hardcover option; custom pages as relevance solution for 750 kids; post-call sample/theme follow-up.,"Rich consultative discovery, competitive positioning, eco-value alignment, product-fit storytelling, post-call research/follow-up.",Excellent qualitative case artifact,Strong sales discovery/interview proof,High,"Locked in for current year, so frame as future-cycle nurture/discovery.",2026-05-01,Find related follow-up/sample send if possible.,One of strongest call notes after Melissa; great for green/eco + photo workflow pain.
DF-0022,"Sept 25 2019, Call Notes.docx",https://docs.google.com/document/d/1N9KQsP1922e1hYvJYXv8T3bn10uabe1C,Discovery call / high school program,"High school yearbook advisor with staff of 23, ad revenue goals, Jostens incumbent","Needed to raise $10,000 in ads; 625 copies; 40-45% student purchase rate; 8-week turnaround; Jostens software compared to Windows 93/Paint; Adobe cost concern; Morgan bonded over design/Adobe and did post-call pricing research from website.","High-school pain discovery, design/software fluency, fundraiser/ad-revenue awareness, competitive research.",Excellent high-school segment support,Strong discovery + design fluency proof,High,Short call due field trip; no outcome yet.,2026-05-01,Search for follow-up/demo/trial account if needed.,Great quote: Jostens software compared to Windows 93/Paint.
DF-0023,Notes from 3_12_20 Sales Dev Brainstorm.docx,https://docs.google.com/document/d/1LN7eP1ZlMQiGeFoAjmAjjUX7Negv_Ee9,Sales-dev brainstorm / voice-of-sales research,SDR team sharing what works in outreach,"Team surfaced shorter emails, empathy for busy school staff, specific staff-name mentions, bullet points, genuine subject lines, local context, contract timing, PTA turnover, and need for advisor-specific sequences.","Feedback synthesis, sales-team facilitation, sequence optimization, persona/timing strategy.",Excellent Content Committee/support artifact,Strong marketing ops / enablement proof,High,"Meeting notes, not final output; pair with later sequence changes and performance metrics.",2026-05-01,Link to Timing Brainstorm and Content Feedback.,Important theme: shorter emails seem to get more replies.
DF-0024,Sales + HVA Meeting Notes.docx,https://docs.google.com/document/d/1sp4H8lM97ZrPVqLSQkO6BeIwb0AWkUDU,Cross-functional sales/support notes,Sales Dev + Customer Delight/HVA handoff and referral process,"Notes cover customer referral ideas, 7,000 customers vs 135,000 schools, support channels, priority sales-support handoff, peak support timing, high-value inbound handoff, and exact turnaround language.","Cross-functional process thinking, referral strategy, sales-to-support handoff discipline, expectation management.",Good ops/process support artifact,Useful RevOps/sales enablement context,High,"Team meeting notes, not necessarily Morgan-owned; use as participation/context.",2026-05-01,Search duplicate file if needed; second listed copy was not found.,Strong for process and handoff language.
DF-0025,"Sales Dev Meeting, 11_7.docx",https://docs.google.com/document/d/1tYcZL2Bl3H-DgFvnmJKGAwmaWw1oU8NV,Team meeting / leadership facilitation,Sales Dev team meeting led by Morgan-style notes,"Notes cover BOB updates, Lightning adoption/customization asks, campaign-name tracking, and private/all-school purchase positioning differences across no cost, minimums, alumni/history, fundraisers, softcover/hardcover, discounts, and eco value.","Team facilitation, Salesforce process alignment, persona-specific messaging, private-school strategy, CRM hygiene.",Excellent leadership/process artifact,Strong leadership/sales enablement proof,High,Internal notes; use as team guidance/facilitation evidence.,2026-05-01,Pair with Morgan Solo Intro Private and Team Brainstorm Private/Title 1.,Very strong evidence of Morgan teaching nuanced positioning to SDRs.
DF-0026,Team Brainstorm -- Private & Title 1.docx,https://docs.google.com/document/d/1Jozi2c0ZWKtD5miCwo2RIC0SyX5NQlf1,Persona messaging brainstorm,Private schools and Title I / high-RLP schools,"Private: tradition, alumni, history, premium quality, eco, all-school purchase, development/fundraising nuance, headmaster/head of school language. Title I: affordability, inclusion, accessible/flexible, kids, careful tech/custom-page language, softcover/hardcover choice, class demos.","Persona segmentation, sensitive messaging, inclusive positioning, market strategy, K-12 nuance.",Excellent persona-strategy artifact,Strong marketing/copy strategy proof,High,"Brainstorm doc; use as strategy support, not outcome.",2026-05-01,Pair with private and Title I call notes plus sequence performance.,One of the best artifacts for showing ethical segmentation and audience empathy.
DF-0027,SDR What_s Working Brainstorm March 2021.docx,https://docs.google.com/document/d/1vkbKxSqu3BiqUzBP2ApYZNbJGarLDRNk,Voice-of-sales brainstorm,SDR team tactics that worked in 2021,"Team notes include local knowledge, secretary/name references, school context, state-specific customer counts, nearby customer name-dropping, publisher-specific callbacks, spring break/weather/local notes, respectful tone, and salutations for teachers/secretaries.","VOC synthesis, tactical personalization, local relevance, state/customer proof strategy.",Strong support artifact,Useful for content/enablement proof,High,Team brainstorm; use as pattern evidence rather than individual claim.,2026-05-01,Connect to Hot Zone + Outreach Coding Ideas.,Reinforces that localization and specificity were core to the system.
DF-0028,Timing Brainstorm.docx,https://docs.google.com/document/d/1TmwHTJIc__AXrT2hWlDWqEOTDABIeVyS,Sequence timing architecture,Persona-based yearly outreach cadence,"Maps email dates and themes across Principal, Office Staff, General Email, PTA + Advisor from August to June, with school-start, fall, Thanksgiving, holiday, pre-spring, spring, end-of-year, and summer-planning timing.","Long-cycle cadence planning, persona-based timing, seasonal campaign architecture.",Good sequence-ops support artifact,Strong lifecycle/Outreach proof,High,Planning doc; pair with actual sequences/results.,2026-05-01,Connect to 2nd Semester Sequence Review and performance screenshots.,Great proof that sequence timing was intentionally designed.
DF-0029,"Principal Quote, Call Script.docx",https://docs.google.com/document/d/1gx599cOVkk7lk4vZVRQpVn9UkzV4SdPX,Call script / pricing positioning,Principal quote call framework,"Script frames transparent/fair pricing, page count/cover type, softcover/hardcover choice, early-purchase discounts, included software/support/marketing/shipping, no contracts, no minimums, short turnaround, fundraising, flexible deadline, and next steps.","Pricing communication, principled positioning, objection prevention, value-story structure.",Good sales script artifact,Useful pricing/demo proof,High,"Rough draft; use as support, not final language.",2026-05-01,Pair with pricing-sensitive call notes.,Useful for transparent-pricing narrative.
DF-0030,PTO Today Event Notes.docx,https://docs.google.com/document/d/1ZnZBQY_FQL_mu-bA-PK9sJGGjKOccSkN,Event notes / lead capture,PTO Today / event-based prospect notes,"Short notes capture contacts, school names, contract/vendor obstacles, TreeRing interest, custom pages, transfer-to-teachers question, and follow-up needs.",Event lead capture and trade-show/event follow-up discipline.,Minor support artifact,Low resume value,Medium,Sparse notes; not a centerpiece.,2026-05-01,Only revisit if building event-based outreach story.,Useful but thin.
DF-0031,Sales Content Feedback 2022.xlsx,https://docs.google.com/spreadsheets/d/1DB6bPaI4WdJ4ks7ruj2jzA1hO9xeFwsJ,Sales content survey / VOC research,"Sales-team survey on content, sequences, resources, snippets, Vidyard, THNKS, PDFs, marketing resources","Feedback shows strong agreement that content fits TreeRing voice; praise for friendlier/upbeat/helpful/shorter content; needs for graphics, more updated flyers/videos, better resource organization, easier snippets, more sample-follow-up content, sequences for no-yearbook schools, pricing resources, and ongoing sequence stats.","Formal VOC research, content ops, cross-functional enablement, survey design/analysis, feedback-driven roadmap.",Excellent Content Committee evidence,Excellent marketing/content ops proof,High,"Raw export is messy; final use should summarize themes, not cite every row.",2026-05-01,Pair with 2021 Content Feedback and Content Committee goals.,Very strong evidence of systematic feedback intake and improvement.
DF-0032,Untitled document(21).docx,https://docs.google.com/document/d/1BcwLm3py78DEU2yJ8G_0p_gH50L1Ty6C,Demo notes / account setup,Large school / Lifetouch incumbent / student-involved yearbook class,"136-page hardcover discussed, then 150 pages; likely 1,600 students; Lifetouch pain around reflowing portraits; students joined demo; prospect wanted account setup, $50 selling price, $7.21/book fundraiser, and principal decision by end of week.","Demo support, student/classroom workflow fluency, portrait/software pain capture, fundraiser/pricing setup, account handoff.",Good demo/customer-journey artifact,Useful sales/demo proof,High,Demo led by Kris; use as coordinated support/handoff context.,2026-05-01,Look for school/account outcome if needed.,Strong line: prospect had built her own Google Form for community photos and realized TreeRing streamlined that work.
DF-0033,Untitled document(22).docx,https://docs.google.com/document/d/1e8ice6CxUPWnqBYl-eAYZTXwdXB2We8j,Sales planning / re-approach strategy,"Summer/fall one-offs, follow-ups, in-contract prospects, re-approach research","Notes outline 1st-touch PTA one-offs, August/September opportunities, engaged/hot-list reminders, cold/unresponsive follow-up, in-contract timing filters in Salesforce, top-down district/council approach, and research tradeoffs before re-approach sequencing.","Pipeline planning, Salesforce segmentation, seasonal follow-up strategy, prioritization tradeoffs, top-down outreach thinking.",Excellent sales ops / lifecycle support artifact,Strong CRM/cadence strategy proof,High,Planning notes; pair with actual sequence performance or Salesforce views if possible.,2026-05-01,"Connect to Timing Brainstorm, In Contract results, and Hot Zone strategy.",Very useful because it makes the follow-up logic explicit.
DF-0034,Untitled document(22).docx,https://docs.google.com/document/d/1QUu_jr_iS-29ZV6c9jc2cG5D-TA2mJMl,Demo notes / account setup,School starting or restarting a yearbook; local customer referral,"Demo had tech trouble/fire drill but continued; prospect liked online ordering, creativity, themes, portraits, and parents ordering online; moved forward with account setup; price $11.86, selling at $15 with fundraiser, local nearby customer discount/reference.","Persistence through messy demo logistics, local proof, product education, fundraiser setup, account conversion.",Good demo support artifact,Useful sales-cycle proof,High,Demo led by Kris; Morgan notes/support. Duplicate exists with same content.,2026-05-01,Canonical for duplicate pair; mark second copy duplicate.,Nice example of continuing through chaos and still getting account setup.
DF-0035,Untitled document(22).docx,https://docs.google.com/document/d/1D-ZOU-EW7H-gn9xGsaK3QIS2FJd1SdGf,Duplicate / derivative demo notes,Same as DF-0034,Same content as canonical Untitled document(22) demo notes.,Duplicate detection and cleanup.,Support only if canonical unavailable,Low direct value,High,Duplicate/derivative; do not use separately.,2026-05-01,No further review needed.,Same content as DF-0034.
DF-0036,Untitled document(23).docx,https://docs.google.com/document/d/10n8D4c_UXwVGVUwIS9hHB9XLqOnRnT9b,Tagline / micro-note,One-line positioning note,Contains only: A Flexible Easy & Personalized Yearbook Company.,Minor brand-positioning scrap.,Low,Low,High,Too thin for external use.,2026-05-01,None.,Reviewed and classified as low-value/context.
DF-0037,Untitled document(23).docx,https://docs.google.com/document/d/1XVPgGjXnIMLzGu65SkhEln30NLt9HB4F,Demo notes / account setup,PreK-6 school starting a yearbook; likely low-internet-access community,"Prospect wanted softcover, 40 pages, end-of-May delivery, no custom pages, school-level payment/fundraiser, and $18 initial selling price later moving to $20; account setup completed.","No-yearbook startup support, pricing/fundraiser education, low-access payment sensitivity, portrait workflow teaching.",Good no-yearbook/startup case artifact,Useful sales proof,High,Demo led by Kris; use as support/handoff context. Duplicate exists.,2026-05-01,Pair with no-yearbook sequence ideas from Sales Content Feedback.,Good proof that pricing/logistics education mattered for schools starting from scratch.
DF-0038,Untitled document(23).docx,https://docs.google.com/document/d/1mNoslkDfrtDrFpDXOi57KCqt0B6CfILh,Duplicate / derivative demo notes,Same as DF-0037,Same content as canonical Untitled document(23) demo notes.,Duplicate detection and cleanup.,Support only if canonical unavailable,Low direct value,High,Duplicate/derivative; do not use separately.,2026-05-01,No further review needed.,Same content as DF-0037.
DF-0039,Untitled document(24).docx,https://docs.google.com/document/d/1Eo4iI4a51Pav8Jdb5oZ226EF8vCZZGuK,Personal / non-work note,Personal schedule/reminder note,Non-work household/personal schedule and reminder list.,No professional evidence.,None,None,High,Do not use; personal/non-relevant.,2026-05-01,None.,Reviewed only to classify and remove from evidence path.
DF-0040,Untitled document(24).docx,https://docs.google.com/document/d/14OHNAOkHqyPg76mm7nQBIMsLgFwpZoeq,Discovery call notes,No-yearbook school / higher-RLP context,"Prospect had no current or remembered past yearbook, wanted to explore starting one, higher RLP was a challenge, asked about price, Lifetouch portraits, software, turnaround, exact-number printing; 40-page estimate $13.23 impressed her and next step was demo.","Starting-from-zero discovery, affordability framing, traditional-model education, low-risk positioning, Title I/high-RLP sensitivity.",Good no-yearbook discovery artifact,Useful discovery/education proof,High,Duplicate exists; use this canonical copy.,2026-05-01,Pair with no-yearbook nurture/sequence requests from feedback files.,Strong example of educating someone new to yearbooks without overwhelming them.
DF-0041,Untitled document(24).docx,https://docs.google.com/document/d/1Bn4U5mwL9aCSu2D7DhWnrk-oKguwQf_m,Duplicate / derivative discovery notes,Same as DF-0040,Same content as canonical Kayla no-yearbook discovery notes.,Duplicate detection and cleanup.,Support only if canonical unavailable,Low direct value,High,Duplicate/derivative; do not use separately.,2026-05-01,No further review needed.,Same content as DF-0040.
DF-0042,First Content Meeting.docx,https://docs.google.com/document/d/1mOzE4pSJDRUfzHxFaTXmV25bHk58kN-D,Content Committee kickoff / agenda,Founding agenda for new Content Committee,"Mission statement: working team to review messaging, provide feedback/suggestions, identify needed templates/snippets, create content while keeping Bobby/Kristina in loop. Explicit focus on positive/actionable feedback, spring needs, 21-22 sequence recommendations, team input, organization, content request intake, and Outreach content organization.","Committee creation, facilitation, content governance, sales enablement ops, feedback intake design.",Excellent Content Committee case study artifact,Critical leadership/content ops proof,High,Agenda rather than meeting transcript; pair with 01.26 transcript for live facilitation evidence.,2026-05-01,Pair with 01.26.21 transcript and survey/deck artifacts.,This is the cleanest source for the committee mission and structure.
DF-0043,01.26.21 Content Meeting.docx,https://docs.google.com/document/d/1pxHLc7HN6hhpza9KF3ZKtFAZQMj5KWTK,Content Committee meeting transcript / facilitation,First live Content Committee discussion,"Morgan framed the committee, decoded Bobby’s expectations, created safe space for honest feedback, positioned template/snippet work as leverage over sequences, invited inbound perspective, facilitated tone/brand debate, captured team pain around too many sequences, and proposed Outreach/Salesforce conditional logic to reduce sequence sprawl.","Leadership facilitation, cross-functional VOC, content governance, Outreach/Salesforce strategy, psychological safety, sequence architecture thinking.",Excellent case study centerpiece,Critical leadership/content ops proof,High,"Long transcript; use themes, not full transcript. 02.04 file appears substantially duplicate.",2026-05-01,"Use with First Content Meeting agenda, Content Feedback June 2021, Sales Content Feedback 2022.",Major quote/detail: team says Morgan’s warm writing style felt more on-brand; Morgan proposes Salesforce fields + Outreach if/else logic to personalize fewer sequences.
DF-0044,02.04.21 Content Meeting.docx,https://docs.google.com/document/d/1Veue4ijPOUnAS9vI1vMndqzjS3E8WgSk,Duplicate / derivative Content Committee transcript,Substantially same content as 01.26.21 Content Meeting transcript,"Content appears nearly identical to DF-0043, with same meeting framing, attendees, discussion, and major points.",Duplicate detection / version cleanup.,Support only if date/version context matters,Low direct value,High,Treat DF-0043 as canonical unless timestamps reveal otherwise.,2026-05-01,No further review needed unless version history matters.,Likely duplicate/export copy.
