Source File,Finding Type,Best Details,Confidence,Use Caveat
"Oct 19 2019 - Call Notes, Angela.docx",Discovery call notes,"Prospect liked no-cost/low-risk model; asked about licenses, turnaround, portraits/Lifetouch, delivery, sign-up, logins, and bringing co-chairs into a demo.",High,Overlaps with CALL PRACTICE Super Interested.
Oct 23 2019 -- Call Notes.docx,Discovery call / objection handling,"First-year advisor asked about Yelp/support concerns, lack of in-person rep, quote, samples, software access, demo logistics; Morgan positioned support, references, software ease, discounts, customization, eco value.",High,Overlaps with CALL PRACTICE Formal Teacher; use canonical or training pair.
"Oct 3 2019 - Demo, Kristie.docx",Demo notes / designer persona,"Prospect had serious design experience, asked about SmugMug, privacy, custom pages, parent photo uploads, editor access, fonts, file types/EPS/PNG transparency, portraits, proofs, turnaround, board approval.",High,Demo led by Kristie with Morgan contributing on file-format question.
"Sept 16 2019 -- Demo, Kristie.docx",Demo notes / pricing + turnaround negotiation,"76-page softcover; current $15 cost/$20 sale price; needed staff books covered; Kristie modeled $20 price with $1 fundraiser, $325 raised, free books, and explored need for two-week turnaround approval.",High,Demo led by Kristie; use as support/handoff context.
"Sept 24 2019 -- Call Notes, Jennifer.docx",Discovery call / large elementary program,720-750 books sold; 148 pages; $30-$40 pricing; deadline/cover stress; ReplayIt photo-upload pain; green mission; 5th-grade ads; no-minimum explanation; soft/hardcover option; custom pages as relevance solution for 750 kids; post-call sample/theme follow-up.,High,"Locked in for current year, so frame as future-cycle nurture/discovery."
"Sept 25 2019, Call Notes.docx",Discovery call / high school program,"Needed to raise $10,000 in ads; 625 copies; 40-45% student purchase rate; 8-week turnaround; Jostens software compared to Windows 93/Paint; Adobe cost concern; Morgan bonded over design/Adobe and did post-call pricing research from website.",High,Short call due field trip; no outcome yet.
Notes from 3_12_20 Sales Dev Brainstorm.docx,Sales-dev brainstorm / voice-of-sales research,"Team surfaced shorter emails, empathy for busy school staff, specific staff-name mentions, bullet points, genuine subject lines, local context, contract timing, PTA turnover, and need for advisor-specific sequences.",High,"Meeting notes, not final output; pair with later sequence changes and performance metrics."
Sales + HVA Meeting Notes.docx,Cross-functional sales/support notes,"Notes cover customer referral ideas, 7,000 customers vs 135,000 schools, support channels, priority sales-support handoff, peak support timing, high-value inbound handoff, and exact turnaround language.",High,"Team meeting notes, not necessarily Morgan-owned; use as participation/context."
"Sales Dev Meeting, 11_7.docx",Team meeting / leadership facilitation,"Notes cover BOB updates, Lightning adoption/customization asks, campaign-name tracking, and private/all-school purchase positioning differences across no cost, minimums, alumni/history, fundraisers, softcover/hardcover, discounts, and eco value.",High,Internal notes; use as team guidance/facilitation evidence.
Team Brainstorm -- Private & Title 1.docx,Persona messaging brainstorm,"Private: tradition, alumni, history, premium quality, eco, all-school purchase, development/fundraising nuance, headmaster/head of school language. Title I: affordability, inclusion, accessible/flexible, kids, careful tech/custom-page language, softcover/hardcover choice, class demos.",High,"Brainstorm doc; use as strategy support, not outcome."
SDR What_s Working Brainstorm March 2021.docx,Voice-of-sales brainstorm,"Team notes include local knowledge, secretary/name references, school context, state-specific customer counts, nearby customer name-dropping, publisher-specific callbacks, spring break/weather/local notes, respectful tone, and salutations for teachers/secretaries.",High,Team brainstorm; use as pattern evidence rather than individual claim.
Timing Brainstorm.docx,Sequence timing architecture,"Maps email dates and themes across Principal, Office Staff, General Email, PTA + Advisor from August to June, with school-start, fall, Thanksgiving, holiday, pre-spring, spring, end-of-year, and summer-planning timing.",High,Planning doc; pair with actual sequences/results.
"Principal Quote, Call Script.docx",Call script / pricing positioning,"Script frames transparent/fair pricing, page count/cover type, softcover/hardcover choice, early-purchase discounts, included software/support/marketing/shipping, no contracts, no minimums, short turnaround, fundraising, flexible deadline, and next steps.",High,"Rough draft; use as support, not final language."
PTO Today Event Notes.docx,Event notes / lead capture,"Short notes capture contacts, school names, contract/vendor obstacles, TreeRing interest, custom pages, transfer-to-teachers question, and follow-up needs.",Medium,Sparse notes; not a centerpiece.
Sales Content Feedback 2022.xlsx,Sales content survey / VOC research,"Feedback shows strong agreement that content fits TreeRing voice; praise for friendlier/upbeat/helpful/shorter content; needs for graphics, more updated flyers/videos, better resource organization, easier snippets, more sample-follow-up content, sequences for no-yearbook schools, pricing resources, and ongoing sequence stats.",High,"Raw export is messy; final use should summarize themes, not cite every row."
Untitled document(21).docx,Demo notes / account setup,"136-page hardcover discussed, then 150 pages; likely 1,600 students; Lifetouch pain around reflowing portraits; students joined demo; prospect wanted account setup, $50 selling price, $7.21/book fundraiser, and principal decision by end of week.",High,Demo led by Kris; use as coordinated support/handoff context.
Untitled document(22).docx,Sales planning / re-approach strategy,"Notes outline 1st-touch PTA one-offs, August/September opportunities, engaged/hot-list reminders, cold/unresponsive follow-up, in-contract timing filters in Salesforce, top-down district/council approach, and research tradeoffs before re-approach sequencing.",High,Planning notes; pair with actual sequence performance or Salesforce views if possible.
Untitled document(22).docx,Demo notes / account setup,"Demo had tech trouble/fire drill but continued; prospect liked online ordering, creativity, themes, portraits, and parents ordering online; moved forward with account setup; price $11.86, selling at $15 with fundraiser, local nearby customer discount/reference.",High,Demo led by Kris; Morgan notes/support. Duplicate exists with same content.
Untitled document(22).docx,Duplicate / derivative demo notes,Same content as canonical Untitled document(22) demo notes.,High,Duplicate/derivative; do not use separately.
Untitled document(23).docx,Tagline / micro-note,Contains only: A Flexible Easy & Personalized Yearbook Company.,High,Too thin for external use.
Untitled document(23).docx,Demo notes / account setup,"Prospect wanted softcover, 40 pages, end-of-May delivery, no custom pages, school-level payment/fundraiser, and $18 initial selling price later moving to $20; account setup completed.",High,Demo led by Kris; use as support/handoff context. Duplicate exists.
Untitled document(23).docx,Duplicate / derivative demo notes,Same content as canonical Untitled document(23) demo notes.,High,Duplicate/derivative; do not use separately.
Untitled document(24).docx,Personal / non-work note,Non-work household/personal schedule and reminder list.,High,Do not use; personal/non-relevant.
Untitled document(24).docx,Discovery call notes,"Prospect had no current or remembered past yearbook, wanted to explore starting one, higher RLP was a challenge, asked about price, Lifetouch portraits, software, turnaround, exact-number printing; 40-page estimate $13.23 impressed her and next step was demo.",High,Duplicate exists; use this canonical copy.
Untitled document(24).docx,Duplicate / derivative discovery notes,Same content as canonical Kayla no-yearbook discovery notes.,High,Duplicate/derivative; do not use separately.
First Content Meeting.docx,Content Committee kickoff / agenda,"Mission statement: working team to review messaging, provide feedback/suggestions, identify needed templates/snippets, create content while keeping Bobby/Kristina in loop. Explicit focus on positive/actionable feedback, spring needs, 21-22 sequence recommendations, team input, organization, content request intake, and Outreach content organization.",High,Agenda rather than meeting transcript; pair with 01.26 transcript for live facilitation evidence.
01.26.21 Content Meeting.docx,Content Committee meeting transcript / facilitation,"Morgan framed the committee, decoded Bobby’s expectations, created safe space for honest feedback, positioned template/snippet work as leverage over sequences, invited inbound perspective, facilitated tone/brand debate, captured team pain around too many sequences, and proposed Outreach/Salesforce conditional logic to reduce sequence sprawl.",High,"Long transcript; use themes, not full transcript. 02.04 file appears substantially duplicate."
02.04.21 Content Meeting.docx,Duplicate / derivative Content Committee transcript,"Content appears nearly identical to DF-0043, with same meeting framing, attendees, discussion, and major points.",High,Treat DF-0043 as canonical unless timestamps reveal otherwise.
CC Notes 4.27.22.docx,Content Creation Team planning notes,"Notes identify new members, roles by focus area, and owners: proofing, formatting, awards, sequence stats, templates/snippets, surveys/feedback, sequence writing. Metrics to dig into include open, reply, click, meetings set, opt-outs, subject lines, step vs overall performance, 20-21 comparison, long vs short, samples-to-demo/qual/closed, and customization frequency.",High,Planning notes; pair with survey results and screenshot metrics.
CC Notes_ Spring 2022.docx,Content Creation Team project roadmap,"Notes cover inbound sequence improvements, emotion/TreeRing voice, sample-sent/no-demo updates, no-book sequence review, feedback presentation, In Contract sequence updates by Morgan/Jen, timing adjustments for 2nd Semester sequences, ideal overall sequence length estimate of 118 days, ideal spacing around 12.5 days, win-back sequence, customization guide, tickle file, and need to capture Outreach stats.",High,Planning notes; pair with actual sequence docs and metrics.
Content Feedback June 2021.pptx,Content feedback presentation / survey results,"Deck reports 15 content feedback entries and 3 email idea submissions; emphasizes anonymous safe feedback. Findings: content did well by staying positive, avoiding hard sell, and showing human/homework-based personalization. Improvements requested: different re-approach language, fewer steps, less frequent pacing, fewer sequences, best emails earlier, more feature focus, fewer call tasks, more color/images, more heartfelt storytelling, fewer I/me statements, shorter messages. Future topics include HS teacher pain points, student clubs, custom pages, eco/tree planting, pricing, delivery, referrals.",High,Use with 2021 Content Feedback raw spreadsheet and 2022 survey.
Content Feedback Survey_ May 2022.docx,Survey instrument / VOC intake design,"Survey asks about TreeRing voice/brand fit, content resources, future discussion topics, inbound/outbound sequences, favorites/least favorites, subject lines, opens/replies/clicks/meetings, opt-outs/negative reactions, sample outcomes, audiences, skipped steps, Vidyards/graphics/emojis, templates/snippets, marketing resources, PDFs, blogs/curriculum, outdated materials, and marketing-sales collaboration.",High,"Instrument only, not responses. Pair with Sales Content Feedback 2022 and Responses/Data PDFs if reviewed later."
Drift Feedback.docx,Platform evaluation / sales engagement requirements,"Requested scheduling/time windows, time zones, reply-thread sequencing, step approval, click-tracking control, clear formatting, upcoming step visibility/editing, Salesforce enrollment confirmation, duplicate enrollment warnings, cross-campaign visibility, multi-recipient emailing, spell check, delete confirmation, open-rate reporting, A/B testing, higher enrollment cap, templates, campaign filtering, bounce handling, and extension usability. Logged platform bugs around formatting, glitches, personalization fields, random delays, and edit button issues.",High,"Older 2017 platform feedback; not Content Committee-specific, but very strong for sales-tech requirements literacy."
Drift Feedback.docx,Duplicate / derivative platform feedback,Exact same Drift feedback content.,High,Treat DF-0049 as canonical.
"Tye, GA PTA.docx",Event Notes / PTA Partnership Call,Member-benefit partner model (discount code as PTA perk); inspiration demo planned; free samples to attendees; flyer/newsletter integration; transparent pricing discussion; three marketing tool options offered,Medium,Joint call: Bobby led the intro pitch; Morgan role was note-taking/support. Not a solo discovery call.
Watauga Elementary.docx,Solo Discovery Call — Qualification,"Pre-call research on 6 sister schools in district (Hardeman = sister school already a customer, used as social proof). Pain: prior vendor caused 1-week notice disaster, parent backlash. Walked through 6 core value props (no cost, no contracts, no minimums, 4-week turnaround, one flexible deadline, soft+hardcover). Pricing: 48pp, 20% disc, $14.94 soft / $21.69 hard. Fundraising at ~$20. G-Suite integration discussed. Demo booked via Google Hangouts. Contact gave Morgan her cell number.",High,Warm/inbound lead (found TreeRing via online discount post) — do not use as cold outbound discovery example
Zeiger Elementary PTA Demo - 1-21-21.docx,Demo Notes (colleague-led),"Prior vendor (Dorian) took over 1.5 months before deadline, Mindy had to redo entire yearbook in a few weeks. Wants class-by-class books, similar layout/different photos, ~20-60pp lower end. TJ ran software demo: Community Content for teacher photo folders, Gmail photo connection shown (strong positive reaction). Uses Microsoft School not Google Ed but Gmail in use. Templates and themes section demoed.",Medium,TJ ran the demo; Morgan in note-taking/AE role. Notes appear to be a fragment — demo may have continued beyond what is captured.
Principal Survey.docx,Sequence / Voice-of-Market Research Design,"3-email multi-touch sequence targeting principals for market research. Email 1: honest gap framing (success has been with yearbook advisors, want to improve admin outreach), asks for 5-10 min call. Email 2 (reply follow-up): offers 5-question survey alternative, small gift card incentive. Email 3: summer research project framing, explicitly not a sales pitch, Amazon/Starbucks gift card for survey completion. Uses {{last_name}} personalization variable.",High,"This is a research outreach sequence, not a traditional sales sequence — frame as market research / VOC initiative, not cold prospecting."
SIA Training Feb 8.docx,Training / Enablement Notes,"Cold calling methodology: propose specific time before calling (don't go back and forth); honest conviction over pressure tactics; scripts free headspace for prospect listening and adjustment; embrace awkward rejections; leave VM on first call only (less is more, no value in VM); AGOGE multi-channel approach referenced; shut up after asking for meeting.",Medium,"External trainer content; Morgan's role is note-taker/participant, not trainer."
"SIA Training, 2.15.21.docx",Training / Enablement Notes,"Objection handling framework by reply type: Wants next steps (suggest specific time, don't ask what works), Not the right person (priority matrix, ask for referral immediately), Curious (parlay to meeting), No budget (still run meeting), Not Interested (ask why — great response rate), Unsubscribe (honor it). Nurture segmentation: right person → follow-up with calls; lightly involved → no calls. Referral handling: ask confidently, reach out immediately. Core principle: sell the block of time, not the product.",Medium,External trainer content; Morgan's role is note-taker/participant. Q&A format suggests active engagement.
"CC Edit_ Sequence Update, In Contract.docx",Sequence Copy — Production,"11-step full sequence (email, phone call, generic task). Step 1 re-opens prior contract conversation; steps cover value props (no cost/contracts/minimums/deadlines), portrait tool Vidyard, 3-week turnaround, Bobby pricing video, summer trial offer. Advanced Outreach variables: {{#if custom11}}, {{account.custom9}}, {{account.custom13}}, {{sender.calendar_url}}. Linked directly to live Outreach sequence #305.",High,Sequence performance (34% reply rate) verified separately via screenshots. This file proves authorship of the copy.
"CC Summer 2022_ Sequences, etc_.xlsx",Sequence Architecture Planning — Master Doc,"Full 22-23 season sequence rebuild plan: phased timeline June-July with task owners per day/week; Morgan roles = blank sequence creation in Outreach, variable + link insertion, Grammarly, Outreach building, final LIVE launch. 14-category proofing checklist (persona language, stage language, timing, feedback inclusion, greetings, closings, subject lines, body copy, helpfulness, length/style, holiday refs, school year accuracy, links/Vidyards/attachments, variables, font/formatting, line breaks). Step-count timing analysis across 16 sequences with avg days between sends. Month-by-month messaging calendar by persona (YBA, PTA, Principal, GK, District, Council) July-May with topics, prospect actions, resources. Template leaderboard: TRL email 1 = 48% open / 0.6% reply (2743 delivered); Closed Won <$6K = 60% open / 30% reply / 37% clicked; Digital Sample = 76% open / 24% reply / 71% clicked.",High,"Template leaderboard metrics are at template level, not sequence level; attribute to CC planning role. Sequence step counts reflect 20-21 YL as baseline with proposed 22-23 changes."
Cold Walk-Up Sequence.docx,Sequence Copy — Production,"2-email re-engagement sequence based on AE Revive Cold Leads sequence. Email 1: warm account confirmation, offers call or demo, calendar link. Email 2: gentle check-in, offers to update notes if not moving forward. Conversational, low-pressure, dignity-preserving tone throughout.",Medium,Only 2 emails visible; file may be truncated. Marked as based on AE Revive Cold Leads sequence.
"Collections Brainstorm, Snippets + Sequences.docx",Meeting/Brainstorm — Outreach Content Architecture,"Lists proposed snippet collections by persona type (Elementary, MS/K-8, HS/K-12, Sales Cycle, Objections, Resources, Features, Testimonials, TR Info) and sequence collections (Cold, Inbound, Sales Cycle). Team chat excerpts: Stacey suggests visual assets (pricing image, animated GIFs); Anna extends idea to snippet-level visual requests from marketing. Morgan driving structural thinking on Outreach content organization.",Medium,Brainstorm format; decisions may have evolved after this document. Cross-reference with CC Summer 2022 planning doc for implementation.
ERIKA_ ES - Parent_PTA (21-22) (1st Touch) (2nd Se.docx,"Sequence Copy — Colleague Authorship (Erika, Marketing)","14-email + 1 phone call sequence (Day 1-79). Topics: value props, custom pages, fundraising, Vidyard embeds, support team, sustainability (tree planting), 300+ themes, idea book. Advanced Outreach variables. Warm PTA tone. The team felt these sequences lacked the brand voice/vibes/flow they wanted — this gap is what drove the CC-led sequence rebuild that Morgan led in summer 2022.",High,Do NOT attribute sequence authorship to Morgan. Erika wrote these. Morgan saved/reviewed them as part of sequence quality evaluation. Use only as baseline/contrast evidence.
March Friday Sequence Meeting.docx,Meeting Notes — Content Committee Operations,"Outreach collection category system: wanted reps to add their own names, then CC would add tags. Awards system for most collections added. Content Committee update: 20+ template ideas already in spreadsheet, process walk-through, Kristina to share with full sales team. Two new forms for sales team: (1) anonymous Content Feedback form to rebuild trust and surface unspoken feedback (mirroring company-level surveys); (2) template draft submission form with Subject/Body fields. Using SurveyMonkey. Discussed with Bobby: creating a Content Guide for TreeRing sales writing (like a branding guide for designers).",High,Likely a precursor to the Content Feedback Survey May 2022 and the Content Guide concept. Anonymous feedback channel shows trust-building intent.
Master -- New Of-Value Hot Zone Schools.xlsx,CRM / Territory Management — HZ Account List,"Color-coded master account list organized by district. Columns: School Name, Salesforce.com ID, District, Customers in District, Status, Notes, Parent Account. Existing TreeRing customers in each district flagged as social proof anchors. Status values include Emailed and Bad Fit with Salesforce notes. Parent account hierarchy maintained. Covers multiple states including AK, CT, MN, OR.",High,This is a large file; only first portion sampled. Full content may contain additional districts. Salesforce IDs confirm direct CRM usage.
Morgan _ Hot Zones 20-21.xlsx,CRM / Territory Management — Morgan’s HZ District Tracking System,"40+ column comprehensive district tracking system. Sections: District Essential Info (name, state, website, customers, quotes, neighbor districts), HZ Info (fall scrub, fall reachout dates), Salesforce (parent account, contact schedule, year start, planning start dates), District Office contacts (title, email, status), Superintendent contacts (email, status), PTA Council contacts (name, website, contact name, title, email, status — multiple layers), Additional Notes (Feedly, On Map, E-Flyer, Green Initiatives). Customer quotes from existing schools included as social proof. Multiple PTA council layers per district. Competitive intelligence via neighbor districts with existing customers.",High,Morgan-prefix in filename confirms this is specifically her work. Large file; only first portion sampled. Full content will contain more districts and contacts.
2-16-23 Pod Meeting MPP.docx,Meeting Notes — Pod Leadership / Coaching,"Morgan facilitating recorded pod meeting. Focus: staying on top of engaged prospects with customization as key differentiator. Topics covered: step edits in emails (what to PUT in them, not just how), Vidyard (personal vs. pre-recorded), looking for customers nearby as social proof, Salesforce variable fields (mascot, etc.). Deep dives: Calls/Voicemails — Morgan emphasizing importance despite team frustration; handwritten notes/postcards (Bobby’s resource); Personal Note Field in Outreach — screenshare demo of bulk personalization feature; Vidyard personal videos only. Group discussion prompt: “What’s one of your favorite or most successful customizations?”",High,Morgan is clearly facilitating/leading this meeting. 'Record!' at top confirms she initiated recording. Strong coaching leadership artifact.
6-9-2023 Rev Meeting Notes.docx,Meeting Notes — Revenue/Product Leadership,"Revenue gap discussion: get actual revenue closer to estimated, how to close gap. Jeffco RFP needs completion (organize into correct format). Coverage assignments while Bobby is gone. Product Store Phase 1 (mugs, ornaments, totes, canvas prints) and Phase 2 (school-focused hoodies, shirts, textiles). Fundraising cash-back discussion per product type. Store kill-switch requirement for select schools. Kelsey Austin: one-to-one sync between TR app, Salesforce, and Marketing Cloud — customer dashboards for retention and custom page sales. ChatGPT/Generative AI: ‘It’s coming’ — be cautious about brand voice; even Salesforce integrating AI. Purchase Discounts for Fall: August-Sept 10%, Oct 5%, Jan process updates.",Medium,"Bobby is likely the meeting leader. Morgan’s role is note-taker/participant. Use for context on product strategy and tech stack awareness, not solo leadership evidence."
Kickoff Meeting Agenda!!.docx,Meeting Agenda — Marketing + Content Committee Kickoff,"Formal kickoff agenda with linked deliverables. Key items: (1) Review 21-22 suggested collections in Outreach, Bobby input on naming convention; (2) Who adds snippets to collections — POD working session vs. CC lead vs. user self-apply; (3) Give Marketing regular access to CC feedback survey (SurveyMonkey): CC collects, digests, shares monthly report; (4) A/B Testing discussion; (5) Full sequence list review (Outreach Sequence List doc linked); (6) Team collaborative process for sequence drafts; (7) Variable Formatting spreadsheet — complex, share guidelines; (8) Sequence Naming standard (delete school year from titles?); (9) Future: share CC’s full project list with team.",High,"Confirms CC has formal cadence, linked deliverables, and cross-functional buy-in from Bobby and Kristina. Strong companion to CC Summer 2022 planning doc."
18_19____HZ_Follow_Ups__Spring__Previously_Cont.csv,CRM / Campaign Data Export — HZ Spring Previously Contacted,"Outreach CSV export of HZ Spring Previously Contacted prospects. Fields include: school name, email, estimated value per school ($3,200–$14,528 range visible), district, community type, lead status (unresponsive), opened flag (true), at step (Step 4), campaign state (Active), next step timing. Social proof snippets included (referencing other Wake County schools). Confirms active Outreach campaign management for the HZ Spring Previously Contacted segment.",High,"File is large (67KB); only first portion sampled. Full file will contain more prospects. The verified 85%/39% HZ Spring metrics came from screenshots, not this file, but this file proves the campaign existed and shows the data structure."
ALL HZ Schools-2021.xlsx,CRM / Territory Prioritization — HZ District Keep/Give Decisions,"Strategic district-level Keep/Give prioritization across 1,578 schools (Keeping 942, Giving 636). Morgan’s annotations reveal strategic rationale: Wake County (128 schools) = ‘Over my dead body lmao’ (fierce account ownership); Gwinnett County (101) = keep for prior progress; Cobb County (60) = HIGH VALUE DISTRICT, high difficulty, try again; Houston ISD (59) = ‘Keep one TX district for me, I’d love to follow up myself’; Menlo Park (1 school) = ‘I WILL GET GINA AND TAMARA SOMEDAY’. Some low-value single-school districts flagged as ‘Give to Bobby?’ with rationale.",High,Notes are Morgan’s own voice and judgment — they’re professionally useful but also humanizing. Use selectively; the Wake County note is quotable in interviews but explain the context (fierce ownership of a key territory).
CW Customers by District in CA.xlsx,CRM / Salesforce Report - Closed Won CA Customers,"Header explicitly reads 'Generated by Morgan Escott.' Salesforce Closed Won report filtered to CA, Target Year 2019-2021. Columns: District, Opportunity Name, Stage (Closed Won), Close Date, Lead Source, satExperience, satRecommend (1-10), High Value Account. District subtotals. Lead sources: Existing Customer, cold-call, google, word-of-mouth. Customer satisfaction scores (10/10, 8/8) visible.",High,Header: 'Generated by Morgan Escott' is direct attribution. Large file; only first portion sampled.
Content Committee - Recent Topics.docx,Meeting Notes - CC Operations / Voice Restoration,"Key finding: 'Overwhelming consensus is that we'd like to get our own voices back into the sequences again.' Recognition system designed: Most Unique Snippet / Best Use of TreeRing Voice awards - not competitive, lighthearted, like IST awards. Outreach collection architecture: by grade (ES/MS/HS), niche (HZ/High FRL/Private), role (PTA/Principal/Teacher/Support), stage (1st Touch/Re-Approach/Nurture/Sales Cycle). 'Restore a little trust with the team in regards to writing content.' Bobby to be invited monthly/quarterly.",High,Get our own voices back' is the direct explanation for why ERIKA sequences were replaced. This is the WHY behind the CC rebuild.
Responses_All_220608.pdf,Survey Data - Content Feedback Survey Raw Responses (May 2022),"Raw SurveyMonkey export from 'Sales Content Feedback > 2022' survey (designed by Morgan, see DF-0048). 181 pages of responses. Questions: brand voice fit, resource adequacy, inbound/outbound usage, favorite emails, subject lines, open/reply/click performance, customizations, Vidyards, emojis, future ideas. Preview: Q1 brand voice = Agree; Q2 resources = Disagree ('Often get asked for a flyer'); Q4 = Outbound. Full response data not sampled.",High,Full response data not reviewed (too large). Preview confirms structure matches DF-0048 instrument. This is the executed output of that survey.
"SIA Training, Feb 10.docx",Training Notes - SIA Phone Objection Handling,"Phone objection handling: persistence (get past 3 no's), broad vs. specific ask, '27 seconds' technique for time objections, 'Is that fair?' framing, wrong person referral extraction ('Who should I reach out to?' + awkward pause = name), 'send me info' redirect to meeting, FUP sequence over one-off reply. 'Don't try to memorize every possible objection.'",Medium,External SIA trainer; Morgan note-taker/participant. Completes the SIA Feb 8 (cold calling) + Feb 15 (email objections) + Feb 10 (phone objections) training set.
"Training_ Research, Contacts, Prospects, & Sequenc.pptx",Training / Enablement - SDR Onboarding Training Deck,"Full SDR onboarding deck. Tools: Outreach + Salesforce + Outreach Everywhere Chrome extension + Window Mode. Account research: Filter by Owner = My Accounts; $2,500 minimum estimated value threshold. Big-Picture Research: district analysis, Hot Zone identification, district bids/approvals spreadsheet, PTA council research. School-Level Research: fresh vs. worked accounts, duplicate detection, data hygiene. Resources: SDR Playbook, Outreach Tag List, Morgan's Process Map at escottmorgan.wixsite.com/processmap (confirmed live; 8-step workflow, tool guides, playbooks, community feedback, support glossary, team directory). Site opens with W. Edwards Deming quote.",High,"CONFIRMED: escottmorgan.wixsite.com/processmap is live (verified 2026-05-02). 8-step SDR workflow site with tool guides, playbooks, community feedback, and support. Morgan built this as training infrastructure, not just a document. This elevates her to SDR training program designer and process architect."
