Review ID,Folder/Lane,Subfolder,Filename,File Type,Drive URL,Bucket/Lane,Review Status,Priority,Relevance Score,Evidence Type,Metrics Found,Portfolio Potential,Resume Potential,Duplicate/Derivative?,Needs Follow-Up?,Notes / What to verify next,Confidence,Last Reviewed
TR-0011,Sequences,23-24SequenceCopy,DISTRICT_ 1st TOUCH - Morgan Copy.docx,DOCX,https://drive.google.com/file/d/1MINSZduWphIY43V47wCeUy1CfT1brZos,Money Makers / ABM,Reviewed - Verified,Critical,10,District-level sequence / channel strategy,N/A,Excellent ABM / channel outreach case study,Excellent strategic outreach proof,No,No,"14-step district campaign with vendor registration, resource forwarding, samples, Vidyard, and local proof.",High,2026-04-30
TR-0012,TrainingGuides / WorkflowPerformance,TrainingGuides,PTA Councils.pptx,PPTX,https://drive.google.com/file/d/1Z3h2cXcAGxFqMltyNy2jXY2eBrMhIP_f,Money Makers / Enablement,Reviewed - Verified,Critical,10,Strategy deck / team training,74% open; 7.4% click; 22% reply; 0 opt-outs,Excellent top-down strategy case study,Excellent resume proof,No,No,"Proves PTA council/district research, Salesforce setup, customization, and early traction.",High,2026-04-30
TR-0013,Sequences,2nd Semester Sequences_CC,"2nd Semester Sequence Review, 21-22.xlsx",XLSX,https://drive.google.com/file/d/1z95rCBYRFr8PM0kC_rCc_EjvaZudVoM7,Money Makers,Reviewed - Verified,Critical,10,Campaign architecture / QA tracker,N/A,Excellent process artifact,Excellent operations/CRM proof,Duplicate exists,No,"Persona matrix + QA workflow across sequences, steps, CTAs, resources, variables, review, proofing, and launch.",High,2026-04-30
TR-0014,Content Committee,Archive,Content Committee.pptx,PPTX,https://drive.google.com/file/d/1Bramq3CbOs3PIlvstoPyyfJa0NqS3007,Money Makers / Cross-functional,Reviewed - Verified,Critical,10,Strategy pitch / content ops,N/A,Excellent cross-functional case study,Excellent marketing leadership proof,Duplicate exists,No,Shows formal pitch for Sales/Marketing content governance and stronger sequence ownership.,High,2026-04-30
TR-0015,Content Committee,Archive,Content Committee 21-22 Goals & Action Items.docx,DOCX,https://drive.google.com/file/d/15_IqurVcLOqpjVTf-gSkN1w6pUunOinB,Money Makers / Cross-functional,Reviewed - Verified,High,9,Operational planning / content governance,N/A,Strong supporting artifact,Strong process/enablement proof,HTML duplicate exists,No,"Shows snippets, collections, surveys, review cycles, awards, Grammarly, nurture ideas, and feedback loops.",High,2026-04-30
TR-0016,MPP,MPP,22-23 MPP Review Notes.docx,DOCX,https://drive.google.com/file/d/19oH0a6Q3rVbMCAI2gKCwZmLLZow-dAs6,Leadership Sandbox,Reviewed - Verified,Critical,10,Management planning / team performance,"Tracked calls, clicks, Thnks, Vidyard, opps, C/W goals",Excellent leadership case study,Excellent management bullet,No,No,"Shows pod-level strengths, goals, coaching approach, and improvement plan.",High,2026-04-30
TR-0017,MPP,MPP,MPP_ Team + Treering Feedback!.docx,DOCX,https://drive.google.com/file/d/1Bnjt3rnXWYW2EUf4OC2s8pM5uBolM3xS,Leadership Sandbox,Reviewed - Verified,High,9,Feedback loop / psychological safety,N/A,Strong leadership/process artifact,Strong leadership proof,Copy exists,No,"Created structured safe channel for pod feedback across product, HR, marketing, support, engineering, and sales process.",High,2026-04-30
TR-0018,MPP,MPP,Tevis_ 22-23 Performance.docx,DOCX,https://drive.google.com/file/d/1lhD7-UsauY1C4lHXHYuiq4DV-3Q0NVOy,Leadership Sandbox,Reviewed - Verified,High,9,Individual coaching scorecard,"76% open; 4.2% reply; 87 Vidyards; 75.54% conversion; $197,699.21 C/W revenue",Strong leadership artifact,Strong coaching/data proof,No,No,Shows metric-rich but encouraging individual performance coaching.,High,2026-04-30
TR-0019,MPP,MPP,Julie_ 22-23 Performance.docx,DOCX,https://drive.google.com/file/d/1YrUXRudKDLOOto5X0cG5-UxHfhMw5cmN,Leadership Sandbox,Reviewed - Verified,High,8,Individual coaching scorecard,"28,024 emails; 3.9% reply; 100% Thnks opened; 71% redeemed",Strong leadership artifact,Strong coaching/data proof,No,No,"Shows balanced coaching around wins, conversion rate, revenue, and controllable vs uncontrollable outcomes.",High,2026-04-30
TR-0020,Detective Work,Call_Demo Notes / UntitledDocs,Prospect call notes cluster,Mixed,TBD,Detective Work,Retired — Superseded by file-level review,High,8,Call notes / discovery style,Qualitative only so far,Excellent selling-style support,Useful interview examples,No,No,"Placeholder cluster from the initial Gemini-assisted pass. Prospect call notes were later reviewed and logged individually across Detective Work entries, so this is no longer an open task.",High,2026-05-12
TR-0021,WorkflowPerformance,WorflowPerformance,Morgan_s Smart Spreadsheet.xlsx,XLSX,https://drive.google.com/file/d/1qS9yegQlMLfrZbtym6klJRNzKyovmSTg,CRM / Sales Ops,Reviewed - Verified,Critical,10,CRM prioritization system / data hygiene workbook,Prioritization tiers; G-Connector refresh process; status/value error checks,Excellent Sales Ops case study backbone,Excellent CRM/data hygiene proof,No,Yes,Workbook intro directly explains purpose: prioritize accounts and catch record errors; extracted data confirms account-level Salesforce fields and imports.,High,2026-04-30
TR-0022,WorkflowPerformance,WorflowPerformance,"Morgan_s Hot Zones! Progress, organization, custom.xlsx",XLSX,https://drive.google.com/file/d/1-f83F5KD6egOaG5NRIOYavSY5XS0Fftt,CRM / Territory Strategy,Reviewed - Verified,Critical,10,Hot Zone tracker / district planning,"Many district rows tagged by round, teacher planning date, first day, scrub status, customer confirmation",Excellent territory strategy support artifact,Excellent segmentation/research proof,No,Yes,"Confirms district-level hot-zone organization, customer confirmation, and rollout waves.",High,2026-04-30
TR-0023,WorkflowPerformance,WorflowPerformance,Year to Year (1-4).xlsx,XLSX,https://drive.google.com/file/d/18u6sjU1QNxCq48zp3RsaB3CspSXkGYxp,Sales Performance / Revenue,Reviewed - Verified,Critical,10,Performance comparison,"Morgan all-time likely revenue $874,622.63 vs peer $615,199.26; difference $259,423.37; Year 1 to Year 3 likely revenue rose from $179,651 to $382,155",Excellent quantitative proof,Excellent resume proof,No,No,Direct source behind 113% increase and 42% peer lift claim.,High,2026-04-30
TR-0024,WorkflowPerformance,WorflowPerformance,Morgan -- Targeted High Schools.xlsx,XLSX,https://drive.google.com/file/d/1jKQ9eOjdocdky6juGXfSBQBmhBSYmqUa,CRM / Target Account Strategy,Reviewed - Verified,High,8,Target account list / segment tracker,"Includes high-school targets with Salesforce IDs, enrollment/RLP-ish fields, contacts, emails, prior opportunity status, customer/bad-fit/in-contract notes",Strong segmentation artifact,Strong prospecting/research proof,No,Maybe,Supports high-value account targeting and account-history-aware outreach.,High,2026-04-30
TR-0025,WorkflowPerformance,WorflowPerformance,Morgan -- PTA Council Events.xlsx,XLSX,https://drive.google.com/file/d/1MgwjAcZIhbRowz8XsV7R-YwqpTCV3LKB,Channel / PTA Strategy,Reviewed - Verified,High,8,PTA event/account tracker,"PTA units, contacts, emails, call status, contract/current-publisher notes, referrals, decision-process notes",Strong PTA/top-down strategy support,Strong local/channel outreach proof,Duplicate exists,Maybe,Complements PTA Councils deck; likely useful for showing field execution behind strategy.,High,2026-04-30
TR-0026,WorkflowPerformance,Accomplishments / WorflowPerformance,TreeringAccomplishments_Complete (1).docx,DOCX,https://drive.google.com/file/d/1RIzXwFJkuG3TQ4J-C0tj2XG3eWA-XyCf,CRM / Sales Ops / Leadership,Reviewed - Verified,High,9,Career narrative / origin stories / proof-adjacent context,"17% Year 1 quota exceed; first SDR to $1M+; 2,933+ accounts; 51 states; 565 districts; 20+ SDR team; 4-6 pod size","Excellent — origin stories for Dashboard invention, CRM migration, PTA channel strategy, Internal Process Website, SDR Monthly Training",High — provides context and specifics to build bullets around; not citable as raw proof but essential narrative source,PDF duplicate exists,Yes — cross-verify 17% Year 1 and $1M+ claims against Year-to-Year spreadsheet (TR-0023),"Self-authored narrative; not a raw data source but contains essential origin stories and specific claims. Individual SDR Dashboard, Contacts-to-Person Accounts migration crisis, Internal Process Website (Wix/MindNode), and SDR Monthly Training are all documented here and NOT captured in any other verified file. Treat as authoritative narrative source for interview prep and case study framing.",Medium-High,2026-04-30
TR-0027,Money Makers,Summer 2016 / PTA Research,TreeRing Wrap-Up_ Summer 2016.docx,DOCX,https://drive.google.com/file/d/1dd3kT_XpC25GbmjIzVYIqrRC4D4Mawej,Campaign Performance / PTA Outreach,Reviewed - Verified,Critical,10,Campaign wrap-up / performance report,73% open; 25% reply; 75 responses; 299 unit presidents emailed; 299 Salesforce contacts from 19 principal calls,Excellent early campaign case study,Excellent resume proof,Multiple duplicates,No,Direct source for high engagement and contact-generation metrics; not the 77-83% claim exactly.,High,2026-04-30
TR-0028,Control / Index,Folgo Audit / Google Chat Screenshots,File-Screen Shot 2022-04-27 at 12.12.52 PM.png,PNG,https://drive.google.com/file/d/1t67j05wFtQhqN21PxoWzGM_e7mB3pgXx,Outreach Dashboard Lead,Reviewed - Verified,Critical,10,Outreach dashboard screenshot — live sequence stats,"3,080 principals contacted (MS/HS Re-Approach); 69% open / 13% click (MS/HS Principal); 71% open / 9.5% click / 5.4% reply (ES PTA); 69% open / 6.4% click / 8.3% reply (General Support Staff); 12-sequence collection; 21-22 Spring",Excellent — primary source screenshot for outreach scale and open rates,"Excellent — verifies volume, persona architecture, and campaign performance",No,No,"Outreach dashboard, 2nd Semester collection filter, 12 sequences shown. NOT the 480K/77% source — that remains unverified. This confirms Spring 21-22 re-approach scale and open rate range of 65–71% across personas. 13% click on MS/HS Principal is a standout metric. Last 8 sequences not fully captured in OCR.",High,2026-05-12
TR-0029,Persist / Hot Zone,Persist Metric Hunt,Hot Zone + Outreach Coding Ideas.docx,DOCX,https://docs.google.com/document/d/1QXlwkLPkDE0OyFiTFqF5lAfJFTcVKyZb,Money Makers / Persist Metrics,Reviewed - Verified,High,9,Hot Zone strategy / Outreach personalization logic,"No raw campaign performance metrics; confirms local proof, Salesforce-report needs, customer counts, trees planted, refs, Personal Note strategy, if/else logic",Strong support artifact for Hot Zone/ABM case study,Strong CRM/personalization proof,No,Maybe,Does not verify 77-83/480k; does verify strategic design behind localized hot-zone personalization and Outreach coding.,High,2026-05-01
TR-0030,Persist / Hot Zone,Persist Metric Hunt,"Morgan Edit, Hot Zone PTA Reapproach.docx",DOCX,https://docs.google.com/document/d/1bc5o-Pt5JdTf1DGaj3ohHKToWzOqoPCT,Money Makers / Persist Metrics,Reviewed - Verified,High,9,14-step PTA hot-zone reapproach sequence,"No raw performance metric; includes state/district customer social proof placeholders, sample offer, discount messaging, local references, trial/demo CTAs",Excellent sequence/copy support artifact,Strong lifecycle/outreach proof,Duplicate exists,No,Paired duplicate For Kristin has same content. Sequence shows long-cycle nurture and top-down local social proof.,High,2026-05-01
TR-0031,Persist / Hot Zone,Persist Metric Hunt,"Morgan Edit, Hot Zone PTA Reapproach - For Kristin.docx",DOCX,https://docs.google.com/document/d/1JzpZp9iRzykttB8dgFAZTQ0qMgBgRXk5,Money Makers / Persist Metrics,Duplicate / Derivative,Medium,8,Duplicate sequence version,"Same content as Morgan Edit, Hot Zone PTA Reapproach",Support only if version/context needed,Support only if needed,Yes,No,Duplicate content confirmed; keep canonical as non-For Kristin version.,High,2026-05-01
TR-0032,Persist / Hot Zone,Persist Metric Hunt,HZ Follow Ups by District.xlsx,XLSX,https://docs.google.com/spreadsheets/d/19Htn4nM8q9Om1MnsbhJP2WO9sWA1gnaU,Money Makers / Sales Ops,Reviewed - Verified,Critical,10,District hot-zone planning / campaign execution tracker,"District values including Wake $1.3M, Cobb $789K, Fulton $689K, Prince William $653K; campaign planned/names added/sent flags; hundreds of school rows with status/campaign flags",Excellent territory strategy proof,Excellent CRM/targeting proof,Possible duplicate exists,Maybe,"Does not verify open/reply metrics, but strongly verifies account targeting, district prioritization, campaign planning, and execution against high-value districts.",High,2026-05-01
TR-0033,Persist / Wake Summer 2019,Persist Metric Hunt,"Wake County PTA -- May 2019 -- ES, Did not see TJ.docx",DOCX,https://docs.google.com/document/d/1ggv3xcp8EkwMLcndSzBn70a3KKl8mmlC,Money Makers / PTA Campaign,Reviewed - Verified,High,8,Wake County PTA follow-up email copy,No raw metric; ties to sample follow-up and WCPTA event context,Good support artifact for 73%/25% PTA story,Good campaign copy support,No,No,Supports event follow-up and sample strategy behind Wake/PTA outreach; not a raw metrics source.,High,2026-05-01
TR-0034,Persist / Wake Summer 2019,Persist Metric Hunt,Wake Summer 2019 Event Emails.docx,DOCX,https://docs.google.com/document/d/1ehTkT5t4sESCS9AFdV4uNZFTCQz31_yg,Money Makers / PTA Campaign,Reviewed - Verified,High,8,Event activation / PTA sponsor outreach copy,"No raw metric; references WCPTA New Officer Training, silver sponsorship, local schools, samples, software tour, follow-up CTAs",Good support artifact for PTA/event-based outreach,Good campaign copy support,No,No,Shows integrated event/email activation around Wake County PTA sponsorship; pair with TreeRing Wrap-Up metrics.,High,2026-05-01
TR-0036,Detective Work,Call_Demo Notes,"Aug 12 2019 -- Call notes, Bill Lanxner.docx",DOCX,https://docs.google.com/document/d/1BQ4i3U7A9Glav_PjsobGQc-MVC5qBliu,Detective Work / Sales Discovery,Reviewed - Verified,High,9,Discovery call notes / buyer pain,"Sold ~45 books out of ~1,000 students; Title I/high RLP context; no minimum/no risk/pricing concerns",Strong qualitative sales story,Strong interview support,No,Yes,Use as discovery-call evidence; pair with training scenario version.,High,2026-05-01
TR-0037,Detective Work,Call_Demo Notes,CALL PRACTICE -- Struggling (Notes from Aug 12 2019).docx,DOCX,https://docs.google.com/document/d/18JC-CIcpfJySo8U3Ue7d7a8MIDZt_2zi,Detective Work / Enablement,Reviewed - Verified,High,9,Call-practice scenario / training artifact,"Converted Bill call into structured persona, questions, pain points, objections, next steps",Excellent enablement proof,Strong training/process proof,Derivative of real call,No,Shows Morgan turning discovery notes into reusable training scenario.,High,2026-05-01
TR-0038,Detective Work,Call_Demo Notes,"Aug 13 2019 -- Demo, Kris.docx",DOCX,https://docs.google.com/document/d/1PsZ4Lv_BCjSkxRDW8bJ0_P3wMrscPLRH,Detective Work / Demo Notes,Reviewed - Verified,High,8,Demo notes / Title I PTA context,Title I school; Spanish materials; portraits; pricing; personal pages; samples; account setup,Good domain-support artifact,Useful K-12/demo support,No,No,Demo led by Kris; use as support evidence for buyer/context fluency.,High,2026-05-01
TR-0039,Detective Work,Call_Demo Notes,"August 29 2019 -- Call Notes, Melissa.docx",DOCX,https://docs.google.com/document/d/1TKq8or3AHGC0i7big8M6cuTyRWMnJYEc,Detective Work / Discovery,Reviewed - Verified,Critical,10,Consultative discovery / competitive positioning,Communication pain; minimum orders; pricing; discounts; eco value; custom pages; no deadlines; post-call competitor/pricing research,Excellent qualitative case artifact,Strong sales/discovery proof,No,Yes,Strongest solo discovery call so far; find outcome/follow-up if possible.,High,2026-05-01
TR-0040,Detective Work,Call_Demo Notes,CALL PRACTICE -- Super Interested.docx,DOCX,https://docs.google.com/document/d/14GEhbRAbhSpy2fe_VtfXEGqQ_v5m7Pq_,Detective Work / Enablement,Reviewed - Verified,High,8,Call-practice + actual notes,High RLP PTA prospect; no prior yearbook; licensing/software/turnaround/delivery/demo questions,Good call-practice support artifact,Useful sales enablement support,No,No,Shows anticipated question handling and low-risk positioning.,High,2026-05-01
TR-0041,Detective Work,Call_Demo Notes,"CALL PRACTICE -- Formal, Teacher.docx",DOCX,https://docs.google.com/document/d/1o9oIGqX238TZlia0ahBCvQc2BEW-2WVM,Detective Work / Objection Handling,Reviewed - Verified,High,9,Call-practice + actual notes,Private K-12 librarian; support/Yelp concern; pricing/quote; samples; demo access; no in-person rep concerns,Strong objection-handling artifact,Strong sales-call proof,No,Maybe,Use for support/reputation objection handling; verify retention-rate claim separately.,High,2026-05-01
TR-0042,Detective Work,Call_Demo Notes,Demo Script - Morgan _3.docx,DOCX,https://docs.google.com/document/d/1JHSsI8sPO-vecbHpM2vMQ6CSrvqBjIjY,Detective Work / Demo Framework,Reviewed - Verified,Critical,10,Demo script / product storytelling,"Complete discovery + demo framework across qualification, value props, dashboard, promote tools, portraits, custom pages, support, ship-to-home, ads, and editing",Excellent product storytelling artifact,Excellent enablement/demo proof,No,Yes,One of the strongest qualitative Detective Work artifacts.,High,2026-05-01
TR-0043,Content Feedback,Feedback,2021 Content Feedback.xlsx,XLSX,https://docs.google.com/spreadsheets/d/16y0vTAG6twcm7CR3dkcKfyF6J3gA3qyF,Money Makers / Content Ops,Reviewed - Verified,Critical,10,Voice-of-sales feedback survey / content research,"Feedback themes: soft-sell, personalized, shorter, benefit-focused, more visual, feature-specific, persona-specific sequence content",Excellent Content Committee support,Excellent marketing/content ops proof,No,Yes,Pair with Content Committee output and later sequence performance.,High,2026-05-01
TR-0044,Detective Work,Call_Demo Notes,Jan 8 2020 - Marisa.docx,DOCX,https://docs.google.com/document/d/1QJ7IaFuaQ-lnTfJsGE916cxe5PwLmf51,Detective Work / Discovery,Reviewed - Verified,High,8,Discovery call / nonstandard use case,"74 eighth graders; possible 1,000-student K-12 book; collective memory book; student/team logins; portraits; 70 pages",Good discovery story,Useful K-12 workflow proof,No,Maybe,Shows translating unusual memory-book request into TreeRing features.,High,2026-05-01
TR-0045,Detective Work,Call_Demo Notes,"Jan 8 2020 -- Call Notes, Mr. Ray.docx",DOCX,https://docs.google.com/document/d/1QEbkcfwobzvkOAF2ApJ_pZgDcWiygKzo,Detective Work / Discovery,Reviewed - Verified,High,8,Discovery call / student council yearbook,Starting all-grade yearbook; presales; marketing tools; fundraising; no minimums; portrait CD; app/photo collection; demo next step,Good buyer-education artifact,Useful sales proof,No,Maybe,Light but clean discovery call.,High,2026-05-01
TR-0046,Detective Work,Call_Demo Notes,"Jordan, Demo.docx",DOCX,https://docs.google.com/document/d/1bbIUzQol98T9Cf5_ogkWtEb8_AtrEQAL,Detective Work / Demo,Reviewed - Verified,Critical,10,Live demo notes / next-step close,First-year teacher; pricing + ease concerns; complete software walkthrough; prospect asked how to move forward and scheduled next-day pricing/setup handoff,Excellent live demo case,Strong sales/demo proof,No,No,Pair with Demo Script as framework-to-live-demo story.,High,2026-05-01
TR-0047,Detective Work / Sequence Copy,Unorganized,"CC_ Sample Sent, No Demo (WORKING).docx",DOCX,https://docs.google.com/document/d/1_u72-nWXfCA3pjOa0T_N6PeREm4odsgD,Money Makers / Lifecycle Nurture,Reviewed - Verified,Critical,10,Sample-sent nurture sequence / A/B tests,12-step flow; delivery confirmation; timing preference; Top 10 Reasons; phone tasks; A/B subjects; non-contract PDF; testimonials; Google Meet CTA; variables,Excellent lifecycle/copy artifact,Strong CRM/email proof,No,Yes,Bridge to Sent Sample screenshot metric if related.,High,2026-05-01
TR-0048,Detective Work / Sequence Copy,Unorganized,"CC_ Sample Sent, No Demo V2.docx",DOCX,https://docs.google.com/document/d/1N_3fD2P_1ipyGvppT3ACQKJbrfDv3W2p,Money Makers / Lifecycle Nurture,Duplicate / Derivative,Medium,7,Duplicate/version of Sample Sent No Demo,Same core 12-step content as working draft,Support only,Maybe,Yes,No,Keep canonical as WORKING unless V2 comments matter.,High,2026-05-01
TR-0049,Detective Work,Call_Demo Notes,"Morgan -- Solo Intro Call, Private.docx",DOCX,https://docs.google.com/document/d/1x3SemJxOSqCuII6UNBe08XjGP6Ri3Vjq,Detective Work / Discovery,Reviewed - Verified,Critical,10,Private school intro / pricing positioning,400-book all-school purchase; current price $16.03; TreeRing calculator around $27; adapted messaging around all-school purchase model,Excellent consultative positioning proof,Strong sales strategy proof,No,Yes,Pair with Nov 7 demo as discovery-to-handoff story.,High,2026-05-01
TR-0050,Detective Work,Call_Demo Notes,Mr. Ray Call with TJ.docx,DOCX,https://docs.google.com/document/d/1_j7S9MivPRPJNc82gGvolGIzyRWfm0xU,Detective Work / Support Handoff,Reviewed - Verified,Medium,6,Follow-up support notes,"Questions about table of contents, theme, pages, and support contact",Minor journey continuity artifact,Low resume value,No,No,Lightweight; use only if building full customer journey.,Medium,2026-05-01
TR-0051,Detective Work,Call_Demo Notes,"Nov 7 2019 -- Demo, Kristie.docx",DOCX,https://docs.google.com/document/d/18h7DFC4m0SV1QJ15A-g5e1ElHA-bDW-4,Detective Work / Demo Handoff,Reviewed - Verified,High,8,Private school demo / all-school purchase,400 books at $16.03 current price; quoted $18; templates/photo upload/editor roles/custom pages/trial account,Good handoff support artifact,Useful sales-cycle proof,No,Maybe,Likely continuation of Morgan solo intro call.,High,2026-05-01
TR-0052,Detective Work,Call_Demo Notes,"Oct 19 2019 - Call Notes, Angela.docx",DOCX,https://docs.google.com/document/d/1t6Oqh6MhRVkQ7u2BlKnu8qFj_EPuIav6,Detective Work / Discovery,Reviewed - Verified,High,8,High-RLP PTA discovery,No prior yearbook; low-risk/no-cost appeal; licenses; turnaround; Lifetouch portraits; delivery; logins; demo next step,Good buyer-education proof,Useful sales discovery proof,No,No,Overlaps with Super Interested call-practice.,High,2026-05-01
TR-0053,Detective Work,Call_Demo Notes,Oct 23 2019 -- Call Notes.docx,DOCX,https://docs.google.com/document/d/1GvD9gLyB5ZFI0sZikNhal6LGSOxb0Op4,Detective Work / Objection Handling,Reviewed - Verified,High,8,Support/Yelp objection handling,Private K-12 librarian; all-school purchase; Yelp/support concerns; quote/samples/demo request,Good objection-handling proof,Useful sales proof,No,No,Overlaps with Formal Teacher scenario.,High,2026-05-01
TR-0054,Detective Work,Call_Demo Notes,"Oct 3 2019 - Demo, Kristie.docx",DOCX,https://docs.google.com/document/d/151hHzeYMx2is22q2nVaEURAoTMFV5QSY,Detective Work / Demo Notes,Reviewed - Verified,High,8,Designer persona demo,Adobe/InDesign user; SmugMug/privacy; custom pages; editor access; fonts; EPS/PNG transparency; proofs; board approval,Good creative-sales bridge,Useful design fluency proof,No,Maybe,Demo led by Kristie; Morgan contributed on file-format issue.,High,2026-05-01
TR-0055,Detective Work,Call_Demo Notes,"Sept 16 2019 -- Demo, Kristie.docx",DOCX,https://docs.google.com/document/d/1qaXt7LU4nUvtIrnd-jslMRblT4zWhpC8,Detective Work / Demo Notes,Reviewed - Verified,High,8,Pricing/turnaround demo,76-page softcover; $15 cost/$20 sale; staff-book coverage; $1 fundraiser; free books; two-week turnaround approval issue,Strong operations/pricing support,Useful sales-cycle proof,No,Maybe,Demo led by Kristie; useful for pricing/turnaround complexity.,High,2026-05-01
TR-0056,Detective Work,Call_Demo Notes,"Sept 24 2019 -- Call Notes, Jennifer.docx",DOCX,https://docs.google.com/document/d/1dAGvR-vaRcReicmBWqzSzxnjGTEZsWdy,Detective Work / Discovery,Reviewed - Verified,Critical,10,Large elementary/Jostens discovery,720-750 books; 148 pages; $30-$40 price; photo-upload pain; green mission; no-minimum; custom pages for 750 kids,Excellent discovery case,Strong interview proof,No,Yes,One of the strongest call notes in this lane.,High,2026-05-01
