Role / Company,Tags,Bullet Point
Treering Yearbooks,[email],"- Achieved 62% reply rates on demo request campaigns by employing targeted messaging and strategic drip campaign methodologies, contributing over $1.5M in closed revenue."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on PTA council campaigns with targeted segmentation and custom-crafted strategies.
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on specialized PTA council campaigns by integrating best practices in email marketing.
Treering Yearbooks,[email][brand],"- Achieved 74% open rates and 22% reply rates on strategic PTA campaigns, reinforcing brand position and marketing effectiveness."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on strategic PTA council campaigns.
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on targeted PTA council campaigns by refining personalization tactics.
Treering Yearbooks,[ops][mgmt],"- Achieved a 2.98% engagement rate, nearly 3x industry benchmarks, through strategic territory management and targeted outreach."
Treering Yearbooks,[mgmt],"- Achieved a “Good Fit” lead rate 15% above team average, feeding higher-quality opps to AEs."
Treering Yearbooks,[generalist],"- Achieved an outstanding “Good Fit” rate, consistently delivering high-quality leads praised for conversion and value."
Treering Yearbooks,[brand],"- Achieved company-first milestone as the top SDR, sourcing $1M+ in revenue and exceeding annual sales goals by 17%."
Treering Yearbooks,[generalist],- Achieved consistent top “Good Fit” ratings and internal recognition for driving high-conversion handoffs.
Treering Yearbooks,[ops][mgmt],"- Achieved success as the first outbound hire to surpass $1M in sourced revenue, exceeding first-year target by 17% through proactive territory management, personalized outreach, and compelling presentations."
Treering Yearbooks,[ops][email],"- Acted as a key player in the platform migration from PersistIQ to Outreach.io, improving daily workflows and streamlining Salesforce integration for better reporting and automation"
Treering Yearbooks,[content],- Advised on messaging and content personalization strategies to improve engagement and prospect response rates.
Treering Yearbooks,[content],- Advised on messaging and content personalization strategies to improve prospect response rates.
Treering Yearbooks,[brand],- Aligned campaign messaging with company goals and product milestones alongside Marketing and Sales leadership.
Treering Yearbooks,[ops],"- Analyzed CRM data to uncover $3M+ in dormant pipeline, reactivating target segments through strategic, market-driven campaigns. Cross-Functional, Data, & Strategic Impact:"
Treering Yearbooks,[email][ops],"- Analyzed campaign data to fine-tune strategy, consistently achieving 70–85% open rates and high engagement benchmarks."
Treering Yearbooks,[ops],"- Analyzed campaign performance data and sales cycle velocity to identify key conversion bottlenecks, leading to A/B testing initiatives that doubled lead-to-meeting rates."
Treering Yearbooks,[ops],"- Analyzed campaign performance via Salesforce and Outreach.io dashboards/reports, translating data into improved conversion."
Treering Yearbooks,[ops],"- Analyzed campaign performance via Salesforce dashboards, translating email metrics into improved conversion and retention."
Treering Yearbooks,[generalist],"- Analyzed confidential feedback and integrated insights into communications, planning, and operations."
Treering Yearbooks,[generalist],- Applied A/B testing systematically and iterated using AI tools like ChatGPT and Grammarly to optimize messaging.
Treering Yearbooks,[generalist],"- Applied cohort analysis, A/B testing, and engagement scoring to refine messaging strategy and drive higher ROI."
Treering Yearbooks,[ops],"- Applied quality control to datasets of 1,920+ email templates, maintaining accuracy and consistency across audience segments."
Treering Yearbooks,[ops],"- Architected advanced Outreach.io workflows integrated with Salesforce CRM via API connections and custom configuration, enabling seamless data synchronization and automation"
Treering Yearbooks,[content][enablement],"- Architected and managed the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide that directly supported all stages of the sales cycle."
Treering Yearbooks,[content][enablement],"- Architected comprehensive sales enablement content library with 100+ assets (playbooks, guides, templates) adopted company-wide."
Treering Yearbooks,[email],"- Architected email journeys with 83% open rates and 43% reply rates across 2,900+ accounts, achieving 10x industry-averages."
Treering Yearbooks,[content][enablement],"- Architected the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide."
Treering Yearbooks,[ops],"- Architected the integration and company-wide rollout of Outreach.io, creating the workflows, field mapping, and automation rules that became the foundation of the sales process."
Treering Yearbooks,[ops],- Audit Insight: Ran a company CRM audit that identified $3M+ in potential pipeline for redistribution to SDRs
Treering Yearbooks,[writing][email],"- Authored and structured high-performing email marketing campaigns (83% open, 43% reply rates), applying UX writing and visual hierarchy principles to enhance clarity, accessibility, and engagement."
Treering Yearbooks,[writing][email],"- Authored and structured high-performing email marketing campaigns achieving up to 83% open and 43% reply rates, applying UX writing and visual hierarchy principles to improve clarity and engagement."
Treering Yearbooks,[writing],"- Authored cadences and strategy for Adobe and education-sector clients, earning a nomination for an ABM/copywriting role."
Treering Yearbooks,[writing],- Authored campaign-wide messaging with scalable QA and variable logic for personalization.
Treering Yearbooks,[writing][content],"- Authored detailed project plans for email marketing campaigns, incorporating precise timelines, audience segmentation, dynamic content, and rigorous QA and approval processes to ensure flawless execution"
Treering Yearbooks,[email][writing],- Authored high-intent email campaigns with up to 62% reply rates to convert warm prospects into signed deals.
Treering Yearbooks,[email][writing],"- Authored high-performing email campaigns achieving 83% open rates and 43% reply rates—10x industry benchmarks—driving measurable adoption across 2,900+ accounts."
Treering Yearbooks,[writing][mgmt],"- Authored high-performing, team-wide campaigns with strong QA processes and variable logic for personalization at scale."
Treering Yearbooks,[writing][content],"- Authored modular campaign kits with messaging tracks, A/B test variants, and content tailored to K–12 educators."
Treering Yearbooks,[writing][mgmt],"- Authored team-wide campaigns with logic-driven personalization, leading to better engagement and more confident sends."
Treering Yearbooks,[generalist],"- Balanced multiple client needs as a freelancer post-internship, demonstrating reliability, flexibility, and trustworthiness."
Treering Yearbooks,[generalist],"- Balanced relocation to Upstate New York with steady freelance output, maintaining a consistent portfolio of clients."
Treering Yearbooks,[ops],- Became the first SDR at Treering to surpass $1M in revenue; informed broader pipeline strategy and market positioning.
Treering Yearbooks,[ops],- Became the first SDR to reach $1M+ in revenue; insights informed broader pipeline strategy and market positioning.
Treering Yearbooks,[generalist],- Became the first outbound employee in history to generate over $1M in potential revenue and exceeded KPIs by 17% in year one.
Treering Yearbooks,[mgmt],"- Became the first outbound team member in history to generate $1M+ in sourced revenue, exceeding KPIs by 17% in year one."
Treering Yearbooks,[email][content],"- Built 60+ high-performing cadences using dynamic content, behavioral triggers, and segmentation logic—achieving 29–43% reply rates (10× industry average) and 98% deliverability"
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15 data points per account across 206 active tasks, enabling efficient territory management at scale."
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15 data points per account across 206 active tasks, enabling efficient territory management at scale. Cross-Functional & GTM Strategy:"
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15+ data points per account across 206 active tasks, enabling efficient workflow management."
Treering Yearbooks,[ops],"- Built QA protocols that ensured CRM and email campaigns met logic, segmentation, and delivery accuracy standards."
Treering Yearbooks,[ops],"- Built QA protocols to validate trigger logic, segmentation accuracy, and campaign delivery across CRM and email."
Treering Yearbooks,[email],- Built QA systems for campaign logic and engagement tracking.
Treering Yearbooks,[ops],"- Built a 15-point Google Sheets “personal CRM” with two-way Salesforce sync to prioritize a $20M+ portfolio, track follow-ups, and keep handoffs clean across 2,900+ accounts and every time zone in the U.S."
Treering Yearbooks,[ops][mgmt],"- Built a custom prospecting database to manage nearly 3000 accounts, tracking 15 distinct data points per account to improve workflow and strategic prioritization."
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered $3M+ in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth."
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered over $3 million in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth."
Treering Yearbooks,[email][ops],"- Built advanced CRM workflows with segmentation, A/B testing, and logic-based automation, increasing open rates by up to 25%."
Treering Yearbooks,[ops],- Built advanced automation and audience segmentation workflows with Salesforce/Outreach.io; improved engagement by 25%+.
Treering Yearbooks,[email],"- Built advanced automations with segmentation, A/B testing, and logic-based branching, improving open rates by up to 25%."
Treering Yearbooks,[content],- Built an objection library and weekly testing rhythm that reduced ramp time for new SDRs
Treering Yearbooks,[mgmt],"- Built and led training sessions (live + asynchronous) for 20+ team members on messaging, QA best practices, and tools"
Treering Yearbooks,[ops],"- Built and maintained CRM frameworks to align lifecycle outreach with messaging tiers, conversion goals, and persona needs."
Treering Yearbooks,[ops],"- Built and maintained a suite of performance dashboards in Salesforce and Google Sheets to track KPIs for the entire sales funnel, from lead generation to closed-won revenue."
Treering Yearbooks,[mgmt],"- Built and managed editorial calendars and QA systems, reducing review time by 20% and improving cross-channel message alignment."
Treering Yearbooks,[ops],"- Built and optimized Outreach.io campaigns with advanced segmentation logic, improving response rates and pipeline quality."
Treering Yearbooks,[email],"- Built and optimized automated email sequences achieving up to 83% open rates and 43% reply rates (10x higher than industry average) across a $20M portfolio of 2,900+ B2B accounts."
Treering Yearbooks,[email],"- Built and optimized multi-channel email campaigns and lifecycle workflows across 2,900+ B2B accounts, maintaining 98% deliverability and engagement rates triple the industry standard."
Treering Yearbooks,[generalist],"- Built audience segments based on lead behavior and attributes, boosting response rates and informing lifecycle messaging."
Treering Yearbooks,[email],"- Built automated onboarding, nurture, and win-back journeys using behavioral customer segmentation, liing open rates ~20%."
Treering Yearbooks,[ops],- Built automated reporting systems and performance dashboards using Google Sheets and CRM integrations to track engagement metrics while managing cross-functional project coordination through Google Workspace and Trello.
Treering Yearbooks,[ops][mgmt],"- Built comprehensive territory management system tracking 15+ data points across 2,932 accounts, enabling scalable prospect research and strategic account prioritization."
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, A/B testing, and variable messaging."
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, variable messaging, and A/B testing."
Treering Yearbooks,[ops],"- Built full-funnel campaigns in Outreach.io + Salesforce with personalized messaging, logic-based branching, and ongoing A/B testing"
Treering Yearbooks,[ops],"- Built full-funnel campaigns in Outreach.io + Salesforce with personalized messaging, testing, and logic-based branching"
Treering Yearbooks,[email],"- Built full-funnel campaigns in Outreach.io using personalized messaging, A/B testing, and logic-based branching."
Treering Yearbooks,[ops][email],"- Built full-funnel sequences in Outreach.io + Salesforce with personalized messaging, testing, and cross-functional campaign execution using logic-based branching"
Treering Yearbooks,[ops],"- Built logic-based QA checklists to validate campaign accuracy, data flows, and personalization triggers before launch."
Treering Yearbooks,[ops],"- Built logic-based QA checklists to validate campaign accuracy, personalization triggers, and data flows before launch."
Treering Yearbooks,[ops][writing],"- Built logic-driven Outreach.io campaigns (behavior triggers, A/B variants, variable copy) and integrated Salesforce + Outreach to streamline segmentation and pipeline visibility."
Treering Yearbooks,[email][writing],"- Built logic-driven Outreach.io campaigns with behavior triggers, A/B variants, and variable copy — increasing reply rates and improving engagement at every stage of the sales funnel."
Treering Yearbooks,[mgmt],- Built performance dashboards providing real-time visibility into team outputs and quality metrics across multiple channels.
Treering Yearbooks,[ops],- Built performance dashboards translating complex data into clear recommendations for Sales and Marketing. Cross-Functional Collaboration & User Experience:
Treering Yearbooks,[email],- Built persona programs in Outreach that produced reply rates routinely above benchmark on technical audiences
Treering Yearbooks,[email],"- Built relationships with K-12 district leaders, school officials, and PTAs, securing multi-school contracts and high-value partnerships."
Treering Yearbooks,[content][enablement],"- Built sales enablement library aligned to lifecycle stages, including battlecards, objection handling docs, and internal FAQs."
Treering Yearbooks,[ops],- Built scalable CRM workflows and reporting systems to identify opportunities and improve targeting.
Treering Yearbooks,[ops],"- Built sophisticated segmentation strategies using Salesforce data to personalize outreach based on customer lifecycle stage, school demographics, and engagement patterns, including direct SMS communication with high-value prospects."
Treering Yearbooks,[email],"- Built strong relationships with K-12 decision-makers through district-level outreach, research, and tailored campaign messaging."
Treering Yearbooks,[email],"- Built strong relationships with K-12 decision-makers through research, outreach, and tailored messaging campaigns."
Treering Yearbooks,[email],"- Built strong relationships with K-12 district leaders, school officials, and PTAs to secure multi-school contracts and partnerships."
Treering Yearbooks,[content],"- Built training materials and process documentation that simplified complex concepts—the same clear, patient communication approach brought to dog training."
Treering Yearbooks,[email],- Built trusted relationships with K-12 decision-makers through research and personalized campaign messaging.
Treering Yearbooks,[email],- Campaigns at Scale: Best sequences reached 83% open / 43% reply; multiple campaigns hit 10× industry reply benchmarks
Treering Yearbooks,[email],"- Campaigns at Scale: Led outreach for several years that ran August–May (an entire school year), with audience segmentation, planned step timing, and variables for personalization at scale; best sequences reached 83% open / 43% reply"
Treering Yearbooks,[mgmt],- Captured over $1M in revenue by developing email sequences that became foundational templates for a 20+ member team.
Treering Yearbooks,[mgmt],- Captured over $1M in revenue by refining email sequences that later served as foundational templates for a 20+ person team.
Treering Yearbooks,[ops],"- Championed Outreach adoption and led Salesforce integration; served as Outreach.io Admin and technical lead for configuration, workflow automation, and variable logic across 20+ users"
Treering Yearbooks,[mgmt],"- Championed Outreach.io adoption; trained 20+ team members on variable logic, sequence management, and syncing issues."
Treering Yearbooks,[ops],"- Championed adoption of Outreach.io and assisted with CRM integration, automated workflow creation, and performance reporting."
Treering Yearbooks,[email],"- Championed outreach to school districts and PTA Councils, facilitating a statewide promotion with the Georgia PTA."
Treering Yearbooks,[email],"- Championed targeted outreach to school districts and PTA Councils; developed processes, led best-practice trainings, secured a high-impact presentation with a major Georgia PTA Council, and facilitated statewide promotions."
Treering Yearbooks,[generalist],"- Chosen to lead the wrap-up of Treering’s client project, then directly recruited by Treering’s Head of Sales to join them in-house."
Treering Yearbooks,[ops],- Cleaned CRM fields and created dashboards that helped uncover $3M+ in hidden pipeline.
Treering Yearbooks,[ops],- Cleaned CRM fields and created dashboards that helped uncover $3M+ in hidden pipelines.
Treering Yearbooks,[content][mgmt],"- Co-founded a content committee to unify messaging across teams, improving clarity across all communication touchpoints."
Treering Yearbooks,[mgmt],"- Coached a high-performing remote team of 4-6 SDRs while maintaining a personal portfolio of 2,000+ sales accounts."
Treering Yearbooks,[mgmt],"- Coached a high-performing remote team of 4–6 SDRs while managing a personal portfolio of 2,000+ sales accounts."
Treering Yearbooks,[mgmt],"- Coached and scaled a high-performing remote team of 4–6 SDRs while managing a personal portfolio of 2,000+ accounts."
Treering Yearbooks,[mgmt],"- Coached remote team of 4–6 while managing personal portfolio, fostering collaborative environment focused on customer success."
Treering Yearbooks,[generalist],"- Collaborated across Product, Engineering, and Support to align messaging, share insights, and improve lifecycle touchpoints."
Treering Yearbooks,[content][mgmt],"- Collaborated asynchronously with Product, Marketing, and Operations teams to ensure content reflected latest platform capabilities."
Treering Yearbooks,[content][brand],"- Collaborated cross-functionally to align tone, visuals, and content formats to lifecycle stage and audience behavior."
Treering Yearbooks,[email],- Collaborated cross-functionally to launch email and SMS nurture campaigns on schedule and in line with business goals.
Treering Yearbooks,[generalist],"- Collaborated cross-functionally to train Marketing on successful conditional-logic modules, unlocking personalization at scale."
Treering Yearbooks,[content][mgmt],"- Collaborated cross-functionally with Marketing Operations, Creative Teams, and Support to collect information and assets, overseeing projects to ensure on-time delivery and high-quality standards"
Treering Yearbooks,[brand],"- Collaborated cross-functionally with Marketing, Sales Operations, Creative, Product, Engineering, and Support to gather information, provide insight, and ensure alignment with company objectives."
Treering Yearbooks,[content],"- Collaborated cross-functionally with Marketing, Sales, Product, and Support to align messaging across assets"
Treering Yearbooks,[writing],"- Collaborated on Adobe eSign ABM pilot messaging strategy, contributing insights that led to nomination for senior copywriting roles."
Treering Yearbooks,[email],"- Collaborated on pilot messaging strategy for Adobe eSign ABM outreach, leading to nomination for two senior roles."
Treering Yearbooks,[content],"- Collaborated on product positioning and voice refresh for all messaging, improving clarity and cohesion across touchpoints."
Treering Yearbooks,[ops][email],"- Collaborated on the company-wide migration from PersistIQ to Outreach.io, streamlining Salesforce integration and platform reporting"
Treering Yearbooks,[generalist],"- Collaborated with Marketing and Support to translate technical features into educator-focused value propositions, enhancing product understanding and adoption."
Treering Yearbooks,[mgmt],"- Collaborated with Sales, Marketing, and Product teams to align lifecycle communications with broader business objectives."
Treering Yearbooks,[brand][writing],"- Collaborated with creative teams to develop compelling email templates and campaign assets, writing detailed creative briefs that guided design execution and maintained brand consistency."
Treering Yearbooks,[ops],"- Collaborated with engineers to integrate automation workflows and synchronize campaign data with backend systems, building transferable expertise for modern platforms like Braze"
Treering Yearbooks,[mgmt][design],- Collaborated with internal teams and client stakeholders to design campaigns that aligned with client goals and market trends.
Treering Yearbooks,[brand],- Collaborated with marketing and sales leadership to align campaign messaging with company goals and product milestones.
Treering Yearbooks,[mgmt],"- Collaborated with product, marketing, and support teams to align messaging strategies and improve user experience."
Treering Yearbooks,[mgmt],"- Collaborated with product, operations, and marketing teams to align messaging with campaign KPIs and business objectives."
Treering Yearbooks,[email],- Collaborated with stakeholders to refine persona engagement tactics and improve lead quality across national outreach.
Treering Yearbooks,[email],"- Composed messaging frameworks, training materials, marketing calendars, and QA processes supporting scalable campaigns."
Treering Yearbooks,[email],"- Conducted A/B testing on messaging, timing, and outreach strategies to continuously improve campaign performance."
Treering Yearbooks,[brand],- Conducted A/B testing on subject lines and CTAs to boost open and click-through rates while maintaining accuracy and tone.
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline by resolving miscategorized records, refining filters, creating complex reports, and building dashboard-ready insights supporting QA and compliance."
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline by resolving miscategorized records, refining filters, creating complex reports, and building performance dashboards."
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline, refining filters, cleaning records, and delivering dashboard-ready insights to support QA and compliance."
Treering Yearbooks,[ops],"- Conducted CRM audits achieving 99%+ data accuracy, saving leadership 50% of time in reporting and forecasting."
Treering Yearbooks,[ops],"- Conducted a CRM audit that surfaced $3M+ in pipeline by rescuing stalled deals, fixing process gaps, and tightening data hygiene"
Treering Yearbooks,[ops],"- Conducted a systematic CRM audit that uncovered $3M+ in dormant pipeline, creating targeted reactivation campaigns that revitalized sales opportunities."
Treering Yearbooks,[ops],"- Conducted campaign data analysis, producing performance reports with actionable insights that improved engagement rates."
Treering Yearbooks,[email][content],"- Conducted comprehensive A/B testing on subject lines, send times, and email content to optimize campaign performance, with top performing campaigns reaching 34% reply rates."
Treering Yearbooks,[ops],"- Conducted comprehensive CRM audit that identified and unlocked $3M+ in dormant pipeline, creating targeted re-engagement campaigns for the entire sales organization."
Treering Yearbooks,[email],"- Conducted detailed prospect research and personalized outreach, significantly boosting engagement and lead qualification."
Treering Yearbooks,[email],"- Conducted in-depth prospect research and email personalization, driving authentic engagement and stronger lead qualification."
Treering Yearbooks,[email],- Conducted innovative prospect research to uncover personal details that boosted outreach authenticity and conversion.
Treering Yearbooks,[generalist],"- Conducted innovative prospect research, leveraging personal details to build authentic connections and boost effectiveness."
Treering Yearbooks,[generalist],"- Conducted ongoing qualitative user research across a 2,932-account user base to maintain a deep, firsthand understanding of educator pain points and inform product messaging."
Treering Yearbooks,[ops],"- Conducted strategic CRM analysis, revealing $3M+ in hidden pipeline opportunities."
Treering Yearbooks,[ops],"- Conducted systematic CRM analysis that uncovered $3M+ in dormant pipeline opportunities, creating targeted re-engagement campaigns and territory redistribution strategies."
Treering Yearbooks,[ops],"- Conducted systematic CRM analysis uncovering $3M+ in dormant opportunities, creating targeted reactivation campaigns."
Treering Yearbooks,[ops],"- Conducted systematic analysis of $3M+ pipeline opportunities, creating data-driven optimization strategies."
Treering Yearbooks,[content],"- Conducted systematic review and optimization of campaign content, ensuring consistency and effectiveness across all client communications."
Treering Yearbooks,[enablement],"- Consistently exceeded annual revenue goals, becoming the first SDR in company history to source over $1M in new revenue."
Treering Yearbooks,[enablement],"- Consistently exceeded revenue goals, becoming the first SDR in company history to source $1M+ in new revenue."
Treering Yearbooks,[content][enablement],"- Consolidated customer-voice artifacts into a co-created, searchable enablement library and reference routing process, reducing time to assemble proof for deals and keeping narratives consistent across the team"
Treering Yearbooks,[mgmt][brand],"- Contributed ideas and feedback in creative planning sessions that led to more engaging, accessible materials for the team."
Treering Yearbooks,[ops],"- Contributed messaging for the Adobe eSign ABM pilot, helping drive a ≈25% pipeline uptick in the first 60 days."
Treering Yearbooks,[brand],"- Contributed to internal brainstorming and pitch work, earning praise from creative leadership for thoughtfulness and polish."
Treering Yearbooks,[generalist],- Converted warm prospects into $1.5M+ in closed revenue by refining targeted marketing strategies.
Treering Yearbooks,[content],- Coordinated 4–6 stakeholder threads to align success metrics and unblock buying committees for pilot approvals and rollout
Treering Yearbooks,[mgmt][brand],"- Coordinated outreach messaging with marketing, sales, and support teams to unify tone, timing, and narrative."
Treering Yearbooks,[ops][mgmt],"- Crafted a new, data-focused role on the team, defining the responsibilities and building the reporting infrastructure to support strategic account research and segmentation."
Treering Yearbooks,[email],"- Crafted account-based marketing campaigns for Adobe Sign, resulting in two senior-level nominations."
Treering Yearbooks,[email][writing],- Crafted persuasive PTA presentation copy that led to partnerships with 400+ schools and long-term customer relationships.
Treering Yearbooks,[mgmt],"- Created QA systems that standardized voice, improved delivery accuracy, and execution across a 20+ member distributed team."
Treering Yearbooks,[design],"- Created Treering’s COVID-19 Response Flyer, featured on the company homepage and Support Center “above the fold” for over a year; updated design remained live into the following school year."
Treering Yearbooks,[ops][content],"- Created a comprehensive sales enablement ecosystem, including tagged content libraries, objection-handling guides, and integration optimization that equipped cross-functional teams with brand-aligned content."
Treering Yearbooks,[email],- Created a direct-report research role to accelerate personalization and segment testing across campaigns.
Treering Yearbooks,[ops],- Created a new data-focused role to surface $3M+ in untapped potential revenue via custom dashboards and CRM cleanup projects
Treering Yearbooks,[mgmt],"- Created a new research role from scratch for a direct report, developing all reporting, dashboards, and metrics for their success."
Treering Yearbooks,[generalist],"- Created a supportive environment where people felt confident to ask questions and grow, using positive reinforcement and empathy to drive performance."
Treering Yearbooks,[ops],"- Created and implemented a data-focused role to surface $3M+ in untapped pipeline via dashboards, CRM cleanup, and strategic outreach workflows"
Treering Yearbooks,[content][brand],- Created and maintained voice/tone style guides to ensure clarity and consistency across content owners and platforms.
Treering Yearbooks,[ops],"- Created and operationalized a data-focused role to surface $3M+ in untapped pipeline potential via dashboard building, CRM cleanup, and campaign performance insights"
Treering Yearbooks,[content],"- Created and optimized A/B test sequences for subject lines, send timing, and content blocks, consistently driving increases in engagement rates and successful reactivation of churned accounts."
Treering Yearbooks,[brand][design],"- Created branded decks, email templates, and case study-style collateral tailored to stakeholder pitches."
Treering Yearbooks,[email][brand],"- Created branded decks, email templates, and collateral for pitches, including a Georgia PTA council serving hundreds of schools."
Treering Yearbooks,[brand][content],"- Created branded decks, email templates, and editorial collateral, maintaining tone and clarity across multi-format content."
Treering Yearbooks,[brand][design],"- Created branded decks, email templates, and pitch collateral tailored to audience journey stage and compliance requirements."
Treering Yearbooks,[brand][content],"- Created branded enablement assets and presentation decks for webinars, virtual events, and partner outreach, reinforcing message clarity, visual consistency, and campaign cohesion across touchpoints."
Treering Yearbooks,[brand][content],"- Created branded enablement assets and presentation decks for webinars, virtual events, and prospect outreach, reinforcing message clarity, visual consistency, and campaign cohesion across touchpoints."
Treering Yearbooks,[email][brand],"- Created branded presentation decks and pitch materials for high-impact initiatives, including a successful Georgia PTA presentation reaching hundreds of PTA presidents."
Treering Yearbooks,[design][brand],"- Created branded sales and marketing collateral, including web graphics, flyers, slide decks, and outreach templates, to support campaigns, outreach efforts, and events."
Treering Yearbooks,[brand][email],"- Created campaign calendars, email QA systems, and message templates that unified brand tone and improved outreach clarity."
Treering Yearbooks,[content][brand],"- Created communication templates, editorial calendars, and QA systems to unify tone and structure across content touchpoints."
Treering Yearbooks,[ops],"- Created comprehensive Salesforce reporting dashboards to track customer journey progression, campaign performance, and incremental LTV growth opportunities."
Treering Yearbooks,[content],"- Created comprehensive internal process website documenting entire customer journey workflow, accelerating new hire onboarding and reducing training time by 30%."
Treering Yearbooks,[content],"- Created content maps, marketing calendars, and automation models that improved campaign efficiency and asset alignment."
Treering Yearbooks,[ops][content],"- Created content strategy documentation for Adobe eSign ABM campaigns, combining CRM insights with tailored messaging that addressed specific user experience needs."
Treering Yearbooks,[content],"- Created conversion-focused content across email, landing pages, and eperformance channels."
Treering Yearbooks,[ops],"- Created custom dashboards, cleaned CRM fields, and helped uncover $3M+ in pipeline via better data visibility."
Treering Yearbooks,[email],"- Created custom outreach programs targeting PTA Councils and school districts, facilitating high-value partnerships with regional education groups like the Georgia PTA which oversees PTA units at 1,279 schools statewide."
Treering Yearbooks,[email],"- Created custom outreach programs targeting PTA Councils and school districts, facilitating high-value partnerships with regional education groups like the Georgia PTA which oversees PTA units at 1,279 schools."
Treering Yearbooks,[generalist],"- Created high-performing nurture and persona-based cadences, blending storytelling with customization to drive engagement."
Treering Yearbooks,[mgmt],"- Created internal SOPs, onboarding guides, and QA templates that reduced confusion and helped new team members ramp up."
Treering Yearbooks,[email],"- Created journey maps, marketing calendars, and automation logic models that improved campaign efficiency."
Treering Yearbooks,[generalist],"- Created journey maps, marketing calendars, and automation logic models that improved efficiency and editorial consistency."
Treering Yearbooks,[generalist],"- Created journey maps, marketing calendars, and automation logic that improved workflow efficiency and editorial consistency."
Treering Yearbooks,[brand][content],"- Created message templates, campaign calendars, and QA systems to unify tone and structure across content touchpoints."
Treering Yearbooks,[writing],"- Created messaging frameworks for K–12 decision-makers, generating $1M+ in sourced revenue through clear, conversion-driven copy."
Treering Yearbooks,[generalist],"- Created messaging frameworks, QA processes, and documentation that supported Marketing, Sales Ops, and Support"
Treering Yearbooks,[content],- Created pandemic response assets featured across customer portals and sales channels for two consecutive years.
