Role / Company,Tags,Bullet Point
Treering Yearbooks,[generalist],"- Analyzed confidential feedback and integrated insights into communications, planning, and operations."
Treering Yearbooks,[email],- Applied A/B testing systematically and iterated using AI tools like ChatGPT and Grammarly to optimize messaging.
Treering Yearbooks,[email],"- Applied cohort analysis, A/B testing, and engagement scoring to refine messaging strategy and drive higher ROI."
Treering Yearbooks,[content] [email],"- Applied quality control to datasets of 1,920+ email templates, maintaining accuracy and consistency across audience segments."
Treering Yearbooks,[content],- Developed QA checklists and governance frameworks ensuring brand voice consistency and regulatory compliance.
Treering Yearbooks,[ops],"- First outbound team member in company history to reach $1M+ in sourced revenue, achieving 117% of target in year one"
Treering Yearbooks,[email] [ops],"- Architected advanced Outreach.io workflows integrated with Salesforce CRM via API connections and custom configuration, enabling seamless data synchronization and automation"
Treering Yearbooks,[content] [email] [enablement] [mgmt],"- Architected and managed the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide that directly supported all stages of the sales cycle."
Treering Yearbooks,[content] [enablement],"- Founded and led a cross-functional Content Committee, aligning Sales, Marketing, and Support to reduce content creation timelines by 20% and ensure consistent messaging across the entire customer lifecycle."
Treering Yearbooks,[content] [enablement],"- Architected comprehensive sales enablement content library with 100+ assets (playbooks, guides, templates) adopted company-wide."
Treering Yearbooks,[content] [enablement],"- Founded cross-functional Content Committee, aligning Sales, Marketing, and Support to reduce content timelines by 20%."
Treering Yearbooks,[enablement] [mgmt] [ops],"- Delivered monthly training for 20+ person team, increasing close rates to 62-72% while reducing new hire ramp time by 30%."
Treering Yearbooks,[email],"- Developed 62 distinct sales sequences achieving 100% team adoption, 74% open rates, and 43% reply rates (10x industry average)"
Treering Yearbooks,[email],"- Architected email journeys with 83% open rates and 43% reply rates across 2,900+ accounts, achieving 10x industry-averages."
Treering Yearbooks,[ops],"- Orchestrated messaging campaigns using behavioral triggers and segmentation logic, generating $1.5M+ in pipeline opportunities."
Treering Yearbooks,[content],- Executed high-intent communications converting prospects with 25% faster deal cycles through personalized messaging.
Treering Yearbooks,[mgmt],"- Managed customer portfolio spanning all 50 states and 565 districts, maintaining deep understanding of diverse regional preferences and communication needs."
Treering Yearbooks,[content] [email] [enablement],"- Architected the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide."
Treering Yearbooks,[email] [ops],"- Architected the integration and company-wide rollout of Outreach.io, creating the workflows, field mapping, and automation rules that became the foundation of the sales process."
Treering Yearbooks,[email] [writing],"- Authored and structured high-performing email marketing campaigns (83% open, 43% reply rates), applying UX writing and visual hierarchy principles to enhance clarity, accessibility, and engagement."
Treering Yearbooks,[email] [writing],"- Authored and structured high-performing email marketing campaigns achieving up to 83% open and 43% reply rates, applying UX writing and visual hierarchy principles to improve clarity and engagement."
Treering Yearbooks,[email] [writing],"- Authored cadences and strategy for Adobe and education-sector clients, earning a nomination for an ABM/copywriting role."
Treering Yearbooks,[content] [writing],- Authored campaign-wide messaging with scalable QA and variable logic for personalization.
Treering Yearbooks,[content] [ops] [writing],"- Authored detailed project plans for email marketing campaigns, incorporating precise timelines, audience segmentation, dynamic content, and rigorous QA and approval processes to ensure flawless execution"
Treering Yearbooks,[email] [writing],"- Authored high-performing email campaigns achieving 83% open rates and 43% reply rates—10x industry benchmarks—driving measurable adoption across 2,900+ accounts."
Treering Yearbooks,[content] [writing],"- Authored high-performing, team-wide campaigns with strong QA processes and variable logic for personalization at scale."
Treering Yearbooks,[email] [writing],"- Authored modular campaign kits with messaging tracks, A/B test variants, and content tailored to K–12 educators."
Treering Yearbooks,[content] [writing],"- Authored team-wide campaigns with logic-driven personalization, leading to better engagement and more confident sends."
Treering Yearbooks,[generalist],"- Balanced relocation to Upstate New York with steady freelance output, maintaining a consistent portfolio of clients."
Treering Yearbooks,[ops],- Became the first SDR at Treering to surpass $1M in revenue; informed broader pipeline strategy and market positioning.
Treering Yearbooks,[ops],- Became the first SDR to reach $1M+ in revenue; insights informed broader pipeline strategy and market positioning.
Treering Yearbooks,[ops],- Became the first outbound employee in history to generate over $1M in potential revenue and exceeded KPIs by 17% in year one.
Treering Yearbooks,[ops],"- Maintained a portfolio of 2,000+ prospective accounts through audience research, segmentation, and customized variable logic."
Treering Yearbooks,[ops],"- Became the first outbound team member in history to generate $1M+ in sourced revenue, exceeding KPIs by 17% in year one."
Treering Yearbooks,[generalist],- Brand Development
Treering Yearbooks,[generalist],- Lead/Revenue Generation
Treering Yearbooks,[email] [ops],"- Built 60+ high-performing cadences using dynamic content, behavioral triggers, and segmentation logic—achieving 29–43% reply rates (10× industry average) and 98% deliverability"
Treering Yearbooks,[ops],"- Built CRM systems tracking 15 data points per account across 206 active tasks, enabling efficient territory management at scale"
Treering Yearbooks,[email] [ops],"- Built QA protocols that ensured CRM and email campaigns met logic, segmentation, and delivery accuracy standards."
Treering Yearbooks,[ops],"- Built QA protocols to validate trigger logic, segmentation accuracy, and campaign delivery across CRM and email."
Treering Yearbooks,[generalist],- Built QA systems for campaign logic and engagement tracking.
Treering Yearbooks,[content] [ops],"- Built a 15-point Google Sheets “personal CRM” with two-way Salesforce sync to prioritize a $20M+ portfolio, track follow-ups, and keep handoffs clean across 2,900+ accounts and every time zone in the U.S."
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered over $3 million in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth."
Treering Yearbooks,[email] [ops],"- Built advanced CRM workflows with segmentation, A/B testing, and logic-based automation, increasing open rates by up to 25%."
Treering Yearbooks,[ops],"- Spearheaded a CRM data overhaul, uncovering $3M+ in untapped pipeline revenue through improved reporting."
Treering Yearbooks,[generalist],"- Supported retention initiatives and loyalty-focused outreach programs, increasing long-term engagement with repeat buyers."
Treering Yearbooks,[content] [email] [ops],- Built advanced automation and audience segmentation workflows with Salesforce/Outreach.io; improved engagement by 25%+.
Treering Yearbooks,[ops],- Spearheaded a CRM data cleanup and analytics project that identified $3M+ in additional pipeline opportunity.
Treering Yearbooks,[ops],"- Designed scalable customer journeys aligned with annual buying cycles, driving engagement at key seasonal milestones."
Treering Yearbooks,[generalist],- Built an objection library and weekly testing rhythm that reduced ramp time for new SDRs
Treering Yearbooks,[enablement],"- Built and led training sessions (live + asynchronous) for 20+ team members on messaging, QA best practices, and tools"
Treering Yearbooks,[ops],"- Optimized CRM workflows and engagement software, reducing data entry time and increasing outreach efficiency"
Treering Yearbooks,[enablement],- Created scalable internal processes and documentation to reduce friction and improve team clarity
Treering Yearbooks,[ops],"- Established a unique, data-focused role to uncover untapped revenue, resulting in $3M+ identified in new pipeline"
Treering Yearbooks,[content] [ops],"- Built and maintained CRM frameworks to align lifecycle outreach with messaging tiers, conversion goals, and persona needs."
Treering Yearbooks,[ops],"- Built and maintained a suite of performance dashboards in Salesforce and Google Sheets to track KPIs for the entire sales funnel, from lead generation to closed-won revenue."
Treering Yearbooks,[content] [mgmt] [writing],"- Built and managed editorial calendars and QA systems, reducing review time by 20% and improving cross-channel message alignment."
Treering Yearbooks,[email] [ops],"- Built and optimized Outreach.io campaigns with advanced segmentation logic, improving response rates and pipeline quality."
Treering Yearbooks,[ops],- Created systematic account management processes tracking 15 data points per account across 206 active tasks.
Treering Yearbooks,[content] [email] [enablement],"- Founded and facilitated a cross-department content committee, reducing content review cycles by an estimated 20% and unifying messaging across 100+ email templates and sales assets."
Treering Yearbooks,[email],"- Built and optimized automated email sequences achieving up to 83% open rates and 43% reply rates (10x higher than industry average) across a $20M portfolio of 2,900+ B2B accounts."
Treering Yearbooks,[content] [email] [ops],"- Built and optimized multi-channel email campaigns and lifecycle workflows across 2,900+ B2B accounts, maintaining 98% deliverability and engagement rates triple the industry standard."
Treering Yearbooks,[content],"- Built audience segments based on lead behavior and attributes, boosting response rates and informing lifecycle messaging."
Treering Yearbooks,[ops],- Built automated reporting systems and performance dashboards using Google Sheets and CRM integrations to track engagement metrics while managing cross-functional project coordination through Google Workspace and Trello.
Treering Yearbooks,[ops],"- Built comprehensive territory management system tracking 15+ data points across 2,932 accounts, enabling scalable prospect research and strategic account prioritization."
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, A/B testing, and variable messaging."
Treering Yearbooks,[email] [ops],"- Integrated Salesforce and Outreach to reduce friction, improve segmentation, and increase reply rates."
Treering Yearbooks,[ops],- Cleaned CRM fields and created dashboards that helped uncover $3M+ in hidden pipeline.
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, variable messaging, and A/B testing."
Treering Yearbooks,[content] [email] [ops],"- Built full-funnel campaigns in Outreach.io + Salesforce with personalized messaging, testing, and logic-based branching"
Treering Yearbooks,[generalist],"- Served as liaison between Sales and Marketing to provide feedback, share audience insights, and improve outreach alignment"
Treering Yearbooks,[email] [enablement] [ops],"- Owned end-to-end email lifecycle flows — from welcome series and onboarding to retention and re-engagement — using variable logic, A/B testing, and CRM data to optimize conversion and engagement"
Treering Yearbooks,[content] [email],"- Built full-funnel campaigns in Outreach.io using personalized messaging, A/B testing, and logic-based branching."
Treering Yearbooks,[content],"- Built logic-based QA checklists to validate campaign accuracy, data flows, and personalization triggers before launch."
Treering Yearbooks,[content],"- Built logic-based QA checklists to validate campaign accuracy, personalization triggers, and data flows before launch."
Treering Yearbooks,[email] [ops],"- Built logic-driven Outreach.io campaigns (behavior triggers, A/B variants, variable copy) and integrated Salesforce + Outreach to streamline segmentation and pipeline visibility."
Treering Yearbooks,[email],"- Built logic-driven Outreach.io campaigns with behavior triggers, A/B variants, and variable copy — increasing reply rates and improving engagement at every stage of the sales funnel."
Treering Yearbooks,[content] [email],- Built persona programs in Outreach that produced reply rates routinely above benchmark on technical audiences
Treering Yearbooks,[generalist],"- Built relationships with K-12 district leaders, school officials, and PTAs, securing multi-school contracts and high-value partnerships."
Treering Yearbooks,[generalist],"- Led outreach programs targeting district councils and education groups, including facilitating a promotion with the Georgia PTA which oversees 1,279 school PTA units statewide."
Treering Yearbooks,[enablement],"- Built sales enablement library aligned to lifecycle stages, including battlecards, objection handling docs, and internal FAQs."
Treering Yearbooks,[generalist],"- Built strong relationships with K-12 decision-makers through district-level outreach, research, and tailored campaign messaging."
Treering Yearbooks,[generalist],"- Selected to lead the wrap-up of Treering’s client project, then directly recruited by Treering’s Head of Sales to join them in-house."
Treering Yearbooks,[generalist],"- Built strong relationships with K-12 district leaders, school officials, and PTAs to secure multi-school contracts and partnerships."
Treering Yearbooks,[generalist],"- Led targeted outreach for school districts and PTA councils, including a statewide promotion with the Georgia PTA (1,279 units)."
Treering Yearbooks,[content] [enablement],- Founded a company-wide Content Committee to unify messaging across Sales and Marketing and boost partner engagement.
Treering Yearbooks,[generalist],"- Navigated multi-stakeholder sales cycles spanning 9+ months, managing objections, timelines, and decision-making complexity."
Treering Yearbooks,[enablement],"- Built training materials and process documentation that simplified complex concepts—the same clear, patient communication approach brought to dog training."
Treering Yearbooks,[generalist],- Campaign Management
Treering Yearbooks,[email] [ops],"- Championed Outreach adoption and led Salesforce integration; served as Outreach.io Admin and technical lead for configuration, workflow automation, and variable logic across 20+ users"
Treering Yearbooks,[email],"- Championed Outreach.io adoption; trained 20+ team members on variable logic, sequence management, and syncing issues."
Treering Yearbooks,[email] [ops],"- Championed adoption of Outreach.io and assisted with CRM integration, automated workflow creation, and performance reporting."
Treering Yearbooks,[generalist],"- Established testing roadmaps, regularly sharing results and actionable insights with stakeholders to drive continuous optimization."
Treering Yearbooks,[ops],"- First outbound hire to surpass $1M in sourced revenue, exceeding first-year targets by 17% through strategic lifecycle engagement."
Treering Yearbooks,[ops],"- Created comprehensive Salesforce reporting dashboards to track customer journey progression, campaign performance, and incremental LTV growth opportunities."
Treering Yearbooks,[generalist],"- Championed outreach to school districts and PTA Councils, facilitating a statewide promotion with the Georgia PTA."
Treering Yearbooks,[generalist],"- Championed targeted outreach to school districts and PTA Councils; developed processes, led best-practice trainings, secured a high-impact presentation with a major Georgia PTA Council, and facilitated statewide promotions."
Treering Yearbooks,[ops],- Cleaned CRM fields and created dashboards that helped uncover $3M+ in hidden pipelines.
Treering Yearbooks,[content] [enablement],"- Co-founded a content committee to unify messaging across teams, improving clarity across all communication touchpoints."
Treering Yearbooks,[content] [mgmt],"- Coached a high-performing remote team of 4-6 SDRs while maintaining a personal portfolio of 2,000+ sales accounts."
Treering Yearbooks,[email] [ops],"- Partnered with Marketing and Operations to streamline the Outreach.io and Salesforce workflow, cutting manual list pulls by 40% and enforcing brand-management consistency across email assets."
Treering Yearbooks,[content] [mgmt],"- Coached a high-performing remote team of 4–6 SDRs while managing a personal portfolio of 2,000+ sales accounts."
Treering Yearbooks,[content] [mgmt],"- Coached and scaled a high-performing remote team of 4–6 SDRs while managing a personal portfolio of 2,000+ accounts."
Treering Yearbooks,[email] [ops],"- Spearheaded Outreach.io adoption, owning training and acting as a key player in CRM integration that improved team efficiency."
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered $3M+ in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth."
Treering Yearbooks,[content] [mgmt],"- Coached remote team of 4–6 while managing personal portfolio, fostering collaborative environment focused on customer success."
Treering Yearbooks,[content] [enablement],- Founded Content Committee to align Sales and Marketing around unified customer messaging and retention strategy.
Treering Yearbooks,[generalist],"- Collaborated with Sales, Marketing, and Product teams to align lifecycle communications with broader business objectives."
Treering Yearbooks,[email],"- Collaborated across Product, Engineering, and Support to align messaging, share insights, and improve lifecycle touchpoints."
Treering Yearbooks,[generalist],"- Collaborated cross-functionally to align tone, visuals, and content formats to lifecycle stage and audience behavior."
Treering Yearbooks,[email],- Collaborated cross-functionally to launch email and SMS nurture campaigns on schedule and in line with business goals.
Treering Yearbooks,[content],"- Collaborated cross-functionally to train Marketing on successful conditional-logic modules, unlocking personalization at scale."
Treering Yearbooks,[mgmt],"- Collaborated cross-functionally with Marketing Operations, Creative Teams, and Support to collect information and assets, overseeing projects to ensure on-time delivery and high-quality standards"
Treering Yearbooks,[generalist],"- Collaborated cross-functionally with Marketing, Sales Operations, Creative, Product, Engineering, and Support to gather information, provide insight, and ensure alignment with company objectives."
Treering Yearbooks,[generalist],"- Collaborated on pilot messaging strategy for Adobe eSign ABM outreach, leading to nomination for two senior roles."
Treering Yearbooks,[email],"- Collaborated on product positioning and voice refresh for all messaging, improving clarity and cohesion across touchpoints."
Treering Yearbooks,[email] [ops],"- Collaborated on the company-wide migration from PersistIQ to Outreach.io, streamlining Salesforce integration and platform reporting"
Treering Yearbooks,[generalist],"- Collaborated with Marketing and Support to translate technical features into educator-focused value propositions, enhancing product understanding and adoption."
Treering Yearbooks,[ops],"- Collaborated with engineers to integrate automation workflows and synchronize campaign data with backend systems, building transferable expertise for modern platforms like Braze"
Treering Yearbooks,[ops],- Collaborated with marketing and sales leadership to align campaign messaging with company goals and product milestones.
Treering Yearbooks,[ops],"- Collaborated with product, operations, and marketing teams to align messaging with campaign KPIs and business objectives."
Treering Yearbooks,[content],- Collaborated with stakeholders to refine persona engagement tactics and improve lead quality across national outreach.
Treering Yearbooks,[content] [enablement],"- Composed messaging frameworks, training materials, marketing calendars, and QA processes supporting scalable campaigns."
Treering Yearbooks,[email],"- Conducted A/B testing on messaging, timing, and outreach strategies to continuously improve campaign performance."
Treering Yearbooks,[generalist],"- Presented campaign insights and performance data to senior leadership, influencing team strategy and process improvements."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on strategic PTA council campaigns.
Treering Yearbooks,[email],- Conducted A/B testing on subject lines and CTAs to boost open and click-through rates while maintaining accuracy and tone.
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline by resolving miscategorized records, refining filters, creating complex reports, and building dashboard-ready insights supporting QA and compliance."
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline by resolving miscategorized records, refining filters, creating complex reports, and building performance dashboards."
Treering Yearbooks,[ops],"- Conducted CRM audit that surfaced $3M+ in untapped pipeline, refining filters, cleaning records, and delivering dashboard-ready insights to support QA and compliance."
Treering Yearbooks,[ops],"- Conducted CRM audits achieving 99%+ data accuracy, saving leadership 50% of time in reporting and forecasting."
Treering Yearbooks,[ops],"- Conducted a CRM audit that surfaced $3M+ in pipeline by rescuing stalled deals, fixing process gaps, and tightening data hygiene"
Treering Yearbooks,[ops],"- Conducted a systematic CRM audit that uncovered $3M+ in dormant pipeline, creating targeted reactivation campaigns that revitalized sales opportunities."
Treering Yearbooks,[ops],"- Conducted campaign data analysis, producing performance reports with actionable insights that improved engagement rates."
Treering Yearbooks,[content] [ops],"- Performed audience segmentation analysis using CRM data, noting behavioral insights that informed personalization strategies."
Treering Yearbooks,[ops],- Built performance dashboards translating complex data into clear recommendations for Sales and Marketing
Treering Yearbooks,[ops],"- Conducted comprehensive CRM audit that identified and unlocked $3M+ in dormant pipeline, creating targeted re-engagement campaigns for the entire sales organization."
Treering Yearbooks,[content],"- Conducted detailed prospect research and personalized outreach, significantly boosting engagement and lead qualification."
Treering Yearbooks,[content],"- Conducted in-depth prospect research and email personalization, driving authentic engagement and stronger lead qualification."
Treering Yearbooks,[content],- Conducted innovative prospect research to uncover personal details that boosted outreach authenticity and conversion.
Treering Yearbooks,[content],"- Conducted innovative prospect research, leveraging personal details to build authentic connections and boost effectiveness."
Treering Yearbooks,[generalist],"- Conducted ongoing qualitative user research across a 2,932-account user base to maintain a deep, firsthand understanding of educator pain points and inform product messaging."
Treering Yearbooks,[ops],"- Conducted strategic CRM analysis, revealing $3M+ in hidden pipeline opportunities."
Treering Yearbooks,[ops],"- Conducted systematic CRM analysis that uncovered $3M+ in dormant pipeline opportunities, creating targeted re-engagement campaigns and territory redistribution strategies."
Treering Yearbooks,[generalist],"- Conducted systematic review and optimization of campaign content, ensuring consistency and effectiveness across all client communications."
Treering Yearbooks,[ops],"- Consistently exceeded annual revenue goals, becoming the first SDR in company history to source over $1M in new revenue."
Treering Yearbooks,[ops],"- Uncovered $3M+ in additional pipeline through advanced CRM segmentation, lead scoring, and data-driven reporting."
Treering Yearbooks,[generalist],"- Led go-to-market campaigns and cross-sell initiatives, resulting in increased adoption of new features and expanded engagement."
Treering Yearbooks,[generalist],"- Developed long-term sales strategies for annual and multi-year campaigns, driving growth through recurring partnerships."
Treering Yearbooks,[ops],"- Consistently exceeded revenue goals, becoming the first SDR in company history to source $1M+ in new revenue."
Treering Yearbooks,[ops],"- Uncovered $3M+ in additional pipeline through advanced CRM segmentation, lead scoring, and data analysis."
Treering Yearbooks,[generalist],"- Led go-to-market campaigns and cross-sell initiatives, driving strong adoption of new features and partner programs."
Treering Yearbooks,[generalist],- Developed multi-year sales strategies to expand partnerships and secure recurring deals.
Treering Yearbooks,[enablement],"- Consolidated customer-voice artifacts into a co-created, searchable enablement library and reference routing process, reducing time to assemble proof for deals and keeping narratives consistent across the team"
Treering Yearbooks,[generalist],"- Contributed ideas and feedback in creative planning sessions that led to more engaging, accessible materials for the team."
Treering Yearbooks,[ops] [writing],"- Contributed to Adobe Sign ABM pilot campaign, earning recognition for strategic copywriting and campaign development."
Treering Yearbooks,[generalist],- Recruited directly by Treering Yearbooks based on systematic approach to campaign optimization and performance results.
Treering Yearbooks,[ops],- Coordinated 4–6 stakeholder threads to align success metrics and unblock buying committees for pilot approvals and rollout
Treering Yearbooks,[generalist],"- Coordinated outreach messaging with marketing, sales, and support teams to unify tone, timing, and narrative."
Treering Yearbooks,[writing],- Copywriting
Treering Yearbooks,[ops],"- Crafted a new, data-focused role on the team, defining the responsibilities and building the reporting infrastructure to support strategic account research and segmentation."
Treering Yearbooks,[ops],"- Crafted account-based marketing campaigns for Adobe Sign, resulting in two senior-level nominations."
Treering Yearbooks,[generalist],- Crafted persuasive PTA presentation copy that led to partnerships with 400+ schools and long-term customer relationships.
Treering Yearbooks,[generalist],"- Created QA systems that standardized voice, improved delivery accuracy, and execution across a 20+ member distributed team."
Treering Yearbooks,[content],"- Created Treering’s COVID-19 Response Flyer, featured on the company homepage and Support Center “above the fold” for over a year; updated design remained live into the following school year."
Treering Yearbooks,[enablement] [ops],"- Created a comprehensive sales enablement ecosystem, including tagged content libraries, objection-handling guides, and integration optimization that equipped cross-functional teams with brand-aligned content."
Treering Yearbooks,[content],- Created a direct-report research role to accelerate personalization and segment testing across campaigns.
Treering Yearbooks,[ops],- Created a new data-focused role to surface $3M+ in untapped potential revenue via custom dashboards and CRM cleanup projects
Treering Yearbooks,[mgmt] [ops],"- Created a new research role from scratch for a direct report, developing all reporting, dashboards, and metrics for their success."
Treering Yearbooks,[generalist],"- Created a supportive environment where people felt confident to ask questions and grow, using positive reinforcement and empathy to drive performance."
Treering Yearbooks,[ops],"- Created and implemented a data-focused role to surface $3M+ in untapped pipeline via dashboards, CRM cleanup, and strategic outreach workflows"
Treering Yearbooks,[ops],"- Created and operationalized a data-focused role to surface $3M+ in untapped pipeline potential via dashboard building, CRM cleanup, and campaign performance insights"
Treering Yearbooks,[email] [ops],"- Created and optimized A/B test sequences for subject lines, send timing, and content blocks, consistently driving increases in engagement rates and successful reactivation of churned accounts."
Treering Yearbooks,[email],"- Created branded decks, email templates, and case study-style collateral tailored to stakeholder pitches."
Treering Yearbooks,[email],"- Created branded decks, email templates, and collateral for pitches, including a Georgia PTA council serving hundreds of schools."
Treering Yearbooks,[email] [writing],"- Created branded decks, email templates, and editorial collateral, maintaining tone and clarity across multi-format content."
Treering Yearbooks,[email],"- Created branded decks, email templates, and pitch collateral tailored to audience journey stage and compliance requirements."
Treering Yearbooks,[enablement],"- Created branded enablement assets and presentation decks for webinars, virtual events, and partner outreach, reinforcing message clarity, visual consistency, and campaign cohesion across touchpoints."
Treering Yearbooks,[enablement],"- Created branded enablement assets and presentation decks for webinars, virtual events, and prospect outreach, reinforcing message clarity, visual consistency, and campaign cohesion across touchpoints."
Treering Yearbooks,[content],"- Created branded presentation decks and pitch materials for high-impact initiatives, including a successful Georgia PTA presentation reaching hundreds of PTA presidents."
Treering Yearbooks,[content],"- Created branded sales and marketing collateral, including web graphics, flyers, slide decks, and outreach templates, to support campaigns, outreach efforts, and events."
Treering Yearbooks,[generalist],"- Created campaign calendars, email QA systems, and message templates that unified brand tone and improved outreach clarity."
Treering Yearbooks,[writing],"- Created communication templates, editorial calendars, and QA systems to unify tone and structure across content touchpoints."
Treering Yearbooks,[ops],"- Created content maps, marketing calendars, and automation models that improved campaign efficiency and asset alignment."
Treering Yearbooks,[content] [enablement] [ops],"- Created content strategy documentation for Adobe eSign ABM campaigns, combining CRM insights with tailored messaging that addressed specific user experience needs."
Treering Yearbooks,[generalist],"- Created conversion-focused content across email, landing pages, and eperformance channels."
Treering Yearbooks,[ops],"- Created custom dashboards, cleaned CRM fields, and helped uncover $3M+ in pipeline via better data visibility."
Treering Yearbooks,[content] [email],"- Created high-performing nurture and persona-based cadences, blending storytelling with customization to drive engagement."
Treering Yearbooks,[enablement],"- Created internal SOPs, onboarding guides, and QA templates that reduced confusion and helped new team members ramp up."
Treering Yearbooks,[ops],"- Created journey maps, marketing calendars, and automation logic models that improved campaign efficiency."
Treering Yearbooks,[ops] [writing],"- Created journey maps, marketing calendars, and automation logic models that improved efficiency and editorial consistency."
Treering Yearbooks,[ops] [writing],"- Created journey maps, marketing calendars, and automation logic that improved workflow efficiency and editorial consistency."
Treering Yearbooks,[email],"- Created message templates, campaign calendars, and QA systems to unify tone and structure across content touchpoints."
Treering Yearbooks,[content] [ops],"- Created messaging frameworks for K–12 decision-makers, generating $1M+ in sourced revenue through clear, conversion-driven copy."
Treering Yearbooks,[content] [enablement],"- Created messaging frameworks, QA processes, and documentation that supported Marketing, Sales Ops, and Support"
Treering Yearbooks,[generalist],"- Regularly collaborated with Creative, Product, Engineering, and Marketing to improve campaign execution, internal collaboration, and customer experience"
