cluster_id,cluster_size,next_action,Bullet Point,Role / Company,Tags,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses,source,rewrite_attempts,rewrite_reasoning,context_gaps,rewrite_date
10,1,KEEP,"- Led CRM audit that uncovered $3M+ in pipeline; cleaned records, refined filters, and built dashboards to drive insights.",Treering Yearbooks,[ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
11,1,KEEP,"- Led CRM audit uncovering $3M+ in pipeline opportunity; restructured filters, dashboards, and reporting flows.",Treering Yearbooks,[ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
12,1,KEEP,- Led CRM audit using advanced Salesforce queries and validation filters; uncovered $3M+ in dormant pipeline by identifying miscategorized records and orphaned opportunities,Treering Yearbooks,[ops],95.0,90.0,95.0,90.0,PASS,,original,0,,,
13,1,KEEP,"- Led GTM content strategy for a district-level outreach program that opened partnership opportunities with councils overseeing 1,200+ schools, providing the sales team access to a new high-value market segment.",Treering Yearbooks,[content] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
14,1,KEEP,"- Led Go-to-Market content strategy for district-level outreach program that opened partnership opportunities with councils overseeing 1,200+ schools, providing sales team access to high-value market segments.",Treering Yearbooks,[content] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
15,1,KEEP,"- Led Go-to-Market content strategy opening partnership opportunities with councils overseeing 1,200+ schools, providing access to high-value market segments.",Treering Yearbooks,[content] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
16,1,KEEP,"- Led a CRM-focused audit that surfaced $3M+ in untapped pipeline, revealing miscategorized records and outdated outreach assets while building clearer reporting dashboards.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
17,1,KEEP,"- Led a comprehensive Salesforce audit and data integrity project, cleansing and restructuring the database of 2,000+ accounts to uncover and reactivate $3M+ in dormant pipeline opportunities.",Treering Yearbooks,[ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
18,1,KEEP,"- Led a targeted campaign that resulted in a statewide promotion with the Georgia PTA, expanding reach to 1,279 school PTA units.",Treering Yearbooks,[generalist],90.0,95.0,95.0,85.0,PASS,,original,0,,,
19,1,KEEP,"- Led company-wide adoption of Outreach.io, owning CRM integration, reporting dashboards, and team training.",Treering Yearbooks,[email] [enablement] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
20,1,KEEP,- Led comprehensive CRM audit that surfaced $3M+ in untapped pipeline by identifying miscategorized records.,Treering Yearbooks,[ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
21,1,KEEP,"- Led rollout and adoption of Outreach.io, integrating it with Salesforce to streamline outbound operations.",Treering Yearbooks,[email] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
22,1,KEEP,"- Led selection and implementation of Outreach.io, managing CRM integration and team-wide adoption.",Treering Yearbooks,[email] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
23,1,KEEP,"- Led tone and content strategy overhaul for sales enablement library, aligning assets to teacher-facing funnels and lifecycle stage.",Treering Yearbooks,[content] [enablement],85.0,90.0,95.0,80.0,PASS,,original,0,,,
24,1,KEEP,- Maintained 98% deliverability rate by enforcing rigorous QA processes while ensuring compliance with spam regulations.,Treering Yearbooks,[email],85.0,90.0,95.0,80.0,PASS,,original,0,,,
25,2,KEEP,"- Implemented A/B tests on subject lines, send times, and content, with top-performing campaigns reaching 34% reply rates.",Treering Yearbooks,[email],90.0,85.0,95.0,80.0,PASS,,original,0,,,
26,1,KEEP,"- Maintained 98% deliverability rate through comprehensive QA processes, testing, and strict adherence to spam compliance standards.",Treering Yearbooks,[email],85.0,90.0,95.0,80.0,PASS,,original,0,,,
27,1,KEEP,"- Maintained 98% deliverability rate through rigorous QA processes, device testing, and spam compliance.",Treering Yearbooks,[email],85.0,90.0,95.0,80.0,PASS,,original,0,,,
28,1,KEEP,"- Maintained Salesforce pipeline for $20M portfolio, ensuring accurate forecasting, opportunity tracking, and pipeline health reviews.",Treering Yearbooks,[ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
29,1,KEEP,"- Built a custom prospecting database to manage nearly 3000 accounts, tracking 15 distinct data points per account to improve workflow and strategic prioritization.",Treering Yearbooks,[ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
30,1,KEEP,"- Managed a remote team of 4–6 while overseeing a portfolio of 2,000+ accounts, leading 1:1s, performance reviews, and skills training.",Treering Yearbooks,[mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
31,1,KEEP,"- Maintained direct ownership of a $20M, 2,932-account portfolio to stay grounded in front-line rep challenges and inform enablement strategy with real-world customer insights.",Treering Yearbooks,[enablement] [ops],90.0,85.0,95.0,80.0,PASS,,original,0,,,
32,1,KEEP,"- Maintained hygiene dashboards (no-next-step, stale opps, disqualify reasons) to protect meeting quality and momentum",Treering Yearbooks,[ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
33,1,KEEP,- Managed $20M portfolio achieving 2.98% engagement rate (3x industry standard) and 65%+ closing rate through systematic prospect evaluation.,Treering Yearbooks,[mgmt] [ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
34,1,KEEP,"- Managed $20M portfolio of 2,900+ accounts, achieving 2.98% positive engagement rate (3x industry standard) through advanced audience segmentation and personalized frameworks",Treering Yearbooks,[content] [mgmt] [ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
35,1,KEEP,"- Managed $20M portfolio spanning 2,932 accounts and improved engagement rates to 2.98%, almost triple the industry standard.",Treering Yearbooks,[mgmt] [ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
36,1,KEEP,- Developed scalable email sequences later adopted as foundational templates across a 20+ person team.,Treering Yearbooks,[email] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
37,1,KEEP,"- Analyzed CRM data to uncover $3M+ in dormant pipeline, reactivating target segments through strategic, market-driven campaigns",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
38,1,KEEP,- Captured over $1M in revenue by developing email sequences that became foundational templates for a 20+ member team.,Treering Yearbooks,[email],85.0,80.0,95.0,85.0,PASS,,original,0,,,
39,1,KEEP,- Identified and reactivated a dormant $3M+ pipeline through data analysis and targeted email marketing campaigns,Treering Yearbooks,[ops],85.0,80.0,95.0,85.0,PASS,,original,0,,,
40,1,KEEP,"- Managed a $20M sales territory of 2,932 accounts, achieving a 2.98% engagement rate — nearly triple the industry standard of 1%.",Treering Yearbooks,[mgmt] [ops],95.0,90.0,95.0,85.0,PASS,,original,0,,,
41,1,KEEP,"- Sourced over $1M in revenue, with email sequences later adopted as foundational templates for the entire 20+ person team.",Treering Yearbooks,[email] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
42,1,KEEP,- Uncovered $3M+ in dormant pipeline through systematic CRM analysis and targeted reactivation campaigns,Treering Yearbooks,[ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
43,1,KEEP,"- Managed a $20M sales territory of 2,932 accounts, exceeding first-year quota by 17% and becoming the first SDR in company history to surpass the $1M sourced revenue milestone.",Treering Yearbooks,[mgmt] [ops],95.0,90.0,95.0,85.0,PASS,,original,0,,,
44,1,KEEP,"- Managed a 2,000+ account portfolio through segmented nurture tracks, reactivation flows, and automated campaigns.",Treering Yearbooks,[email] [mgmt] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
45,1,KEEP,"- Managed a portfolio of 2,000+ accounts using segmentation, behavioral targeting, and customized variable logic to improve lead quality and conversion.",Treering Yearbooks,[mgmt] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
46,1,KEEP,"- Managed comprehensive lifecycle marketing for 2,000+ K-12 accounts across 500+ districts, creating data-driven nurture sequences that mapped educator decision-making journeys and adoption patterns.",Treering Yearbooks,[email] [mgmt] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
47,1,KEEP,"- Drove lead generation, becoming the first outbound employee in company to convert prospects into $1.5M+ in closed revenue.",Treering Yearbooks,[generalist],85.0,80.0,90.0,85.0,PASS,,original,0,,,
48,1,KEEP,"- Mapped buyer-committee profiles (stakeholders, systems, intent signals) to tailor programs and lift conversion.",Treering Yearbooks,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
49,1,KEEP,"- Mentored 4–6 direct reports and led weekly 1:1s and monthly workshops on messaging, systems, and strategy.",Treering Yearbooks,[enablement] [mgmt],85.0,90.0,95.0,70.0,PASS,,original,0,,,
50,1,KEEP,"- Mentored a team of 4–6 remote SDRs; built training (workflow, objection handling, best practices) adopted by 20+ employees",Treering Yearbooks,[mgmt] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
51,1,KEEP,"- Mentored and trained 4–6 remote team members on complex systems and best practices through weekly 1:1s, monthly workshops, and hands-on coaching.",Treering Yearbooks,[enablement] [mgmt],85.0,90.0,95.0,70.0,PASS,,original,0,,,
52,1,KEEP,"- Operationalized the lead management process by building the lead routing rules and lifecycle stage definitions in Salesforce, resulting in a 95% forecast accuracy and a 15% improvement in MQL-to-SQL conversion.",Treering Yearbooks,[ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
53,1,KEEP,- Established systematic account management processes tracking 15 data points across 200+ tasks to support informed follow-up.,Treering Yearbooks,[ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
54,1,KEEP,- Founded cross-department Content Committee to reduce content review cycles and unify messaging across 100+ templates/assets.,Treering Yearbooks,[content] [enablement],90.0,95.0,95.0,85.0,PASS,,original,0,,,
55,1,KEEP,- Achieved 74% open rates and 22% reply rates on targeted PTA council campaigns by refining personalization tactics.,Treering Yearbooks,[content] [email],85.0,80.0,95.0,80.0,PASS,,original,0,,,
56,1,KEEP,- Established a cross-department Content Committee to streamline review cycles by 20% and standardize messaging across 100+ email templates and sales assets.,Treering Yearbooks,[content] [email] [enablement],90.0,95.0,95.0,85.0,PASS,,original,0,,,
57,1,KEEP,"- Orchestrated full platform migration (PersistIQ → Outreach.io), configuring integrations, workflows, and training 20+ users on automation",Treering Yearbooks,[email] [ops],90.0,95.0,95.0,90.0,PASS,,original,0,,,
58,1,KEEP,"- Overhauled CRM, surfacing $3M+ in pipeline value; designed reports, dashboards, and workflows to improve decision-making.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
59,1,KEEP,"- Oversaw a $20M portfolio of 2,900+ client accounts, surpassing first-year quota by 17% and sourcing $1M+ in new revenue.",Treering Yearbooks,[ops],90.0,85.0,95.0,80.0,PASS,,original,0,,,
60,1,KEEP,"- Oversaw a $20M sales territory of 2,932 accounts and achieved a 2.98% engagement rate, nearly tripling the industry standard.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
61,1,KEEP,- Captured over $1M in revenue by refining email sequences that later served as foundational templates for a 20+ person team.,Treering Yearbooks,[email] [mgmt],90.0,85.0,95.0,80.0,PASS,,original,0,,,
62,1,KEEP,"- Partnered with sales and marketing to standardize 100+ email templates and sales assets, leading a cross-functional Content Committee that reduced review cycles by 20%.",Treering Yearbooks,[content] [email] [enablement],85.0,90.0,95.0,80.0,PASS,,original,0,,,
63,1,KEEP,"- Piloted A/B-tested sequences across unique segments, doubling lead-to-meeting conversion in under 60 days.",Treering Yearbooks,[email],85.0,80.0,90.0,85.0,PASS,,original,0,,,
64,1,KEEP,"- Piloted a district-level go-to-market motion targeting centralized procurement, defining buyer personas and segmentation strategy for demand generation campaigns",Treering Yearbooks,[content] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
65,1,KEEP,"- Pioneered a district-level outreach strategy, building relationships with K-12 district leaders and PTA councils to secure multi-school contracts and high-value partnerships.",Treering Yearbooks,[generalist],75.0,80.0,90.0,85.0,PASS,,original,0,,,
66,1,KEEP,"- Achieved 62% reply rates on demo request campaigns by employing targeted messaging and strategic drip campaign methodologies, contributing over $1.5M in closed revenue.",Treering Yearbooks,[email],85.0,80.0,90.0,85.0,PASS,,original,0,,,
67,1,KEEP,"- Promoted to team lead managing 12 SDRs within six months; implemented Salesforce workflows and Outreach cadences, improving qualified lead conversion by 35%",Treering Yearbooks,[email] [mgmt] [ops],90.0,85.0,95.0,90.0,PASS,,original,0,,,
68,2,KEEP,"- Promoted to team lead within 6 months, creating training materials and coaching protocols for 12-person SDR organization.",Inside Sales Team,[enablement] [mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
69,1,KEEP,- Promoted to team lead within six months; trained and coached a 12-person team on sales strategy and customer engagement.,Treering Yearbooks,[mgmt],85.0,90.0,95.0,70.0,PASS,,original,0,,,
70,3,KEEP,- Ranked in the company's Top 10 sellers for the first two months and promoted in six months to co-lead a 12-person team.,Inside Sales Team,[mgmt] [ops],85.0,80.0,90.0,70.0,PASS,,original,0,,,
71,1,KEEP,"- Developed and optimized content-driven outbound campaigns using Salesforce and Outreach.io, applying editorial judgment to ensure messaging accuracy and compliance across diverse educational audiences.",Treering Yearbooks,[email] [ops] [writing],85.0,90.0,95.0,90.0,PASS,,original,0,,,
72,1,KEEP,- Reactivated high-fit accounts using pattern-interrupt subjects and micro-proof PS lines to overcome message fatigue,Treering Yearbooks,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
73,1,KEEP,"- Recognized as the first outbound employee to surpass $1M in sourced revenue, exceeding first-year target by 17%.",Treering Yearbooks,[ops],90.0,85.0,95.0,80.0,PASS,,original,0,,,
74,1,KEEP,"- Uncovered $3M+ in out-of-date accounts in Salesforce, directly expanding the pipeline and revitalizing major sales opportunities.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
75,1,KEEP,- Recognized as the first outbound hire to surpass $1M in sourced revenue; exceeded first-year target by 17%.,Treering Yearbooks,[ops],90.0,85.0,95.0,80.0,PASS,,original,0,,,
76,1,KEEP,- Salesforce + Outreach.io Integration: Developed custom Salesforce field mapping for Outreach.io to automate personalized messaging with advanced if/then logic,Treering Yearbooks,[content] [email] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
77,1,KEEP,"- Secured a statewide promotion opportunity through the Georgia PTA, expanding reach across 2,200+ public schools.",Treering Yearbooks,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
78,1,KEEP,- Shipped persona-split cadences with variable statements that drove 20–30%+ replies on top segments and 12–15 meetings in the first 30 days,Treering Yearbooks,[content] [email],85.0,80.0,90.0,85.0,PASS,,original,0,,,
79,1,KEEP,- Sourced $1M+ in revenue (first SDR in company history) through strategic content development and performance calibration enabling 17% quota overachievement.,Treering Yearbooks,[ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
80,1,KEEP,"- Sourced over $1M in new revenue (the first SDR in company history to do so), by drafting strategic messaging, content, and outreach cadences that made it possible to exceed first-year quota by 17%.",Treering Yearbooks,[email] [ops] [writing],85.0,80.0,90.0,85.0,PASS,,original,0,,,
81,1,KEEP,"- Streamlined 2,000+ account portfolio with behavioral segmentation and predictive triggers, ensuring 98%+ data accuracy",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
82,1,KEEP,- Trained 20+ SDRs on Salesforce and Outreach.io using structured playbooks and development sessions.,Treering Yearbooks,[email] [enablement] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
83,1,KEEP,- Trained 20+ team members on Outreach.io automation best practices and syncing logic for improved adoption.,Treering Yearbooks,[email] [ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
84,1,KEEP,"- Translated user feedback into strategic content shifts, including a 92% team preference for shorter emails, directly influencing product messaging strategy for subsequent campaigns.",Treering Yearbooks,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
85,1,KEEP,"- Uncovered $3M+ in dormant Salesforce pipeline, revitalizing outreach strategy and targeting efforts.",Treering Yearbooks,[ops],85.0,80.0,95.0,90.0,PASS,,original,0,,,
86,1,KEEP,"- Uncovered $3M+ in hidden pipeline through CRM cleanup, field mapping, and report/dashboard development and analysis.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
87,1,KEEP,"- Uncovered $3M+ in outdated CRM records during a data audit, expanding the sales pipeline and reviving key opportunities.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
88,1,KEEP,- Unearthed $3M+ in pipeline via CRM cleanup and field mapping; rebuilt reports/dashboards to sharpen ICP focus and Sales handoffs and improve funnel velocity.,Treering Yearbooks,[ops],85.0,80.0,90.0,95.0,PASS,,original,0,,,
89,1,KEEP,"- Upheld 98% deliverability rate through rigorous QA processes, testing, and adherence to spam compliance standards.",Treering Yearbooks,[email],85.0,90.0,95.0,80.0,PASS,,original,0,,,
90,1,KEEP,"- Executed systematic A/B testing on subject lines, send times, and content, with top-performing campaigns achieving 34% reply rates.",Treering Yearbooks,[email],85.0,80.0,95.0,90.0,PASS,,original,0,,,
91,1,KEEP,- Awarded Top Seller in hiring class and promoted within six months to manage a 12-person team,Inside Sales Team,[mgmt] [ops],85.0,90.0,95.0,70.0,PASS,,original,0,,,
92,2,KEEP,- Awarded Top Seller in hiring class; ranked in the company's Top 10 for the first two months,Inside Sales Team,[mgmt] [ops],85.0,90.0,95.0,70.0,PASS,,original,0,,,
93,1,KEEP,"- Built account-based campaigns for Adobe Sign and Treering; engagement up ~35%, qualified meetings up ~25%",Inside Sales Team,[ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
94,1,KEEP,"- Segmented leads using behavioral triggers, optimizing customer journey progression and sales handoff quality.",Inside Sales Team,[email] [ops],75.0,80.0,85.0,80.0,PASS,,original,0,,,
95,1,KEEP,"- Advanced to team lead within 6 months, creating workflow documentation and training materials for 12-person engagement team.",Inside Sales Team,[enablement] [mgmt] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
96,1,KEEP,- Developed CRM cadences and email sequences that improved lead response rates by 35% within the first quarter.,Inside Sales Team,[email] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
97,1,KEEP,"- Qualified leads using persona traits, engagement behavior, and account scoring logic to improve lead quality for AEs.",Inside Sales Team,[content],85.0,90.0,95.0,80.0,PASS,,original,0,,,
98,1,KEEP,- Ranked among the top 10 reps within two months; promoted to co-lead a 12-person team in six months.,Inside Sales Team,[mgmt] [ops],85.0,90.0,95.0,70.0,PASS,,original,0,,,
99,1,KEEP,- Drove 8–10 first meetings/week at peak by combining persona-tiered outreach with structured call blocks,Inside Sales Team,[content],90.0,95.0,95.0,85.0,PASS,,original,0,,,
100,1,KEEP,"- Executed ≈200 lifecycle-aware emails per day via Outreach.io, continually A/B-tuning cadence and timing.",Inside Sales Team,[email],85.0,90.0,95.0,90.0,PASS,,original,0,,,
101,1,KEEP,- Improved AE satisfaction by setting next steps on 90%+ of meetings and delivering context for smooth handoffs,Inside Sales Team,[generalist],85.0,90.0,95.0,70.0,PASS,,original,0,,,
102,1,KEEP,- Increased qualified lead conversion rates by 35% through ABM campaigns and optimized outreach cadences.,Inside Sales Team,[email] [ops],85.0,80.0,95.0,90.0,PASS,,original,0,,,
103,1,KEEP,- Mapped 3–5 roles per logo to multi-thread discovery and qualify higher-value opportunities,Inside Sales Team,[content],85.0,90.0,80.0,75.0,PASS,,original,0,,,
104,1,KEEP,"- Promoted to lead a 12-person team, training reps on prospecting, messaging, and Salesforce workflows.",Inside Sales Team,[mgmt] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
105,1,KEEP,"- Proposed ABM-informed content strategy for Adobe eSign, leveraging CRM insights to deliver targeted, compliant messaging.",Inside Sales Team,[content] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
106,1,KEEP,- Raised replies 20%+ on fatigued lists with concise value-first openers and timing tests,Inside Sales Team,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
107,1,KEEP,"- Ranked Top 10 for outbound performance among 100+ reps and earned promotion to lead a 12-person team; coached messaging, objection handling, and proof-first outreach",Inside Sales Team,[mgmt] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
108,1,KEEP,- Ranked Top 10 of 100+ SDRs; promoted to lead a 12-person team within six months,Inside Sales Team,[mgmt] [ops],90.0,85.0,95.0,80.0,PASS,,original,0,,,
109,1,KEEP,- Ranked among the Top 10 company-wide within two months and promoted to lead a 12-person SDR team within six months.,Inside Sales Team,[mgmt] [ops],85.0,80.0,95.0,70.0,PASS,,original,0,,,
110,1,KEEP,- Ranked in Top 10 sellers companywide within first two months; earned 2× Top Seller recognition.,Inside Sales Team,[ops],85.0,80.0,95.0,70.0,PASS,,original,0,,,
111,1,KEEP,- Ranked in the company's Top 10 reps within two months and promoted within six months to lead a 12-person outreach team.,Inside Sales Team,[ops],85.0,80.0,95.0,70.0,PASS,,original,0,,,
112,1,KEEP,- Recruited by Treering’s Head of Sales to build the in-house outbound engine as the first outbound hire,Inside Sales Team,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
113,1,KEEP,- Assembled and mailed 500+ client tax organizer packets with 100% delivery accuracy.,USitek,[generalist],85.0,90.0,95.0,70.0,PASS,,original,0,,,
114,1,KEEP,"- Streamlined daily shipping and online fulfillment for 200+ SKUs, achieving 100% on-time delivery in coordination with FedEx/UPS.",USitek,[generalist],85.0,80.0,95.0,85.0,PASS,,original,0,,,
115,1,KEEP,"- Updated and reconciled over a year of bookkeeping records in QuickBooks, creating audit-ready files.",USitek,[ops],90.0,95.0,95.0,85.0,PASS,,original,0,,,
116,1,KEEP,"- Built and launched integrated social campaigns using SEO insights and Google Analytics to raise engagement and guide creative strategy across Facebook, YouTube, and Twitter.",Element 8 / Strategy LLC,[content] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
117,1,KEEP,"- Developed integrated brand campaigns across apparel, print, web, and social channels, applying Google Analytics and SEO insights to guide content and creative direction.",Element 8 / Strategy LLC,[content] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
118,1,KEEP,"- Developed premium apparel and print designs with Adobe Creative Suite, collaborating with vendors and overseeing advanced print processes such as spot gloss and UV coatings.",Element 8 / Strategy LLC,[mgmt],85.0,90.0,95.0,80.0,PASS,,original,0,,,
119,2,KEEP,"- Developed premium apparel and print materials using Adobe InDesign, Photoshop, and Illustrator, often applying advanced techniques like spot gloss and UV coating for high-impact, vendor-ready assets.",Element 8 / Strategy LLC,[content],85.0,90.0,95.0,90.0,PASS,,original,0,,,
120,1,KEEP,- Set up Google Ads creative variations and Analytics tagging; early A/B tests trimmed average CPC ≈10% without extra budget.,Element 8 / Strategy LLC,[email] [ops],85.0,90.0,95.0,85.0,PASS,,original,0,,,
121,1,KEEP,"- Led creative direction during agency restructuring, developing visual identity systems still in use today.",Element 8 / Strategy LLC,[content],75.0,80.0,90.0,70.0,PASS,,original,0,,,
122,1,KEEP,"- Designed apparel, signage, and print collateral using advanced techniques (spot gloss, UV coating) and Adobe Creative Suite.",Element 8 / Strategy LLC,[content],85.0,90.0,95.0,80.0,PASS,,original,0,,,
123,1,KEEP,- Recruited by the CEO of Element 8 to lead brand design at his next venture — a visual identity still in use 15 years later.,Element 8 / Strategy LLC,[content],85.0,80.0,95.0,70.0,PASS,,original,0,,,
124,1,KEEP,"- Produced multi-format asset kits (print, web, signage) aligned to vendor specs to avoid costly reprints",Element 8 / Strategy LLC,[content],85.0,90.0,95.0,80.0,PASS,,original,0,,,
125,1,KEEP,"- Recruited by CEO to direct full rebrand, creating positioning, messaging, and visual identity systems still in use 10+ years later",Element 8 / Strategy LLC,[content],85.0,80.0,95.0,80.0,PASS,,original,0,,,
126,1,KEEP,"- Recruited by CEO to lead visual identity development for new venture, visual systems still in use more than a decade later.",Element 8 / Strategy LLC,[content],85.0,90.0,95.0,70.0,PASS,,original,0,,,
127,1,KEEP,"- Recruited by Element 8 CEO to lead brand development, creating visual identity systems and editorial guidelines still in use today.",Element 8 / Strategy LLC,[writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
128,1,KEEP,- Spearheaded brand-system development for a new venture; identity remains in use a decade later.,Element 8 / Strategy LLC,[generalist],85.0,90.0,95.0,70.0,PASS,,original,0,,,
129,1,KEEP,- Authored 200+ page digital strategy report for Carlson Hotels and technical nurture email campaign for SAP.,VML,[email] [writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
130,1,KEEP,- Authored 200+ page digital strategy report for Carlson Hotels on conversion optimization and messaging strategy,VML,[writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
131,1,KEEP,"- Authored 6-email lifecycle journeys for SAP, demonstrating expertise in complex technical messaging and customer communications.",VML,[writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
132,1,KEEP,"- Produced 200+ page digital strategy report for Carlson Hotels, shaping website optimization and cross-channel messaging operations.",VML,[content] [writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
133,1,KEEP,"- Authored 6-email nurture sequence for SAP, demonstrating lifecycle communication and technical messaging skills",VML,[email] [writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
134,1,KEEP,- Authored a 200+ page conversion optimization report for Carlson Hotels that influenced their global campaign roadmap.,VML,[writing],85.0,80.0,95.0,85.0,PASS,,original,0,,,
135,2,KEEP,"- Authored a 200+ page digital strategy report for Carlson Hotels, shaping web conversion and cross-channel messaging.",VML,[content] [writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
136,1,KEEP,- Authored a 200+-page digital strategy report for Carlson Hotels that informed site conversion and content planning,VML,[content] [writing],85.0,90.0,95.0,80.0,PASS,,original,0,,,
