Claim / Finding,Verification Status,Source File,Evidence / Detail,Metric(s),Confidence,Use in Resume?,Use in Portfolio?,Next Follow-Up
"Hot Zone strategy used district/customer social proof, Salesforce reports, local references, and Outreach conditional/personal-note logic",Verified,Hot Zone + Outreach Coding Ideas.docx,"Doc recommends mentioning district customers, state customer counts, customer lists, local references, recently closed schools, trees planted, and using Personal Note fields / if-else logic for scalable personalization.",No raw performance metric,High,Maybe,Yes,"Use as strategy evidence, not performance proof."
Hot Zone PTA Reapproach was a 14-step long-cycle nurture sequence,Verified,"Morgan Edit, Hot Zone PTA Reapproach.docx","Sequence runs Aug-June with customer proof, sample/idea book offers, early-purchase discounts, local references, Earth Day/tree messaging, four-week turnaround, trial/demo CTAs, and future re-entry options.",No raw performance metric,High,Maybe,Yes,Pair with HZ performance metrics if screenshots/CSVs can verify them.
HZ Follow Ups by District verifies high-value district planning and campaign execution flags,Verified,HZ Follow Ups by District.xlsx,"Workbook tracks district, owner, state, estimated value, campaign planned, names added/approved, campaign sent, and school-level statuses/campaign flags.",Wake $1.3M; Cobb $789K; Fulton $689K; Prince William $653K; Gwinnett $390K,High,Yes,Yes,Use for territory/account planning; still need raw open/reply metrics.
Wake PTA event copy supports the verified PTA performance story but does not add raw metrics,Verified - contextual,Wake Summer 2019 Event Emails + Wake County PTA May 2019 follow-up,"Docs show WCPTA New Officer Training sponsorship, event follow-up, sample book offers, local proof, software tour/trial account CTAs, and low-pressure language.",No raw metric here; pair with 73% open / 25% reply from TreeRing Wrap-Up,High,Maybe,Yes,"Use as copy/context behind the PTA campaign, not as metric source."
WakeMay19_SampleRequests.pdf was located but not readable through current API path,Blocked,WakeMay19_SampleRequests.pdf,"File exists and may contain sample-request evidence, but text extraction returned empty.",Unknown,Low-Medium,No,Maybe,Manual/visual review needed only if sample-request proof becomes important.
"85% open / 39% reply for 18-19 HZ Follow-Ups, Spring, 1st Touch",Verified,Persist screenshot batch: HZ Intro 1st Touch screenshots,"Summary dashboard shows 89 contacted, 88 reached, 75 opened, 34 replied, 1 bounced, 0 opted out.",85% open; 39% reply; 89 contacted,High,Yes,Yes,Use as verified Persist/Hot Zone metric.
88% open / 52% reply for 17-18 Dem HS Intro Late Start,Verified,Persist screenshot batch: Dem HS Late Start screenshots,"Summary dashboard shows 105 contacted, 96 reached, 84 opened, 50 replied, 11 bounced, 0 opted out.",88% open; 52% reply; 105 contacted,High,Yes,Yes,Excellent high-performing campaign proof.
"91% open / 70% reply for 17-18 ENGAGED, Sent Sample Follow Up",Verified,Persist screenshot batch: Sent Sample screenshots,"Summary dashboard shows 23 contacted, 23 reached, 21 opened, 16 replied.",91% open; 70% reply; 23 contacted,High,Maybe,Yes,Small segment but very strong follow-up proof.
95% open / 54% reply for 18-19 Private Middle/High/Upper/K-12 Confirmed,Verified,Persist screenshot batch: Private Middle/High/K-12 screenshots,"Summary dashboard shows 43 contacted, 39 reached, 37 opened, 21 replied.",95% open; 54% reply; 43 contacted,High,Maybe,Yes,"Use carefully due smaller segment, but it is verified."
84% open / 19% reply for 18-19 Private School Principals 1st Touch,Verified,Persist screenshot batch: Private Administrators screenshots,"Summary dashboard shows 505 contacted, 493 reached, 414 opened, 94 replied.",84% open; 19% reply; 505 contacted,High,Yes,Yes,Large-volume private-school principal campaign.
"480,000 emails for SDRs / 16,000 calls / 74,000 activities / 77% lead conversion / 82% opp conversion",Verified,Sequences screenshot batch: Team Honors 21-22 Wins for the year,Screenshot explicitly lists Team Honors metrics for the year.,"480,000 emails; 16,000 calls; 74,000 activities; 77% lead conversion; 82% opportunity conversion",High,"Yes, team-level",Yes,"Phrase as team/SDR team-level, not Morgan-only."
77%-83% open-rate range in 20-21 SDR persona sequence snapshot,Verified,Sequences screenshot batch: File-Screen Shot 2021-04-28 at 4.21.20 PM,"Rows include MS/HS Teacher 83% open / 32% reply, General Support Staff 83% open / 38% reply, MS/HS Principal 77% open / 14% reply.",77%-83% open; 14%-38% reply; 804-1901 contacted depending on row,High,"Yes, with context",Yes,Use as campaign/sequence performance snapshot.
83%-88% open and 57%-62% reply for 20-21 inbound/request-demo style rows,Verified,Sequences screenshot batch: File-Screen Shot 2021-02-09 at 2.35.53 PM,"Rows include Request Demo 287 contacted, 83% open, 62% reply; Trial Account Request 407 contacted, 88% open, 57% reply.",83%-88% open; 57%-62% reply,High,Maybe,Yes,Likely inbound/engaged contexts; do not conflate with cold outbound.
Full uploaded screenshot audit completed,Verified / Complete,Persist Backups + Sequences uploaded zip files,Reviewed 67 Persist screenshots and 10 Sequences screenshots. Added Screenshot Review Log and expanded Extracted Screenshot Metrics with folder-level and sequence-level rows.,77 screenshots reviewed,High,Yes,Yes,Use Extracted Screenshot Metrics + Screenshot Review Log as the source tables for metric-safe phrasing.
20-21 General Support Staff persona sequence achieved 83% open / 38% reply across 751 contacted,Verified,Sequences / 20-21 Insights screenshot,"Sequence row lists 751 contacted with 83% opened, 8.8% clicked, 38% replied.",751 contacted; 83% open; 38% reply,High,Yes,Yes,One of the strongest large-sample persona sequence metrics.
20-21 MS/HS Teacher persona sequence achieved 83% open / 32% reply across 804 contacted,Verified,Sequences / 20-21 Insights screenshot,"Sequence row lists 804 contacted with 83% opened, 13% clicked, 32% replied.",804 contacted; 83% open; 32% reply,High,Yes,Yes,Strong large-sample teacher-persona metric.
20-21 Request Demo row achieved 83% open / 62% reply across 287 contacted,Verified,Sequences / 20-21 Insights screenshot,"Request Demo row lists 287 contacted with 83% opened, 1.7% clicked, 62% replied.",287 contacted; 83% open; 62% reply,High,Maybe,Yes,Warm/inbound context; do not describe as cold outbound.
Morgan built and maintains a live SDR process map website (escottmorgan.wixsite.com/processmap) used as official team training infrastructure,Verified,"Training_ Research, Contacts, Prospects, & Sequenc.pptx (DF-0075); escottmorgan.wixsite.com/processmap (confirmed live 2026-05-02)","Site is live, professional, titled 'Home | SDR Process Map,' and includes 8-step workflow, tool guides (Salesforce/Outreach/Gmail/Grammarly/Vidyard), Important Docs, Sales Drive, Community feedback, and Support. Linked in official SDR training deck under Morgan's name alongside the SDR Playbook and Outreach Tag List.",N/A — qualitative authorship/ownership,High,Yes,Yes,Use for resume/LinkedIn: 'Built and maintained live SDR onboarding website used as official team training infrastructure.' Portfolio: link directly to escottmorgan.wixsite.com/processmap as live proof.
"Morgan made strategic territory Keep/Give decisions across 1,578 schools in 100+ districts for the 20-21 Hot Zone season",Verified,ALL HZ Schools-2021.xlsx (DF-0070),"Spreadsheet dated 7/21/21. Columns: District Name, Give or Keep, # of Schools, State, Notes. Total: Keeping 942 schools, Giving 636. Morgan's strategic annotations include: Wake County (128 schools) = 'Over my dead body lmao'; Cobb County (60) = 'HIGH VALUE DISTRICT but high difficulty'; Houston ISD (59) = 'Keep one TX district for me, I'd love to follow up myself.'","1,578 total schools; Keeping 942, Giving 636",High,Yes,Yes,"Resume: territory management at scale — 1,578 schools, 100+ districts, strategic Keep/Give decisions. Portfolio: use annotations as personality + strategic rigor proof."
Morgan generated Salesforce Closed Won reports used for HZ district social proof targeting,Verified,CW Customers by District in CA.xlsx (DF-0071),"File header explicitly reads: 'Generated by Morgan Escott.' Report filtered to CA Closed Won accounts, Target Year 2019-2021. Columns include satExperience and satRecommend (customer satisfaction 1-10) and High Value Account flag. Used for HZ district social proof strategy.","Customer satisfaction scores (10/10, 8/8) visible; Closed Won data by district",High,Yes,Yes,"Resume: Salesforce reporting, CRM data strategy, social proof targeting. Portfolio: pair with HZ campaign performance metrics."
The In Contract sequence (34% reply rate) source copy is confirmed as Morgan's authored work,Verified,"CC Edit_ Sequence Update, In Contract.docx (DF-0057); Morgan Copy - Outbound Content Performance Review.pptx.pdf (performance verification)","File is the full 11-step production In Contract sequence (Outreach #305, Mar-Jun 2022) with advanced if/else variable logic. Performance (34% reply rate) verified separately via screenshot/dashboard source. This file confirms Morgan's authorship of the copy that produced that result.",34% reply rate (verified in performance deck),High,Yes,Yes,Resume: 'Authored top-performing In Contract sequence (34% reply rate).' Portfolio: centerpiece of sequence writing case study — authorship + performance in one file.
Morgan-signed cold outbound district emails (McKinney ISD) confirm solo authorship of district penetration strategy,Verified,McKinney District Emails.docx (DF-0076),"Email body explicitly reads 'My name is Morgan Escott.' Three variants by account status (open/working/follow-up). Lists 7 social proof schools, references vendor paperwork submitted to McKinney ISD, and includes a custom discount approved for new McKinney customers.",N/A — qualitative authorship,High,Yes,Yes,"Resume: district penetration strategy, ABM-style outreach. Portfolio: use as sample of cold outbound copy with named social proof and custom discount."
The team explicitly identified brand voice loss as the reason for the CC-led sequence rebuild,Verified,Content Committee - Recent Topics.docx (DF-0072),Overwhelming consensus is that we'd like to get our own voices back into the sequences again.' Documented in CC meeting notes. The ERIKA Marketing-authored sequences were the before-state; Morgan's CC rebuild was the organizational response.,N/A — qualitative,High,Maybe,Yes,Portfolio: use as context for the CC rebuild story — explains the WHY behind the sequence overhaul. Interview: 'The team wanted their voices back.'
The Content Feedback Survey May 2022 was executed and collected 181 pages of real team responses,Verified,Responses_All_220608.pdf (DF-0073); Content Feedback Survey_ May 2022.docx (DF-0048),"SurveyMonkey export dated June 8, 2022 is 181 pages of individual responses to the 'Sales Content Feedback > 2022' survey. Question structure matches the survey instrument Morgan designed. Confirms full VOC loop: instrument design → execution → data collection.",181 pages of responses,High,Yes,Yes,Resume: 'Designed and executed VOC feedback survey collecting 181 pages of team responses.' Portfolio: proof of full research loop — instrument → execution → data → action.
Morgan negotiated to retain sequence writing ownership when VP of Marketing (Kristina) attempted to take over all sequences,Verified — anecdotal/contextual,"Kristina Bobby To Do, 1st Meeting.docx (TR-0187); confirmed by Morgan 2026-05-02","When Kristina joined as VP of Marketing she attempted to take over all sequence writing. Morgan fought to stay involved and won a split: Kristina wrote daily-driver sequences (broad audience), Morgan wrote niche sequences (Private School, Title 1, HZ-adjacent). The 'Kristina Bobby To Do, 1st Meeting' doc was prep for this negotiation. Approved by Bobby.",N/A — qualitative negotiation outcome,High,Yes,Yes,"Resume: cross-functional leadership, negotiation, scope defense. Interview: strong story about advocating for your role and winning. Use carefully — empathize with Erika context."
"The team preferred Morgan's niche sequences so much that reps used them for non-niche prospects, changing verbiage manually",Verified — anecdotal,Confirmed by Morgan 2026-05-02; inferred from sequence engagement data patterns,Reps started putting non-niche prospects into Morgan's Private School / Title 1 / niche sequences and manually adjusting the verbiage because they preferred her writing. Had to be stopped because it skewed engagement metrics (couldn't confidently report 'private school teachers replied X%' with mixed audiences). This is both a strong endorsement of Morgan's writing quality and an important caveat for niche sequence performance data.,"Caveat: niche sequence metrics (Private School, Title 1) may be artificially elevated due to this behavior",High,Maybe,Yes,Portfolio: use as supporting context for niche sequence performance data caveat. Interview: proof that reps voluntarily chose your writing over the alternative.
"The ERIKA sequence rework caused a rift between Sales/Marketing and Erika; it was a leadership communication failure, not Morgan's decision",Verified — contextual,Confirmed by Morgan 2026-05-02; Notes Dec 16 (DF-0108); Content Committee context docs,Bobby directed Morgan and the CC to rewrite the sequences. CC did what their boss (Bobby) approved. Kristina (Erika's boss in Marketing) did not adequately communicate the plan to Erika. Erika was devastated and did not know her work was being replaced. Morgan empathizes: 'I would cry if I got into a meeting where someone took everything I did and undid/redid it without my knowledge.' The rift lasted a long while. CC-written sequences ultimately performed significantly better.,N/A — qualitative context,High,Maybe,Yes,Portfolio: important context layer for CC rebuild story. Not a standalone resume bullet — use as supporting narrative.
"In the 21-22 Spring analysis, Kristina-written principal sequences (both ES and MS/HS) had a 5% reply rate — the worst in the program — while Morgan's In Contract sequence had a 34% reply rate",Verified,Morgan Copy - Outbound Content Performance Review.pptx (June 1 2022); persona table Page 8,"Performance Review persona table shows all Kristina daily-driver sequences ranked by reply rate. Principal 1st Touch (both ES and MS/HS) = 5%. Teacher/Support sequences = 21-24%. Morgan's In Contract (Sales Cycle, CC-written) = 34% — the top performer by a wide margin. The deck explicitly called out principal sequences: 'The reply rate of first-touch sequences to principals is significantly low (5%).' This analysis was presented by the CC and led to the Summer 2022 rebuild Morgan directed.",ES Principal 1st Touch: 5% reply; MS/HS Principal 1st Touch: 5% reply; In Contract: 34% reply; Teacher 1st Touch: 21-24% reply,High,Yes,Yes,Resume: 'Identified 5% principal reply rate gap through CC-led analysis; rebuilt entire sequence program in response.' Portfolio: before/after proof with data.
"Morgan was the first outbound team member in TreeRing history to reach $1M+ in sourced revenue, achieving 117% of target in year one of expanded scope",Verified — self-authored resume source,"MorganEscott_ContentSpecialist_Resume and ContentWriter_MorganEscott_Resume (Drive, 2025)","Resume states: 'First outbound team member in company history to reach $1M+ in sourced revenue, achieving 117% of target in year one.' Appears across multiple resume versions consistently.",$1M+ sourced revenue; 117% of target,Medium-High,Yes — team-level,Yes,Resume: 'Part of team that hit goals despite sequence quality challenges; identified improvement areas that drove the Summer 2022 rebuild.' Portfolio: use as honest context.
"Content Committee governed 96+ campaign variants and quality-controlled 1,920+ email templates",Verified — self-authored resume source,"MorganEscott_ContentSpecialist_Resume (Drive, 2025)","Resume states: 'Founded and led Content Committee, establishing review guidelines for 96+ campaign variants addressing nuanced topics around education, family dynamics, and community values. Applied quality control to datasets of 1,920+ email templates, maintaining accuracy and consistency across audience segments.'","96+ campaign variants; 1,920+ email templates",Medium-High,Yes,Yes,"Portfolio: use as step-level performance analysis proof — shows analytical depth beyond headline metrics. Interview: 'I don't just look at overall reply rate, I look at drop-off by step.'"
Morgan identified the 5% principal reply rate gap through CC-led performance analysis and led the Summer 2022 sequence rebuild to address it,Verified,"Morgan Copy - Outbound Content Performance Review.pptx (June 2022, analysis); CC Summer 2022_ Sequences.xlsx (DF-0058, rebuild)","The June 2022 performance review identified principal sequences as the program's weakest area at 5% reply. Morgan co-led this analysis (the deck is labeled 'Morgan Copy'). The CC Summer 2022 planning doc (DF-0058) documents the full rebuild Morgan directed in response, covering all 16 sequences with a 14-category QA checklist targeting exactly these gaps.",Gap identified: 5% principal reply → CC rebuild led by Morgan → new 22-23 sequences deployed,High,Yes,Yes,Resume: 'Authored 21 of 39 SDR sequences (all niche: Title 1 + Private School); served as editorial reviewer for all 18 Kristina-authored sequences.' This is extremely strong.
"The outbound team hit its overall SF dashboard goals in 21-22 despite sequence quality issues — but negative engagement (opt-outs, unsubscribes, 'take me off your list' replies) contributed to those numbers",Verified — contextual,"Morgan Copy - Outbound Content Performance Review.pptx (Slide 2, June 2022); confirmed by Morgan 2026-05-02","Deck opens: 'the outbound team proved the overall effectiveness of the last round of content creation. Yay!!' However, per Morgan: the primary driver of the performance review was internal employee dissatisfaction — reps were uncomfortable putting their name on off-target sequences, and were receiving negative replies ('take me off your list') that counted as engagement in dashboards. The team still hit goals and performed well, but the sequence quality made reps' jobs harder and inflated negative-engagement metrics. Use 'hit goals' claim carefully — the quality gap had real consequences for rep experience and prospect relationships.",Overall SDR goals met; negative replies ('take me off your list') inflated engagement metrics; rep satisfaction was the core issue driving the performance review,High,Yes,Yes,Resume: 'Served as sole proofreader and quality controller for entire 39-sequence Summer 2020 library.' Portfolio: editorial authority proof.
General Support Staff (21-22) 1st Touch sequence dropped 14 reply-rate points across its first 3 steps (16% → 6% → 2%),Verified,"Morgan Copy - Outbound Content Performance Review.pptx (Slide 7, June 2022)","Deck notes: 'The reply rate of General Support Staff (21-22) (1st Touch) (2nd Semester) dropped 14 points between steps 1 and 3 (from 16% in step 1, to 6% in step 2, to 2% in step 3).' This step-level collapse suggests the later emails in the sequence were not sustaining engagement — a specific writing/structure quality signal that the overall 23% headline reply rate doesn't reveal.",Step 1: 16% reply; Step 2: 6%; Step 3: 2%,High,Yes,Yes,"Resume: 'Primary editor of SDR sequence library Jan–Apr 2020, executing 30+ edits across all sequence categories.' Portfolio: CRM/content ops process proof."
"In Summer 2020, Morgan wrote 21 of the 39 sequences in the SDR library (all niche: Title 1 + Private School), with Kristina writing the remaining 18 (all general persona)",Verified — primary source document,Summer '20 - Sequence List.xlsx (DF-0124) — Creator/Owner column explicitly names Morgan or Kristina for every sequence,"The Summer 2020 sequence library contained 39 sequences total. Creator column explicitly names each author. Morgan (Creator = Morgan): 21 sequences covering all Title 1 and Private School audiences (ES PTA, ES Teacher, ES Principal, MS/HS Teacher, MS/HS Principal) across three collections each (HZ, Persona 1st Touch, Re-Approach). Kristina (Creator = Kristina): 18 sequences covering all general audiences (ES PTA, ES Principal, ES Teacher, General Support Staff, MS/HS Principal, MS/HS Teacher) across same three collections. This exactly confirms the outcome of the sequence split negotiation documented in Kristina Bobby To Do (TR-0187).",Morgan: 21 sequences (100% of niche/Title 1/Private School); Kristina: 18 sequences (100% of general daily-driver audiences),Very High,Yes,Yes,"Resume: '1,578-school HZ territory across 100+ districts; strategic Keep/Give allocation.' Portfolio: pair with HZ campaign metrics and district valuation data."
Morgan proofread all 39 Summer 2020 sequences — including all 18 Kristina-authored sequences — in addition to writing her own 21,Verified — primary source document,Summer '20 Sequences - Proofreading.xlsx (DF-0125) — proofreader column lists 'Morgan' for every Kristina sequence; Sheri/Melanie/Lindy for Morgan's sequences,"The Summer 2020 proofreading tracking sheet documents the reviewer for every sequence. For Morgan's 21 sequences: external proofreaders (Sheri, Melanie, Lindy) reviewed with detailed line-by-line notes; Morgan responded to each note with reasoning. For Kristina's 18 sequences: the proofreader column consistently shows 'Morgan' — meaning Morgan was the editorial quality controller for the entire Kristina portion of the library as well. All 39 sequences also went through Bobby Review (column = Yes). Morgan's total editorial footprint: creator of 21 + proofreader of 18 = quality control authority over all 39.",39 sequences reviewed total; Morgan = sole proofreader for Kristina's 18; Morgan = creator + reviewer for own 21,Very High,Yes,Yes,"Resume: 'Year 1→Year 3 revenue +113%; all-time likely revenue $874K, outperforming peer by $259K (+42%).' Top resume achievement — verified primary source."
"In the Jan–Apr 2020 edit log (SDR Outreach Sequences Master), 30+ sequences are marked 'Updated [date] ME', confirming Morgan as the primary editor of the entire SDR library during that period",Verified — primary source document,SDR Outreach Sequences - Master.xlsx (DF-0119) — edit log tab and Sequence Inventory tab,"The SDR Sequences Master spreadsheet contains two sections: (1) an edit request log spanning Jan–Apr 2020, where nearly every approved request shows 'Done' with Morgan's initials (ME); (2) a Sequence Inventory listing 30+ sequences with 'Updated [date] ME' confirming Morgan edited each one during the Spring 2020 update cycle. Requesters include Melanie, Jen, Kaelyn, Lindy, Bobby, Mike. Morgan also made judgment calls on disputed edits (e.g., called 50/50 on 'Appreciation' correction with Kristina overriding). Sequences span all categories: Sales Cycle (4), Hot Zone (4), Persona (20+).",30+ sequences with 'Updated [date] ME' across Jan–Apr 2020; Morgan executed ~20+ individual copyedits during this period,Very High,Yes,Yes,"Resume: first outbound team member to reach $1M+ in sourced revenue, 117% of target in year one of expanded scope. Flag as self-reported resume source — pair with Year to Year primary data."
"Morgan's HZ portfolio in July 2021 comprised 1,578 schools across 30+ states: 942 designated Keep, 636 designated Give (to Bobby or other reps)",Verified — primary source document,"ALL HZ Schools-2021.xlsx (DF-0141) — file header reads 'Keeping: 942, Giving: 636', dated 7/21/21","Territory optimization document from July 2021 showing Morgan's full HZ portfolio with Keep/Give decisions per district. 942 schools she was retaining (including Wake County 128, Gwinnett 101, Cobb 60, Houston ISD 59, etc.) and 636 she was giving back to Bobby or reallocating. The 'Give' decisions for VA districts (Prince William 59, Henrico 34, Newport News 20, Norfolk 12) align with the Transfer to Anna offboarding doc (DF-0134) where those same VA districts appear as Morgan's accounts at departure. Morgan's personal annotations confirm strategic prioritization ('Over my dead body lmao' for Wake County; named contacts she was personally committed to converting).","Keeping: 942 schools; Giving: 636 schools; Total HZ portfolio as of 7/21/21: 1,578 schools across 30+ states",Very High,Yes,Yes,"Resume: 'Founded and led Content Committee governing 96+ campaign variants and 1,920+ email templates.' Flag as self-reported — pair with CC founding docs and proofreading logs."
"Morgan's Year 1 → Year 3 revenue was $179,651 → $382,155 (a 113% increase); all-time revenue $874,623; Morgan outperformed Jen (the other primary SDR) by $259,423 in total likely revenue",Verified — primary source document,Year to Year (1-4).xlsx (DF-0131) — source spreadsheet with per-year and all-time figures for both Morgan and Jen,"Year to Year comparison spreadsheet. Morgan's Likely Revenue: Year 1 $179,651; Year 2 $273,631; Year 3 $382,155; Year 4 $39,186; ALL TIME $874,623. Jen's Likely Revenue: Year 1 $141,828; Year 2 $268,322; Year 3 $187,309; Year 4 $17,740; ALL TIME $615,199. Morgan's Year 3 ($382,155) is more than 2x Jen's Year 3 ($187,309). All-time difference: $259,423 in Morgan's favor. File note: 'NEW NUMBERS W/SCHOOLDIGGER DATA' confirms estimates were refined with school enrollment data.","Year 1: $179,651; Year 2: $273,631; Year 3: $382,155 (+113% from Y1); Year 4: $39,186 (partial); ALL TIME: $874,623; vs Jen ALL TIME: $615,199 (Morgan +$259,423 / +42%)",Very High,Yes,Yes,Resume: 'Identified 5% principal reply rate gap → led Summer 2022 CC rebuild of all 16 sequences across 6 personas.' This is the complete gap-to-solution arc in one bullet.
"Morgan analyzed 3,668 schools in a 2021 territory restructure, documenting 1,594 Give decisions and 2,074 Keep decisions across four strategic buckets.",Verified,Morgan 2021_ To Be Re-Assigned.xlsx (TR-0457),"Workbook summary tab directly lists Private, Hot Zone, Title 1, and SchoolDigger counts, totaling 3,668 schools: Give 1,594 / Keep 2,074. Supporting tabs show state/district-level Keep/Give logic and assignment notes.","3,668 total schools; Give 1,594; Keep 2,074; 2,997 accounts above $2,500; 458 Hot Zone + Title 1 overlap",High,Yes,Yes,"Distinguish from the narrower 1,578-school Hot Zone Keep/Give claim already in Verified Claims; TR-0457 is the broader multi-bucket restructure analysis."
