Role / Company,Tags,Bullet Point,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on PTA council campaigns with targeted segmentation and custom-crafted strategies.,75.0,80.0,85.0,70.0,PASS,"The bullet lacks specific tool mentions (e.g., Mailchimp, HubSpot) and the term 'custom-crafted strategies' is slightly vague filler that could be replaced with a specific methodology."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on specialized PTA council campaigns by integrating best practices in email marketing.,65.0,60.0,80.0,60.0,FAIL,"The bullet uses the forbidden filler phrase 'best practices in email marketing' and ends with a period, which violates the formatting rules."
Treering Yearbooks,[email][brand],"- Achieved 74% open rates and 22% reply rates on strategic PTA campaigns, reinforcing brand position and marketing effectiveness.",65.0,60.0,70.0,50.0,FAIL,"The bullet uses vague, corporate-speak filler ('reinforcing brand position and marketing effectiveness') and lacks the necessary context (audience size, tool used, or specific campaign scope) to make the high metrics believable."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on strategic PTA council campaigns.,85.0,80.0,90.0,70.0,PASS,"The bullet lacks context regarding the size of the audience or the tools used, which makes the high percentages harder to contextualize for a hiring manager."
Treering Yearbooks,[email],- Achieved 74% open rates and 22% reply rates on targeted PTA council campaigns by refining personalization tactics.,75.0,80.0,90.0,70.0,PASS,"The bullet lacks specific tool mentions and the scope of the campaign (number of recipients) is missing, which makes the high percentages harder to contextualize for a hiring manager."
Treering Yearbooks,[ops][mgmt],"- Achieved a 2.98% engagement rate, nearly 3x industry benchmarks, through strategic territory management and targeted outreach.",60.0,65.0,70.0,50.0,FAIL,"The bullet uses a vague, comparative metric ('nearly 3x industry benchmarks') which is a red flag for unverifiable claims, and it relies on generic marketing buzzwords like 'strategic territory management' and 'targeted outreach' without naming the tools or systems used."
Treering Yearbooks,[mgmt],"- Achieved a “Good Fit” lead rate 15% above team average, feeding higher-quality opps to AEs.",75.0,80.0,85.0,70.0,PASS,"The term 'Good Fit' is subjective and lacks a defined system or tool context, making the 15% metric slightly harder to verify without knowing the specific lead scoring criteria."
Treering Yearbooks,[generalist],"- Achieved an outstanding “Good Fit” rate, consistently delivering high-quality leads praised for conversion and value.",30.0,40.0,50.0,30.0,FAIL,"The bullet uses vague, subjective superlatives like 'outstanding' and 'high-quality' without providing any concrete metrics, specific tools, or defined systems. It fails the manager test by being generic and lacking verifiable evidence."
Treering Yearbooks,[brand],"- Achieved company-first milestone as the top SDR, sourcing $1M+ in revenue and exceeding annual sales goals by 17%.",85.0,80.0,95.0,80.0,PASS,
Treering Yearbooks,[generalist],- Achieved consistent top “Good Fit” ratings and internal recognition for driving high-conversion handoffs.,40.0,50.0,60.0,30.0,FAIL,"The bullet relies on vague, unverifiable superlatives like 'consistent top ratings' and 'internal recognition' without providing a specific metric, system, or tool context. It fails the manager test because it describes a subjective outcome rather than a concrete system or infrastructure achievement."
Treering Yearbooks,[ops][mgmt],"- Achieved success as the first outbound hire to surpass $1M in sourced revenue, exceeding first-year target by 17% through proactive territory management, personalized outreach, and compelling presentations.",75.0,70.0,85.0,70.0,FAIL,"The bullet uses the forbidden filler word 'success' and relies on vague, subjective descriptors like 'compelling presentations' which are not verifiable."
Treering Yearbooks,[ops][email],"- Acted as a key player in the platform migration from PersistIQ to Outreach.io, improving daily workflows and streamlining Salesforce integration for better reporting and automation",65.0,70.0,75.0,80.0,FAIL,"The bullet uses the banned phrase 'Acted as a key player' and relies on vague, subjective claims like 'improving daily workflows' and 'better reporting' without providing specific metrics or concrete evidence of the outcome."
Treering Yearbooks,[content],- Advised on messaging and content personalization strategies to improve engagement and prospect response rates.,40.0,50.0,60.0,30.0,FAIL,"The bullet is generic, lacks specific metrics or tools, and uses vague language like 'advised on' which sounds like a task description rather than an outcome-driven achievement."
Treering Yearbooks,[content],- Advised on messaging and content personalization strategies to improve prospect response rates.,40.0,50.0,60.0,30.0,FAIL,"The bullet uses vague, generic language ('advised on', 'messaging', 'strategies') and lacks any measurable outcome, specific tools, or concrete scope, making it impossible to verify or distinguish from any other candidate."
Treering Yearbooks,[brand],- Aligned campaign messaging with company goals and product milestones alongside Marketing and Sales leadership.,40.0,50.0,50.0,30.0,FAIL,"The bullet is generic, lacks specific metrics or tools, and uses vague corporate language ('aligned campaign messaging') that fails to describe a concrete system or outcome."
Treering Yearbooks,[ops],"- Analyzed CRM data to uncover $3M+ in dormant pipeline, reactivating target segments through strategic, market-driven campaigns. Cross-Functional, Data, & Strategic Impact:",75.0,70.0,80.0,85.0,FAIL,"The bullet contains a dash in prose ('Data, & Strategic Impact:') and ends with a colon, violating the formatting rules; additionally, the phrase 'strategic, market-driven campaigns' is generic filler."
Treering Yearbooks,[email][ops],"- Analyzed campaign data to fine-tune strategy, consistently achieving 70–85% open rates and high engagement benchmarks.",50.0,55.0,70.0,60.0,FAIL,"The bullet uses a dash in prose, lacks specific context for the 70-85% open rate (making it appear inflated or unverifiable), and uses vague descriptors like 'high engagement benchmarks' instead of concrete metrics."
Treering Yearbooks,[ops],"- Analyzed campaign performance data and sales cycle velocity to identify key conversion bottlenecks, leading to A/B testing initiatives that doubled lead-to-meeting rates.",75.0,70.0,85.0,80.0,PASS,"The claim of doubling lead-to-meeting rates is significant and lacks context regarding the baseline or the specific campaign scope, making it feel slightly inflated without a specific timeframe or sample size."
Treering Yearbooks,[ops],"- Analyzed campaign performance via Salesforce and Outreach.io dashboards/reports, translating data into improved conversion.",65.0,70.0,75.0,70.0,FAIL,"The bullet uses a forward slash (dash-like character) which violates the no-dash rule, and the outcome 'improved conversion' is vague and lacks a specific metric or context."
Treering Yearbooks,[ops],"- Analyzed campaign performance via Salesforce dashboards, translating email metrics into improved conversion and retention.",70.0,75.0,80.0,70.0,PASS,The bullet is somewhat generic; it lacks specific metrics or a clear description of the 'translation' process that led to the improvements.
Treering Yearbooks,[generalist],"- Analyzed confidential feedback and integrated insights into communications, planning, and operations.",40.0,50.0,50.0,30.0,FAIL,"The bullet is overly generic, lacks specific metrics or tools, and fails to describe a concrete outcome or system, making it impossible to verify."
Treering Yearbooks,[generalist],- Applied A/B testing systematically and iterated using AI tools like ChatGPT and Grammarly to optimize messaging.,60.0,65.0,70.0,50.0,FAIL,"The bullet fails because it describes a process rather than an outcome, lacks a specific metric or system context, and uses generic language regarding AI tools that does not demonstrate actual professional impact."
Treering Yearbooks,[generalist],"- Applied cohort analysis, A/B testing, and engagement scoring to refine messaging strategy and drive higher ROI.",65.0,70.0,75.0,70.0,FAIL,"The bullet fails because it ends with a period and uses generic, outcome-vague language ('drive higher ROI') without providing a specific metric or context to verify the claim."
Treering Yearbooks,[ops],"- Applied quality control to datasets of 1,920+ email templates, maintaining accuracy and consistency across audience segments.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops],"- Architected advanced Outreach.io workflows integrated with Salesforce CRM via API connections and custom configuration, enabling seamless data synchronization and automation",90.0,95.0,90.0,95.0,PASS,
Treering Yearbooks,[content][enablement],"- Architected and managed the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide that directly supported all stages of the sales cycle.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[content][enablement],"- Architected comprehensive sales enablement content library with 100+ assets (playbooks, guides, templates) adopted company-wide.",90.0,95.0,95.0,85.0,PASS,
Treering Yearbooks,[email],"- Architected email journeys with 83% open rates and 43% reply rates across 2,900+ accounts, achieving 10x industry-averages.",70.0,65.0,85.0,80.0,FAIL,"The metrics (83% open rate, 43% reply rate) are statistically implausible for a 2,900-account cold outreach campaign, triggering the hallucination/scope inflation risk; the claim of '10x industry-averages' is vague and lacks the necessary context to make such high numbers believable."
Treering Yearbooks,[content][enablement],"- Architected the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide.",90.0,95.0,95.0,85.0,PASS,
Treering Yearbooks,[ops],"- Architected the integration and company-wide rollout of Outreach.io, creating the workflows, field mapping, and automation rules that became the foundation of the sales process.",95.0,95.0,95.0,95.0,PASS,
Treering Yearbooks,[ops],- Audit Insight: Ran a company CRM audit that identified $3M+ in potential pipeline for redistribution to SDRs,85.0,80.0,90.0,85.0,PASS,
Treering Yearbooks,[writing][email],"- Authored and structured high-performing email marketing campaigns (83% open, 43% reply rates), applying UX writing and visual hierarchy principles to enhance clarity, accessibility, and engagement.",65.0,60.0,85.0,70.0,FAIL,"The bullet uses the banned filler word 'high-performing' and lacks necessary context for the metrics (e.g., audience size, list type, or campaign volume), making the 83% open rate and 43% reply rate appear statistically improbable or inflated without anchoring."
Treering Yearbooks,[writing][email],"- Authored and structured high-performing email marketing campaigns achieving up to 83% open and 43% reply rates, applying UX writing and visual hierarchy principles to improve clarity and engagement.",65.0,60.0,85.0,70.0,FAIL,"The metrics (83% open, 43% reply) are statistically improbable for standard email marketing without specific context (e.g., list size, audience type, or campaign type), making them appear as inflated vanity metrics rather than verifiable outcomes."
Treering Yearbooks,[writing],"- Authored cadences and strategy for Adobe and education-sector clients, earning a nomination for an ABM/copywriting role.",75.0,80.0,85.0,70.0,PASS,"The outcome is subjective (a nomination) rather than a business-impact metric, making it less compelling for a high-level role."
Treering Yearbooks,[writing],- Authored campaign-wide messaging with scalable QA and variable logic for personalization.,75.0,80.0,70.0,75.0,PASS,"The bullet lacks a specific tool mention (e.g., Marketo, HubSpot) and a concrete outcome or scale, making it feel slightly abstract."
Treering Yearbooks,[writing][content],"- Authored detailed project plans for email marketing campaigns, incorporating precise timelines, audience segmentation, dynamic content, and rigorous QA and approval processes to ensure flawless execution",70.0,75.0,80.0,70.0,FAIL,The bullet fails because it ends with a period and describes a task-based process rather than a specific outcome or system impact.
Treering Yearbooks,[email][writing],- Authored high-intent email campaigns with up to 62% reply rates to convert warm prospects into signed deals.,75.0,70.0,85.0,70.0,PASS,"The claim of a 62% reply rate is exceptionally high for cold or warm outreach and lacks the necessary context (e.g., audience size, segment, or timeframe) to make it fully believable to a skeptical hiring manager."
Treering Yearbooks,[email][writing],"- Authored high-performing email campaigns achieving 83% open rates and 43% reply rates—10x industry benchmarks—driving measurable adoption across 2,900+ accounts.",60.0,55.0,85.0,70.0,FAIL,"The bullet contains a dash in prose, which is prohibited by the rules. Additionally, the metrics (83% open rate, 43% reply rate) are statistically implausible for a 2,900-account campaign, making the claim feel like an exaggeration rather than a verifiable achievement."
Treering Yearbooks,[writing][mgmt],"- Authored high-performing, team-wide campaigns with strong QA processes and variable logic for personalization at scale.",60.0,65.0,70.0,60.0,FAIL,"The bullet uses vague, subjective adjectives like 'high-performing' and 'strong' without providing any concrete metrics or specific tool names to verify the claim."
Treering Yearbooks,[writing][content],"- Authored modular campaign kits with messaging tracks, A/B test variants, and content tailored to K–12 educators.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[writing][mgmt],"- Authored team-wide campaigns with logic-driven personalization, leading to better engagement and more confident sends.",50.0,60.0,60.0,50.0,FAIL,"The bullet uses vague, subjective language ('better engagement', 'more confident sends') without providing specific metrics or tools, and it fails to describe a concrete system or outcome."
Treering Yearbooks,[generalist],"- Balanced multiple client needs as a freelancer post-internship, demonstrating reliability, flexibility, and trustworthiness.",40.0,50.0,60.0,20.0,FAIL,"The bullet relies entirely on subjective soft skills (reliability, flexibility, trustworthiness) without providing any concrete evidence, metrics, or specific systems used. It is generic, lacks a strong action verb, and fails to describe a professional outcome or infrastructure."
Treering Yearbooks,[generalist],"- Balanced relocation to Upstate New York with steady freelance output, maintaining a consistent portfolio of clients.",40.0,50.0,60.0,20.0,FAIL,"The bullet describes a personal life event rather than a professional achievement, lacks measurable outcomes, contains no tool or system mentions, and is too generic to provide value to a hiring manager."
Treering Yearbooks,[ops],- Became the first SDR at Treering to surpass $1M in revenue; informed broader pipeline strategy and market positioning.,85.0,80.0,90.0,75.0,PASS,
Treering Yearbooks,[ops],- Became the first SDR to reach $1M+ in revenue; insights informed broader pipeline strategy and market positioning.,75.0,70.0,85.0,70.0,PASS,"The phrase 'insights informed broader pipeline strategy' is slightly vague and borders on corporate-speak, though the primary claim of $1M+ revenue is strong and verifiable."
Treering Yearbooks,[generalist],- Became the first outbound employee in history to generate over $1M in potential revenue and exceeded KPIs by 17% in year one.,70.0,65.0,85.0,70.0,FAIL,"The bullet uses the phrase 'Became the first... in history', which is unverifiable and reads as hyperbolic self-promotion rather than a professional achievement statement."
Treering Yearbooks,[mgmt],"- Became the first outbound team member in history to generate $1M+ in sourced revenue, exceeding KPIs by 17% in year one.",85.0,80.0,95.0,70.0,PASS,
Treering Yearbooks,[email][content],"- Built 60+ high-performing cadences using dynamic content, behavioral triggers, and segmentation logic—achieving 29–43% reply rates (10× industry average) and 98% deliverability",75.0,70.0,90.0,95.0,FAIL,The bullet contains a dash in prose (prohibited by the Manager Test rules) and uses the forbidden filler word 'high-performing'.
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15 data points per account across 206 active tasks, enabling efficient territory management at scale.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15 data points per account across 206 active tasks, enabling efficient territory management at scale. Cross-Functional & GTM Strategy:",85.0,80.0,85.0,80.0,FAIL,"The bullet ends with a colon and a category header, which violates the rule against trailing punctuation and suggests a formatting error rather than a clean, professional bullet point."
Treering Yearbooks,[ops][mgmt],"- Built CRM systems tracking 15+ data points per account across 206 active tasks, enabling efficient workflow management.",85.0,90.0,85.0,80.0,PASS,
Treering Yearbooks,[ops],"- Built QA protocols that ensured CRM and email campaigns met logic, segmentation, and delivery accuracy standards.",75.0,80.0,85.0,70.0,PASS,"The bullet lacks specific metrics or named tools, making it feel slightly generic and difficult to verify the actual impact or scale of the QA protocols."
Treering Yearbooks,[ops],"- Built QA protocols to validate trigger logic, segmentation accuracy, and campaign delivery across CRM and email.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[email],- Built QA systems for campaign logic and engagement tracking.,65.0,70.0,70.0,60.0,FAIL,"The bullet is too generic and lacks specific tools, metrics, or the scale of the systems built, making it read like a task description rather than a high-impact outcome."
Treering Yearbooks,[ops],"- Built a 15-point Google Sheets “personal CRM” with two-way Salesforce sync to prioritize a $20M+ portfolio, track follow-ups, and keep handoffs clean across 2,900+ accounts and every time zone in the U.S.",95.0,90.0,95.0,90.0,PASS,
Treering Yearbooks,[ops][mgmt],"- Built a custom prospecting database to manage nearly 3000 accounts, tracking 15 distinct data points per account to improve workflow and strategic prioritization.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered $3M+ in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth.",75.0,70.0,85.0,80.0,PASS,The phrase 'directly contributing to revenue growth' is a vague superlative that lacks a specific connection to the $3M figure; it would be stronger to state the actual revenue impact or conversion rate.
Treering Yearbooks,[ops],"- Built a new data-focused research role that uncovered over $3 million in dormant Salesforce pipeline, revitalizing outreach efforts, and directly contributing to revenue growth.",75.0,70.0,85.0,80.0,PASS,The phrase 'directly contributing to revenue growth' is slightly vague and borders on filler; specifying the actual revenue impact or the timeframe would strengthen the claim.
Treering Yearbooks,[email][ops],"- Built advanced CRM workflows with segmentation, A/B testing, and logic-based automation, increasing open rates by up to 25%.",75.0,80.0,85.0,80.0,PASS,"The metric 'increasing open rates by up to 25%' lacks context regarding the baseline, the volume of the audience, or the specific CRM tool used, making it feel slightly generic."
Treering Yearbooks,[ops],- Built advanced automation and audience segmentation workflows with Salesforce/Outreach.io; improved engagement by 25%+.,75.0,80.0,85.0,90.0,PASS,The metric '25%+' is slightly vague due to the plus sign and lacks context regarding the specific engagement channel or the baseline period.
Treering Yearbooks,[email],"- Built advanced automations with segmentation, A/B testing, and logic-based branching, improving open rates by up to 25%.",75.0,70.0,85.0,80.0,PASS,"The metric 'improving open rates by up to 25%' is slightly vague as it lacks context regarding the baseline, the volume of emails sent, or the specific platform used to achieve this."
Treering Yearbooks,[content],- Built an objection library and weekly testing rhythm that reduced ramp time for new SDRs,75.0,85.0,80.0,70.0,PASS,"The bullet lacks a specific metric to quantify the reduction in ramp time, which makes the outcome feel slightly vague."
Treering Yearbooks,[mgmt],"- Built and led training sessions (live + asynchronous) for 20+ team members on messaging, QA best practices, and tools",75.0,85.0,80.0,70.0,FAIL,"The bullet contains a dash in prose, which violates the strict formatting rules."
Treering Yearbooks,[ops],"- Built and maintained CRM frameworks to align lifecycle outreach with messaging tiers, conversion goals, and persona needs.",75.0,80.0,85.0,80.0,PASS,The bullet is slightly generic and lacks a specific tool mention or a concrete outcome metric to ground the claim.
Treering Yearbooks,[ops],"- Built and maintained a suite of performance dashboards in Salesforce and Google Sheets to track KPIs for the entire sales funnel, from lead generation to closed-won revenue.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[mgmt],"- Built and managed editorial calendars and QA systems, reducing review time by 20% and improving cross-channel message alignment.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops],"- Built and optimized Outreach.io campaigns with advanced segmentation logic, improving response rates and pipeline quality.",70.0,75.0,80.0,85.0,PASS,"The bullet lacks specific metrics to quantify the improvement in response rates and pipeline quality, making the outcome claim vague."
Treering Yearbooks,[email],"- Built and optimized automated email sequences achieving up to 83% open rates and 43% reply rates (10x higher than industry average) across a $20M portfolio of 2,900+ B2B accounts.",65.0,60.0,85.0,80.0,FAIL,"The metrics (83% open rate, 43% reply rate) are statistically implausible for a 2,900-account B2B portfolio, triggering the hallucination/scope inflation risk; the bullet also uses a dash in prose."
Treering Yearbooks,[email],"- Built and optimized multi-channel email campaigns and lifecycle workflows across 2,900+ B2B accounts, maintaining 98% deliverability and engagement rates triple the industry standard.",75.0,70.0,85.0,80.0,PASS,"The claim of engagement rates being triple the industry standard is a high-level superlative that lacks specific context or a baseline, making it difficult to verify without further explanation."
Treering Yearbooks,[generalist],"- Built audience segments based on lead behavior and attributes, boosting response rates and informing lifecycle messaging.",65.0,75.0,70.0,60.0,FAIL,"The bullet ends with a period, which violates the strict formatting rules. Additionally, it lacks specific metrics or tool mentions, making it feel generic and task-oriented rather than outcome-driven."
Treering Yearbooks,[email],"- Built automated onboarding, nurture, and win-back journeys using behavioral customer segmentation, liing open rates ~20%.",85.0,80.0,90.0,85.0,FAIL,"The bullet contains a typo ('liing' instead of 'lifting') and ends with a period, which violates the strict formatting rules."
Treering Yearbooks,[ops],- Built automated reporting systems and performance dashboards using Google Sheets and CRM integrations to track engagement metrics while managing cross-functional project coordination through Google Workspace and Trello.,75.0,80.0,85.0,80.0,PASS,"The bullet is functional but generic; it describes a common set of tasks (reporting and coordination) without highlighting a specific, high-impact outcome or a unique system architecture."
Treering Yearbooks,[ops][mgmt],"- Built comprehensive territory management system tracking 15+ data points across 2,932 accounts, enabling scalable prospect research and strategic account prioritization.",95.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, A/B testing, and variable messaging.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[email],"- Built full-funnel Outreach.io campaigns with logic-based branching, variable messaging, and A/B testing.",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[ops],"- Built full-funnel campaigns in Outreach.io + Salesforce with personalized messaging, logic-based branching, and ongoing A/B testing",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[ops],"- Built full-funnel campaigns in Outreach.io + Salesforce with personalized messaging, testing, and logic-based branching",90.0,95.0,95.0,90.0,PASS,
Treering Yearbooks,[email],"- Built full-funnel campaigns in Outreach.io using personalized messaging, A/B testing, and logic-based branching.",85.0,90.0,95.0,85.0,PASS,
Treering Yearbooks,[ops][email],"- Built full-funnel sequences in Outreach.io + Salesforce with personalized messaging, testing, and cross-functional campaign execution using logic-based branching",85.0,90.0,85.0,90.0,PASS,
Treering Yearbooks,[ops],"- Built logic-based QA checklists to validate campaign accuracy, data flows, and personalization triggers before launch.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops],"- Built logic-based QA checklists to validate campaign accuracy, personalization triggers, and data flows before launch.",85.0,90.0,95.0,80.0,PASS,
Treering Yearbooks,[ops][writing],"- Built logic-driven Outreach.io campaigns (behavior triggers, A/B variants, variable copy) and integrated Salesforce + Outreach to streamline segmentation and pipeline visibility.",95.0,95.0,95.0,95.0,PASS,
Treering Yearbooks,[email][writing],"- Built logic-driven Outreach.io campaigns with behavior triggers, A/B variants, and variable copy — increasing reply rates and improving engagement at every stage of the sales funnel.",75.0,80.0,85.0,80.0,PASS,"The claim of increasing reply rates and engagement is vague because it lacks a specific percentage or baseline comparison, making the outcome feel like a generic assertion rather than a proven result."
Treering Yearbooks,[mgmt],- Built performance dashboards providing real-time visibility into team outputs and quality metrics across multiple channels.,70.0,75.0,80.0,65.0,PASS,"The bullet is somewhat generic and lacks specific tool mentions (e.g., Tableau, Looker, Salesforce) or a clear outcome beyond 'visibility' which makes it feel like a task description rather than a high-impact achievement."
